video_path,subset,source_model,fps,duration_seconds,num_frames,downsample_idxs,1_sec_idxs,2_sec_idxs,3_sec_idxs,4_sec_idxs,dataset,split,video_id,legacy_video_id,legacy_path,source_group,real_source,generator,content_sha256,exclusion_reason,feature_asset,feature_asset_sha256
datasets/comgenvid/real/MSVD/-4wsuPCjDBc_5_15.mp4,real,MSVD,29.916666666666668,10.027855,300,"[0, 4, 7, 11, 15, 19, 22, 26, 30, 34, 37, 41, 45, 49, 52, 56, 60, 64, 67, 71, 75, 79, 82, 86, 90, 93, 97, 101, 105, 108, 112, 116, 120, 123, 127, 131, 135, 138, 142, 146, 150, 153, 157, 161, 165, 168, 172, 176, 180, 183, 187, 191, 194, 198, 202, 206, 209, 213, 217, 221, 224, 228, 232, 236, 239, 243, 247, 251, 254, 258, 262, 266, 269, 273, 277, 280, 284, 288, 292, 295, 299]","[191, 194, 198, 202, 206, 209, 213, 217]","[52, 56, 60, 64, 67, 71, 75, 79, 82, 86, 90, 93, 97, 101, 105, 108]","[157, 161, 165, 168, 172, 176, 180, 183, 187, 191, 194, 198, 202, 206, 209, 213, 217, 221, 224, 228, 232, 236, 239, 243]","[26, 30, 34, 37, 41, 45, 49, 52, 56, 60, 64, 67, 71, 75, 79, 82, 86, 90, 93, 97, 101, 105, 108, 112, 116, 120, 123, 127, 131, 135, 138, 142]",comgenvid,fit,comgenvid:datasets/comgenvid/real/MSVD/-4wsuPCjDBc_5_15.mp4,comgenvid:datasets/comgenvid/real/MSVD/-4wsuPCjDBc_5_15.mp4,datasets/comgenvid/real/MSVD/-4wsuPCjDBc_5_15.mp4,comgenvid:real-content:-4wsuPCjDBc,MSVD,,,,cache/fit/target/fit/comgenvid/000.npz,261eb969fddc8db17611bbb8dfd859abcd3d1c7acbed9fbcb5cfc8ad9e0b321f
datasets/comgenvid/real/MSVD/-7KMZQEsJW4_205_208.mp4,real,MSVD,15.0,3.066667,46,"[0, 2, 4, 6, 8, 9, 11, 13, 15, 17, 19, 21, 22, 24, 26, 28, 30, 32, 34, 36, 38, 39, 41, 43, 45]","[11, 13, 15, 17, 19, 21, 22, 24]","[6, 8, 9, 11, 13, 15, 17, 19, 21, 22, 24, 26, 28, 30, 32, 34]","[0, 2, 4, 6, 8, 9, 11, 13, 15, 17, 19, 21, 22, 24, 26, 28, 30, 32, 34, 36, 38, 39, 41, 43]",,comgenvid,fit,comgenvid:datasets/comgenvid/real/MSVD/-7KMZQEsJW4_205_208.mp4,comgenvid:datasets/comgenvid/real/MSVD/-7KMZQEsJW4_205_208.mp4,datasets/comgenvid/real/MSVD/-7KMZQEsJW4_205_208.mp4,comgenvid:real-content:-7KMZQEsJW4,MSVD,,,,cache/fit/target/fit/comgenvid/001.npz,c876df55d21575eaba9a7bb60584b69bdab448fe169fe066d16c42ea350f6528
datasets/comgenvid/real/MSVD/-8y1Q0rA3n8_108_115.mp4,real,MSVD,29.97002997002997,7.007,210,"[0, 4, 7, 11, 15, 19, 22, 26, 30, 34, 37, 41, 45, 49, 52, 56, 60, 64, 67, 71, 75, 79, 82, 86, 90, 94, 97, 101, 105, 109, 112, 116, 120, 124, 127, 131, 135, 139, 142, 146, 150, 154, 157, 161, 165, 169, 172, 176, 180, 184, 187, 191, 195, 199, 202, 206]","[142, 146, 150, 154, 157, 161, 165, 169]","[105, 109, 112, 116, 120, 124, 127, 131, 135, 139, 142, 146, 150, 154, 157, 161]","[52, 56, 60, 64, 67, 71, 75, 79, 82, 86, 90, 94, 97, 101, 105, 109, 112, 116, 120, 124, 127, 131, 135, 139]","[37, 41, 45, 49, 52, 56, 60, 64, 67, 71, 75, 79, 82, 86, 90, 94, 97, 101, 105, 109, 112, 116, 120, 124, 127, 131, 135, 139, 142, 146, 150, 154]",comgenvid,fit,comgenvid:datasets/comgenvid/real/MSVD/-8y1Q0rA3n8_108_115.mp4,comgenvid:datasets/comgenvid/real/MSVD/-8y1Q0rA3n8_108_115.mp4,datasets/comgenvid/real/MSVD/-8y1Q0rA3n8_108_115.mp4,comgenvid:real-content:-8y1Q0rA3n8,MSVD,,,,cache/fit/target/fit/comgenvid/002.npz,2360827c797dd934638b327bc1544644aaea633db956723a7a6d7e44c729e2d0
datasets/comgenvid/real/MSVD/-8y1Q0rA3n8_95_102.mp4,real,MSVD,29.97002997002997,7.007,210,"[0, 4, 7, 11, 15, 19, 22, 26, 30, 34, 37, 41, 45, 49, 52, 56, 60, 64, 67, 71, 75, 79, 82, 86, 90, 94, 97, 101, 105, 109, 112, 116, 120, 124, 127, 131, 135, 139, 142, 146, 150, 154, 157, 161, 165, 169, 172, 176, 180, 184, 187, 191, 195, 199, 202, 206]","[142, 146, 150, 154, 157, 161, 165, 169]","[105, 109, 112, 116, 120, 124, 127, 131, 135, 139, 142, 146, 150, 154, 157, 161]","[52, 56, 60, 64, 67, 71, 75, 79, 82, 86, 90, 94, 97, 101, 105, 109, 112, 116, 120, 124, 127, 131, 135, 139]","[37, 41, 45, 49, 52, 56, 60, 64, 67, 71, 75, 79, 82, 86, 90, 94, 97, 101, 105, 109, 112, 116, 120, 124, 127, 131, 135, 139, 142, 146, 150, 154]",comgenvid,fit,comgenvid:datasets/comgenvid/real/MSVD/-8y1Q0rA3n8_95_102.mp4,comgenvid:datasets/comgenvid/real/MSVD/-8y1Q0rA3n8_95_102.mp4,datasets/comgenvid/real/MSVD/-8y1Q0rA3n8_95_102.mp4,comgenvid:real-content:-8y1Q0rA3n8,MSVD,,,,cache/fit/target/fit/comgenvid/003.npz,3f430e48a189213e0f2c92cbbad9e4e3549f37510e13caaac86e0dd0e7fd5c6d
datasets/comgenvid/real/MSVD/-AwoiGR6c8M_10_14.mp4,real,MSVD,29.916666666666668,4.011142,120,"[0, 4, 7, 11, 15, 19, 22, 26, 30, 34, 37, 41, 45, 49, 52, 56, 60, 64, 67, 71, 75, 79, 82, 86, 90, 93, 97, 101, 105, 108, 112, 116]","[22, 26, 30, 34, 37, 41, 45, 49]","[52, 56, 60, 64, 67, 71, 75, 79, 82, 86, 90, 93, 97, 101, 105, 108]","[26, 30, 34, 37, 41, 45, 49, 52, 56, 60, 64, 67, 71, 75, 79, 82, 86, 90, 93, 97, 101, 105, 108, 112]","[0, 4, 7, 11, 15, 19, 22, 26, 30, 34, 37, 41, 45, 49, 52, 56, 60, 64, 67, 71, 75, 79, 82, 86, 90, 93, 97, 101, 105, 108, 112, 116]",comgenvid,fit,comgenvid:datasets/comgenvid/real/MSVD/-AwoiGR6c8M_10_14.mp4,comgenvid:datasets/comgenvid/real/MSVD/-AwoiGR6c8M_10_14.mp4,datasets/comgenvid/real/MSVD/-AwoiGR6c8M_10_14.mp4,comgenvid:real-content:-AwoiGR6c8M,MSVD,,,,cache/fit/target/fit/comgenvid/004.npz,30c0ef27bf1666661189f6d5574cf47b671cdb366114a48d0149943bfab769dd
datasets/comgenvid/real/MSVD/-Cv5LsqKUXc_17_25.mp4,real,MSVD,59.94005994005994,8.008,480,"[0, 7, 15, 22, 30, 37, 45, 52, 60, 67, 75, 82, 90, 97, 105, 112, 120, 127, 135, 142, 150, 157, 165, 172, 180, 187, 195, 202, 210, 217, 225, 232, 240, 247, 255, 262, 270, 277, 285, 292, 300, 307, 315, 322, 330, 337, 345, 352, 360, 367, 375, 382, 390, 397, 405, 412, 420, 427, 435, 442, 450, 457, 465, 472]","[285, 292, 300, 307, 315, 322, 330, 337]","[210, 217, 225, 232, 240, 247, 255, 262, 270, 277, 285, 292, 300, 307, 315, 322]","[105, 112, 120, 127, 135, 142, 150, 157, 165, 172, 180, 187, 195, 202, 210, 217, 225, 232, 240, 247, 255, 262, 270, 277]","[52, 60, 67, 75, 82, 90, 97, 105, 112, 120, 127, 135, 142, 150, 157, 165, 172, 180, 187, 195, 202, 210, 217, 225, 232, 240, 247, 255, 262, 270, 277, 285]",comgenvid,fit,comgenvid:datasets/comgenvid/real/MSVD/-Cv5LsqKUXc_17_25.mp4,comgenvid:datasets/comgenvid/real/MSVD/-Cv5LsqKUXc_17_25.mp4,datasets/comgenvid/real/MSVD/-Cv5LsqKUXc_17_25.mp4,comgenvid:real-content:-Cv5LsqKUXc,MSVD,,,,cache/fit/target/fit/comgenvid/005.npz,7433571f9f71242f218e3e7d474885257be906e156207b7f79fafc03ceeb6799
datasets/comgenvid/real/MSVD/-Cv5LsqKUXc_71_76.mp4,real,MSVD,59.94005994005994,5.005,300,"[0, 7, 15, 22, 30, 37, 45, 52, 60, 67, 75, 82, 90, 97, 105, 112, 120, 127, 135, 142, 150, 157, 165, 172, 180, 187, 195, 202, 210, 217, 225, 232, 240, 247, 255, 262, 270, 277, 285, 292]","[210, 217, 225, 232, 240, 247, 255, 262]","[105, 112, 120, 127, 135, 142, 150, 157, 165, 172, 180, 187, 195, 202, 210, 217]","[75, 82, 90, 97, 105, 112, 120, 127, 135, 142, 150, 157, 165, 172, 180, 187, 195, 202, 210, 217, 225, 232, 240, 247]","[52, 60, 67, 75, 82, 90, 97, 105, 112, 120, 127, 135, 142, 150, 157, 165, 172, 180, 187, 195, 202, 210, 217, 225, 232, 240, 247, 255, 262, 270, 277, 285]",comgenvid,fit,comgenvid:datasets/comgenvid/real/MSVD/-Cv5LsqKUXc_71_76.mp4,comgenvid:datasets/comgenvid/real/MSVD/-Cv5LsqKUXc_71_76.mp4,datasets/comgenvid/real/MSVD/-Cv5LsqKUXc_71_76.mp4,comgenvid:real-content:-Cv5LsqKUXc,MSVD,,,,cache/fit/target/fit/comgenvid/006.npz,95ae2bb113a2fd1238d7482af6a77fba4a4f9aa2e761daf047ddf61c9ac0ed13
datasets/comgenvid/real/MSVD/-DKuLXYoY3g_14_20.mp4,real,MSVD,59.94005994005994,6.006,360,"[0, 7, 15, 22, 30, 37, 45, 52, 60, 67, 75, 82, 90, 97, 105, 112, 120, 127, 135, 142, 150, 157, 165, 172, 180, 187, 195, 202, 210, 217, 225, 232, 240, 247, 255, 262, 270, 277, 285, 292, 300, 307, 315, 322, 330, 337, 345, 352]","[285, 292, 300, 307, 315, 322, 330, 337]","[210, 217, 225, 232, 240, 247, 255, 262, 270, 277, 285, 292, 300, 307, 315, 322]","[105, 112, 120, 127, 135, 142, 150, 157, 165, 172, 180, 187, 195, 202, 210, 217, 225, 232, 240, 247, 255, 262, 270, 277]","[75, 82, 90, 97, 105, 112, 120, 127, 135, 142, 150, 157, 165, 172, 180, 187, 195, 202, 210, 217, 225, 232, 240, 247, 255, 262, 270, 277, 285, 292, 300, 307]",comgenvid,fit,comgenvid:datasets/comgenvid/real/MSVD/-DKuLXYoY3g_14_20.mp4,comgenvid:datasets/comgenvid/real/MSVD/-DKuLXYoY3g_14_20.mp4,datasets/comgenvid/real/MSVD/-DKuLXYoY3g_14_20.mp4,comgenvid:real-content:-DKuLXYoY3g,MSVD,,,,cache/fit/target/fit/comgenvid/007.npz,0ea53eb15a486a9c078f05918b61ded1fb9d88c8745856f0e8798466a878cc3d
datasets/comgenvid/real/MSVD/-DRy7rBg0IQ_31_37.mp4,real,MSVD,30.0,6.033333,181,"[0, 4, 8, 11, 15, 19, 22, 26, 30, 34, 38, 41, 45, 49, 52, 56, 60, 64, 68, 71, 75, 79, 82, 86, 90, 94, 98, 101, 105, 109, 112, 116, 120, 124, 128, 131, 135, 139, 142, 146, 150, 154, 158, 161, 165, 169, 172, 176, 180]","[142, 146, 150, 154, 158, 161, 165, 169]","[105, 109, 112, 116, 120, 124, 128, 131, 135, 139, 142, 146, 150, 154, 158, 161]","[52, 56, 60, 64, 68, 71, 75, 79, 82, 86, 90, 94, 98, 101, 105, 109, 112, 116, 120, 124, 128, 131, 135, 139]","[38, 41, 45, 49, 52, 56, 60, 64, 68, 71, 75, 79, 82, 86, 90, 94, 98, 101, 105, 109, 112, 116, 120, 124, 128, 131, 135, 139, 142, 146, 150, 154]",comgenvid,fit,comgenvid:datasets/comgenvid/real/MSVD/-DRy7rBg0IQ_31_37.mp4,comgenvid:datasets/comgenvid/real/MSVD/-DRy7rBg0IQ_31_37.mp4,datasets/comgenvid/real/MSVD/-DRy7rBg0IQ_31_37.mp4,comgenvid:real-content:-DRy7rBg0IQ,MSVD,,,,cache/fit/target/fit/comgenvid/008.npz,68f33f3ead5ed6e42d8c85ef4b2b555184e0d4a2c4dd36030d3bea8549fc60ac
datasets/comgenvid/real/MSVD/-FugkxLmGO4_5_16.mp4,real,MSVD,25.0,11.04,276,"[0, 3, 6, 9, 12, 16, 19, 22, 25, 28, 31, 34, 38, 41, 44, 47, 50, 53, 56, 59, 62, 66, 69, 72, 75, 78, 81, 84, 88, 91, 94, 97, 100, 103, 106, 109, 112, 116, 119, 122, 125, 128, 131, 134, 138, 141, 144, 147, 150, 153, 156, 159, 162, 166, 169, 172, 175, 178, 181, 184, 188, 191, 194, 197, 200, 203, 206, 209, 212, 216, 219, 222, 225, 228, 231, 234, 238, 241, 244, 247, 250, 253, 256, 259, 262, 266, 269, 272, 275]","[159, 162, 166, 169, 172, 175, 178, 181]","[44, 47, 50, 53, 56, 59, 62, 66, 69, 72, 75, 78, 81, 84, 88, 91]","[188, 191, 194, 197, 200, 203, 206, 209, 212, 216, 219, 222, 225, 228, 231, 234, 238, 241, 244, 247, 250, 253, 256, 259]","[62, 66, 69, 72, 75, 78, 81, 84, 88, 91, 94, 97, 100, 103, 106, 109, 112, 116, 119, 122, 125, 128, 131, 134, 138, 141, 144, 147, 150, 153, 156, 159]",comgenvid,fit,comgenvid:datasets/comgenvid/real/MSVD/-FugkxLmGO4_5_16.mp4,comgenvid:datasets/comgenvid/real/MSVD/-FugkxLmGO4_5_16.mp4,datasets/comgenvid/real/MSVD/-FugkxLmGO4_5_16.mp4,comgenvid:real-content:-FugkxLmGO4,MSVD,,,,cache/fit/target/fit/comgenvid/009.npz,8fbe779d8d1e8203d19650dbb016716b4e11d9e49a08c138bc96f838eae9f27d
