video_id,dataset,subset,generator
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-W-k0wRN-Sg-Scene-032.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/2iG6aCIkg6U-Scene-074.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-Z3priQFMeE-Scene-004.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-O7Y1YRMhS4-Scene-006.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-pBYzbAB2gI-Scene-005.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-CgxuW203fk-Scene-035.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/3VObZy8n0u8-Scene-093.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-Au4DkverC4-Scene-018.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-ZfScuvpi8w-Scene-013.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-dkbMrWrwXE-Scene-014.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-AsjE601CYo-Scene-032.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-AsjE601CYo-Scene-012.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-L7T3aHyVBY-Scene-055.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-6r8ZL3S33s-Scene-020.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-wBRFI1bqXE-Scene-091.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/00V-E8yypsY-Scene-026.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-BLsbul347M-Scene-009.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/0JMLUdQG9FQ-Scene-122.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-3RVvCTsULs-Scene-026.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-JYL0hw19dA-Scene-006.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-7Sow81yi24-Scene-010.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-inPRBhonfY-Scene-059.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/--CXWZW1Hjs-Scene-008.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-CLU35KDfkI-Scene-017.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-uWhVT0QOjo-Scene-043.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/0AnooHsrHBs-Scene-016.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-2EEPW7g8fc-Scene-063.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-SIoAoU96Go-Scene-026.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-79b2SUgROQ-Scene-072.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-uFsDvaGLEY-Scene-014.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-Xe9ATwapx8-Scene-037.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-3GdSd6q2h8-Scene-021.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-2W6AojRWZg-Scene-036.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-CLU35KDfkI-Scene-010.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-79b2SUgROQ-Scene-065.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-W-k0wRN-Sg-Scene-100.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-Cfp7OkOPnw-Scene-009.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-Tznlx878UU-Scene-077.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-bKc1mZL1tA-Scene-035.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-Tq3B9tOR2k-Scene-010.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-Z3priQFMeE-Scene-066.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-9KpYavfkvQ-Scene-001.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-Jw-v1jFuH8-Scene-075.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-amGWduQWe4-Scene-019.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-9Ykp-dH4Uc-Scene-042.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-QRAClx_f9A-Scene-038.mp4,genvidbench,real,ms
genvidbench:datasets/genvidbench_pair1_ms_vript_eval/real/vript/-Uf7l2FlNg8-Scene-002.mp4,genvidbench,real,ms
