video_id,dataset,subset,generator,legacy_reference,legacy_selector
genvideo:datasets/genvideo/real/MSR-VTT/video9633.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video6829.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video4294.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video7503.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video8123.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video54.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video9687.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video3288.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video9757.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video7233.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video6438.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video5223.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video3039.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video3442.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video7630.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video4769.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video3477.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
genvideo:datasets/genvideo/real/MSR-VTT/video2822.mp4,genvideo,real,Crafter,vatex_5000_video256,feature_change
