video_path,subset,source_model,fps,duration_seconds,num_frames,downsample_idxs,1_sec_idxs,2_sec_idxs,3_sec_idxs,4_sec_idxs,dataset,split,video_id,legacy_video_id,legacy_path,source_group,real_source,generator,content_sha256,exclusion_reason,feature_asset,feature_asset_sha256
datasets/videofeedback/real/Panda70M/p109522.mp4,real,Panda70M,8.0,3.0,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[6, 7, 8, 9, 10, 11, 12, 13]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,fit,videofeedback:datasets/videofeedback/real/Panda70M/p109522.mp4,videofeedback:datasets/videofeedback/real/Panda70M/p109522.mp4,datasets/videofeedback/real/Panda70M/p109522.mp4,videofeedback:real-content:p109522,Panda70M,,,,cache/fit/target/fit/videofeedback/000.npz,0906c41470836044850298ea9f66c22c16b8f5c044ed6568108694f9a732eb99
datasets/videofeedback/real/DiDeMo/p003620.mp4,real,DiDeMo,8.0,3.0,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[6, 7, 8, 9, 10, 11, 12, 13]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,fit,videofeedback:datasets/videofeedback/real/DiDeMo/p003620.mp4,videofeedback:datasets/videofeedback/real/DiDeMo/p003620.mp4,datasets/videofeedback/real/DiDeMo/p003620.mp4,videofeedback:real-content:p003620,DiDeMo,,,,cache/fit/target/fit/videofeedback/001.npz,f906082339015b84941a8a07eb01544326142aa9cdb60c738849b5c3e18481db
datasets/videofeedback/real/Panda70M/p111837.mp4,real,Panda70M,8.0,2.0,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[6, 7, 8, 9, 10, 11, 12, 13]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",,,videofeedback,fit,videofeedback:datasets/videofeedback/real/Panda70M/p111837.mp4,videofeedback:datasets/videofeedback/real/Panda70M/p111837.mp4,datasets/videofeedback/real/Panda70M/p111837.mp4,videofeedback:real-content:p111837,Panda70M,,,,cache/fit/target/fit/videofeedback/002.npz,bc526e3ab42e8e6a2d282163eb372818fb824b684400e75a55528e7670165819
datasets/videofeedback/real/DiDeMo/p005079.mp4,real,DiDeMo,8.0,3.0,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[6, 7, 8, 9, 10, 11, 12, 13]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,fit,videofeedback:datasets/videofeedback/real/DiDeMo/p005079.mp4,videofeedback:datasets/videofeedback/real/DiDeMo/p005079.mp4,datasets/videofeedback/real/DiDeMo/p005079.mp4,videofeedback:real-content:p005079,DiDeMo,,,,cache/fit/target/fit/videofeedback/003.npz,dd000aee45d722dc2c13ddbd0e5cfe8c2f90a03bea0240abc767cfc2af67da6b
datasets/videofeedback/real/DiDeMo/p007706.mp4,real,DiDeMo,8.0,3.0,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[6, 7, 8, 9, 10, 11, 12, 13]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,fit,videofeedback:datasets/videofeedback/real/DiDeMo/p007706.mp4,videofeedback:datasets/videofeedback/real/DiDeMo/p007706.mp4,datasets/videofeedback/real/DiDeMo/p007706.mp4,videofeedback:real-content:p007706,DiDeMo,,,,cache/fit/target/fit/videofeedback/004.npz,cc75d483bb26fedaee4030cdfa3550d3c2c9166ca17a07d7954aeb349a03ba43
datasets/videofeedback/real/Panda70M/p104168.mp4,real,Panda70M,8.0,3.0,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[6, 7, 8, 9, 10, 11, 12, 13]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,fit,videofeedback:datasets/videofeedback/real/Panda70M/p104168.mp4,videofeedback:datasets/videofeedback/real/Panda70M/p104168.mp4,datasets/videofeedback/real/Panda70M/p104168.mp4,videofeedback:real-content:p104168,Panda70M,,,,cache/fit/target/fit/videofeedback/005.npz,c6b014072a81f62858daa7a0d4b7870a69f500fed164278207f1d176c2b6cdbe
datasets/videofeedback/real/Panda70M/p110179.mp4,real,Panda70M,8.0,2.0,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[6, 7, 8, 9, 10, 11, 12, 13]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",,,videofeedback,fit,videofeedback:datasets/videofeedback/real/Panda70M/p110179.mp4,videofeedback:datasets/videofeedback/real/Panda70M/p110179.mp4,datasets/videofeedback/real/Panda70M/p110179.mp4,videofeedback:real-content:p110179,Panda70M,,,,cache/fit/target/fit/videofeedback/006.npz,ed7aef3eb20bedc01661dbde05d480100efb9eeda48bb6a45c0dfd3959d257d7
datasets/videofeedback/real/DiDeMo/p003684.mp4,real,DiDeMo,8.0,3.0,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[6, 7, 8, 9, 10, 11, 12, 13]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,fit,videofeedback:datasets/videofeedback/real/DiDeMo/p003684.mp4,videofeedback:datasets/videofeedback/real/DiDeMo/p003684.mp4,datasets/videofeedback/real/DiDeMo/p003684.mp4,videofeedback:real-content:p003684,DiDeMo,,,,cache/fit/target/fit/videofeedback/007.npz,ade585d5c631941e9032082dc7c520793c0c267a4f21866faf048454d7e410c0
datasets/videofeedback/real/DiDeMo/p005022.mp4,real,DiDeMo,8.0,3.0,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[6, 7, 8, 9, 10, 11, 12, 13]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,videofeedback,fit,videofeedback:datasets/videofeedback/real/DiDeMo/p005022.mp4,videofeedback:datasets/videofeedback/real/DiDeMo/p005022.mp4,datasets/videofeedback/real/DiDeMo/p005022.mp4,videofeedback:real-content:p005022,DiDeMo,,,,cache/fit/target/fit/videofeedback/008.npz,329580c8110ae7a75cceca7a38bf409004029b21bb2762d331f43fbc6ede921d
datasets/videofeedback/real/Panda70M/p107344.mp4,real,Panda70M,8.0,2.0,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[6, 7, 8, 9, 10, 11, 12, 13]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",,,videofeedback,fit,videofeedback:datasets/videofeedback/real/Panda70M/p107344.mp4,videofeedback:datasets/videofeedback/real/Panda70M/p107344.mp4,datasets/videofeedback/real/Panda70M/p107344.mp4,videofeedback:real-content:p107344,Panda70M,,,,cache/fit/target/fit/videofeedback/009.npz,ae0be7d47d2b57d5ee61dfa58ac1e7dc0e75111915c8309379d702c12d13726d
