video_id,video_path,source_group,dataset,subset,source_model,role,length,frame_indices,spatial_fit_index,random_source_key,expected_gs,expected_gt,expected_final,cache_key
vatex:--uGS0Y4D6k:window8,datasets/vatex_bank/--uGS0Y4D6k.mp4,vatex:--uGS0Y4D6k,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",6,2f16995eb05d4fd5b2e70483f164aac13187a6c0fbb8765002eb9f62fa7dd13e,,,,c08a7c449ba5d1a12d744c57a320cc00edf72c18c0206f6192a713b885bce8e0
vatex:-1AV2VguEDw:window8,datasets/vatex_bank/-1AV2VguEDw.mp4,vatex:-1AV2VguEDw,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",3,0c182b1679ecc86d4f9b3e59cca623c7d34701434868153daf5cd763762eb9db,,,,fe2757a9d9971a64c3a7b4202b2a36ac4a50258e026c937277ae49a6a0bf6f54
vatex:-1RpglW_MLA:window8,datasets/vatex_bank/-1RpglW_MLA.mp4,vatex:-1RpglW_MLA,vatex,real,VATEX,fit,8,"[64, 65, 66, 68, 69, 70, 71, 72]",4,ea3264f456f9849d2a2d5e85a27044dc02f3ee83a457c9fcb67cec6dddfe132a,,,,7b43d95bd85aa4a2c4d0492126f1cea556bd58e06882043854ae65c516740bc0
vatex:-2csq_1UhMQ:window8,datasets/vatex_bank/-2csq_1UhMQ.mp4,vatex:-2csq_1UhMQ,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",6,5af50ebcfecfee5fbf1d27b0abeb8bcb6561725208757e3b49224214b0710a42,,,,1ecb7677c76eebdce38e271064866de5a001a2188070a3b2f3c1d828c9fa6417
vatex:-2vSka0wXKY:window8,datasets/vatex_bank/-2vSka0wXKY.mp4,vatex:-2vSka0wXKY,vatex,real,VATEX,fit,8,"[153, 156, 159, 162, 165, 168, 171, 174]",2,b3aba60cc8ef60fe14548f63b95bc2ecbd9f340040e4c4902fe7ff7b28646e64,,,,184e3b5f174e6acddc124da527d37a39cd4d95d80ec2f296c4ffa76d4166fb09
vatex:-3NWT66PjRg:window8,datasets/vatex_bank/-3NWT66PjRg.mp4,vatex:-3NWT66PjRg,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",7,654ffbfc47bf9f091d1e2203e41a738291ee8634ed80e1f7b9a892b4cdc84ea4,,,,f30d390df44b790aa0b00a9577752dc715ee2826d01da330d3f38cec62a13778
vatex:-4-hlPvEbTg:window8,datasets/vatex_bank/-4-hlPvEbTg.mp4,vatex:-4-hlPvEbTg,vatex,real,VATEX,fit,8,"[187, 191, 195, 198, 202, 206, 209, 213]",4,ec03c7f13cfc72011e0b1aa1907ca0cf164952781d7cc8b6853b047f0bf42386,,,,cb29877932b3ee0c3b02387882c0a59d0728fbccc0e8f408d9c44738046b2e13
vatex:-54Ntbjeiis:window8,datasets/vatex_bank/-54Ntbjeiis.mp4,vatex:-54Ntbjeiis,vatex,real,VATEX,fit,8,"[153, 156, 159, 162, 165, 168, 171, 174]",4,176b33de6bf1ac73c4819aef4357dfa5e28da51ef7ec031c5075da1497ca441e,,,,836d118a95bd00cc7c2ed3521e6e154c2305729cd2ca29ebe982db7ad59ee758
vatex:-586Cj6Npa8:window8,datasets/vatex_bank/-586Cj6Npa8.mp4,vatex:-586Cj6Npa8,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",6,386dd71e8e0cd298e29a2d86d4d16f72ef303483d0670658d9d9a93ddad46d9f,,,,947a01319e5768cf493db42bfd76e67a86e6dc997dad7532f7292ab326a4a1ac
vatex:-5EKnCsR9A8:window8,datasets/vatex_bank/-5EKnCsR9A8.mp4,vatex:-5EKnCsR9A8,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 217]",1,69a75740cf0bcee9af435b9d6d087d329301aaf390062dad80920a5a3aae0f25,,,,656192bcdc5f522989d3b29cf0044557bab107bc8925c3c40b8a5590ca26266e
vatex:-5VsTBjPo3Y:window8,datasets/vatex_bank/-5VsTBjPo3Y.mp4,vatex:-5VsTBjPo3Y,vatex,real,VATEX,fit,8,"[191, 195, 199, 202, 206, 210, 214, 218]",2,f8c4ebfb5cf879f87a8e020003d564eb17781c52345c3c4bc32527643856d755,,,,d17b8f0ca38971c0f3de56de25e24cc258101f11849a72bff3b0eb0f98330f9e
