video_id,dataset,subset,generator
genvideo:datasets/genvideo/real/MSR-VTT/video7323.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video3753.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video642.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video4361.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video8344.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video9126.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video378.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video8221.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video4452.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video8621.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video6567.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video5169.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video6335.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video3921.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video765.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video7503.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video9757.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video3549.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video4294.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video9566.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video5527.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video3583.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video3016.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video9560.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video9910.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video9293.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video5880.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video4068.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video9940.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video7944.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video6690.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video6093.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video4288.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video9475.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video7078.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video7604.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video8999.mp4:duration1,genvideo,real,HotShot
genvideo:datasets/genvideo/real/MSR-VTT/video8945.mp4:duration1,genvideo,real,HotShot
