video_path,subset,source_model,fps,duration_seconds,num_frames,downsample_idxs,1_sec_idxs,2_sec_idxs,3_sec_idxs,4_sec_idxs,dataset,split,video_id,legacy_video_id,legacy_path,source_group,real_source,generator,content_sha256,exclusion_reason,dynamic_degree,full_downsample_idxs,original_video_id,evaluation_duration
datasets/videofeedback/fake/Hotshot-XL/7000000.mp4,annotated,Hotshot-XL,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,videofeedback,evaluation,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000000.mp4:duration1,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000000.mp4,datasets/videofeedback/fake/Hotshot-XL/7000000.mp4,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000000.mp4,,Hotshot-XL,,,3,"[0, 1, 2, 3, 4, 5, 6, 7]",videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000000.mp4,1
datasets/videofeedback/fake/Hotshot-XL/7000002.mp4,annotated,Hotshot-XL,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,videofeedback,evaluation,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000002.mp4:duration1,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000002.mp4,datasets/videofeedback/fake/Hotshot-XL/7000002.mp4,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000002.mp4,,Hotshot-XL,,,3,"[0, 1, 2, 3, 4, 5, 6, 7]",videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000002.mp4,1
datasets/videofeedback/fake/Hotshot-XL/7000003.mp4,annotated,Hotshot-XL,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,videofeedback,evaluation,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000003.mp4:duration1,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000003.mp4,datasets/videofeedback/fake/Hotshot-XL/7000003.mp4,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000003.mp4,,Hotshot-XL,,,3,"[0, 1, 2, 3, 4, 5, 6, 7]",videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000003.mp4,1
datasets/videofeedback/fake/Hotshot-XL/7000004.mp4,annotated,Hotshot-XL,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,videofeedback,evaluation,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000004.mp4:duration1,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000004.mp4,datasets/videofeedback/fake/Hotshot-XL/7000004.mp4,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000004.mp4,,Hotshot-XL,,,3,"[0, 1, 2, 3, 4, 5, 6, 7]",videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000004.mp4,1
datasets/videofeedback/fake/Hotshot-XL/7000005.mp4,annotated,Hotshot-XL,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,videofeedback,evaluation,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000005.mp4:duration1,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000005.mp4,datasets/videofeedback/fake/Hotshot-XL/7000005.mp4,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000005.mp4,,Hotshot-XL,,,3,"[0, 1, 2, 3, 4, 5, 6, 7]",videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000005.mp4,1
datasets/videofeedback/fake/Hotshot-XL/7000006.mp4,annotated,Hotshot-XL,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,videofeedback,evaluation,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000006.mp4:duration1,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000006.mp4,datasets/videofeedback/fake/Hotshot-XL/7000006.mp4,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000006.mp4,,Hotshot-XL,,,3,"[0, 1, 2, 3, 4, 5, 6, 7]",videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000006.mp4,1
datasets/videofeedback/fake/Hotshot-XL/7000007.mp4,annotated,Hotshot-XL,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,videofeedback,evaluation,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000007.mp4:duration1,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000007.mp4,datasets/videofeedback/fake/Hotshot-XL/7000007.mp4,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000007.mp4,,Hotshot-XL,,,3,"[0, 1, 2, 3, 4, 5, 6, 7]",videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000007.mp4,1
datasets/videofeedback/fake/Hotshot-XL/7000008.mp4,annotated,Hotshot-XL,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,videofeedback,evaluation,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000008.mp4:duration1,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000008.mp4,datasets/videofeedback/fake/Hotshot-XL/7000008.mp4,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000008.mp4,,Hotshot-XL,,,3,"[0, 1, 2, 3, 4, 5, 6, 7]",videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000008.mp4,1
datasets/videofeedback/fake/Hotshot-XL/7000009.mp4,annotated,Hotshot-XL,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,videofeedback,evaluation,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000009.mp4:duration1,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000009.mp4,datasets/videofeedback/fake/Hotshot-XL/7000009.mp4,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000009.mp4,,Hotshot-XL,,,3,"[0, 1, 2, 3, 4, 5, 6, 7]",videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000009.mp4,1
datasets/videofeedback/fake/Hotshot-XL/7000010.mp4,annotated,Hotshot-XL,8.0,1.0,8,"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,videofeedback,evaluation,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000010.mp4:duration1,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000010.mp4,datasets/videofeedback/fake/Hotshot-XL/7000010.mp4,videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000010.mp4,,Hotshot-XL,,,3,"[0, 1, 2, 3, 4, 5, 6, 7]",videofeedback:datasets/videofeedback/fake/Hotshot-XL/7000010.mp4,1
