video_id,dataset,subset,generator
videofeedback:datasets/videofeedback/real/DiDeMo/p005085.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p006682.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p004344.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001142.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p004531.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001497.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001550.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p009090.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p004355.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001972.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p007662.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p002836.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001145.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001532.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p002219.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001232.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p002432.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p004890.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001207.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p002370.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p009738.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p000641.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p009251.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p007936.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p006719.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p002896.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p008387.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p002652.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p004245.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p009727.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p009149.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p007850.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p008810.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p003936.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p008739.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p007988.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p002990.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p000306.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p004391.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p007859.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p009826.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p006573.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p003298.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p005084.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p005238.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001457.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p002456.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001650.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001802.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001765.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p002761.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p006953.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p003052.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p009833.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p009520.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p007983.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p000907.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p000265.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p008626.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p000654.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p004629.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p004457.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p005401.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p007501.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p004466.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p003193.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p008210.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p004343.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p004963.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p004981.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p007419.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p003695.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p000449.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p004382.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p002418.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p002211.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001044.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p002393.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p005709.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001237.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p002166.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p001952.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p007397.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p008594.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p004861.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p002685.mp4:duration1,videofeedback,real,Hotshot-XL
videofeedback:datasets/videofeedback/real/DiDeMo/p006284.mp4:duration1,videofeedback,real,Hotshot-XL
