experiment_id,protocol_id,parent_experiment_id,experiment_name,git_commit,datasets,evaluation_videos,calibration_real_per_dataset,evaluation_overlap,uses_fake_for_selection,region,aggregation,layer,K,alpha,beta,score_direction,macro_auc,macro_ap,status,paper_status,result_path,report_path,reason
original_stall_strict20_k1,strict20_fixed_intersection_v1,,Original STALL B2,40cc04679482e1eda214947ed8833c0c7859993b,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,false,NA,"global max/min",23,1,1.0,NA,higher_is_real,0.8387652755496094,0.8428095726287818,main_baseline,main_baseline,results/u0_core_ablation/core_ablation_dataset_metrics.csv,reports/u0_core_ablation.md,Strict single-window component baseline on the fixed intersection
legacy_alpha_stalled_leakage_b8,legacy_leakage_audit_v1,original_stall_strict20_k1,Legacy leakage-affected B8,40cc04679482e1eda214947ed8833c0c7859993b,"ComGenVid;VideoFeedback;GenVideo",21421,mixed,positive_unknown,true,"3/1/2","bottom20/mean/mean",23,1,0.6,0.1,higher_is_real,0.8737,0.8750,invalid_leakage,excluded,results/research_summary/experiment_metrics.csv,reports/u0_protocol_provenance_audit.md,Evaluation real videos entered historical patch calibration
historical_alpha_stalled_k1,strict20_fixed_intersection_v1,original_stall_strict20_k1,Clean single-window Alpha-STALLED,40cc04679482e1eda214947ed8833c0c7859993b,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,true,"3/1/2","bottom20/mean/mean",23,1,0.6,0.1,higher_is_real,0.8570,0.8600,diagnostic_only,main_ablation,results/research_summary/experiment_metrics.csv,reports/alpha_stalled_u0_final_package.md,Leakage-free but architecture and fixed weights were developed using the three benchmarks
historical_dataset_specific_k3,strict20_fixed_intersection_v1,historical_alpha_stalled_k1,Historical dataset-specific tuned baseline,266c38cfe292747d62b8cf28f68320d287f542ca,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,true,"3/1/2","bottom20/mean/mean",23,3,0.6,0.1,higher_is_real,0.869374,0.869673,diagnostic_only,supplement_only,results/clean_universal/universal_dataset_metrics.csv,reports/multi_window_joint_typicality.md,Target fake AUC/AP selected region and aggregation
prerelease_temporal_unified_u0,strict20_fixed_intersection_v1,historical_dataset_specific_k3,Pre-release temporal-unified U0,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,true,"PatchD2=1; PatchSpatial=historical","PatchD2=mean; PatchSpatial=bottom20/mean/mean",23,3,0.6,0.1,higher_is_real,0.872499,0.872243,superseded,audit_only,results/clean_universal/universal_dataset_metrics.csv,reports/clean_universal_cross_layer_final.md,No sample leakage; PatchD2 was unified but historical dataset-specific PatchSpatial scores were inherited
u0_unified_k1,u0_locked_v1,original_stall_strict20_k1,Unified Global+Local K1,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,true,1,mean,23,1,0.6,0.1,higher_is_real,0.863198392721409,0.8636253622479297,valid_direct_control,main_ablation,results/u0_core_ablation/core_ablation_dataset_metrics.csv,reports/u0_core_ablation.md,Same locked branches and calibration with only K changed from three windows to one
alpha_stalled_u0_locked,u0_locked_v1,u0_unified_k1,Locked fully unified U0,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,true,1,mean,23,3,0.6,0.1,higher_is_real,0.8740724396350226,0.8722992273320395,main_method_locked,main_method_locked,release/u0/final_video_scores.csv,reports/alpha_stalled_u0_final_package.md,Both PatchSpatial and PatchD2 use region1 mean; clean-from-empty N2 reproduction passed 61 release checks
u0_k3_global_only,u0_locked_v1,alpha_stalled_u0_locked,K3 calibrated Global only,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,false,NA,"global max/min",23,3,1.0,NA,higher_is_real,0.8484925511128328,0.8485655387449915,valid_ablation,main_ablation,results/u0_core_ablation/core_ablation_dataset_metrics.csv,reports/u0_core_ablation.md,Locked K3 Global branch without Local evidence
u0_k3_local_only,u0_locked_v1,alpha_stalled_u0_locked,K3 calibrated Local only,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,false,1,mean,23,3,0.0,0.1,higher_is_real,0.8356554515189497,0.8291904222619401,valid_ablation,main_ablation,results/u0_core_ablation/core_ablation_dataset_metrics.csv,reports/u0_core_ablation.md,Locked K3 Local branch without Global evidence
u0_local_d1_only,u0_locked_v1,u0_k3_local_only,Local first-order only,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,false,1,mean,23,3,0.0,0.1,higher_is_real,0.8236780571608288,0.8170672385250803,valid_ablation,main_ablation,results/second_order_independent_calibration/dataset_metrics.csv,reports/second_order_and_independent_calibration.md,Controlled Local temporal D1 counterpart with all other factors frozen
u0_local_d2_only,u0_locked_v1,u0_local_d1_only,Local second-order only,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,false,1,mean,23,3,0.0,0.1,higher_is_real,0.8322862307244704,0.8281381053169868,valid_ablation,main_ablation,results/second_order_independent_calibration/dataset_metrics.csv,reports/second_order_and_independent_calibration.md,Controlled Local temporal D2 counterpart with all other factors frozen
u0_full_local_d1,u0_locked_v1,u0_local_d1_only,Full model with Local D1,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,false,1,mean,23,3,0.6,0.1,higher_is_real,0.872143488291739,0.8695047163809134,valid_direct_control,main_ablation,results/second_order_independent_calibration/dataset_metrics.csv,reports/second_order_and_independent_calibration.md,Full locked model with Local D2 replaced only by Local D1
u0_independent_calibration_3seed,u0_locked_v1,alpha_stalled_u0_locked,Independent calibration three-seed mean,worktree_on_794f7e087398f436abea2cea38820d8708022c7c,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,false,1,mean,23,3,0.6,0.1,higher_is_real,0.8718471056449891,0.8683547359515412,diagnostic_only,audit_only,results/second_order_independent_calibration/independent_seed_metrics.csv,reports/second_order_and_independent_calibration.md,Predeclared seeds 17/29/43 quantify calibration-bank sensitivity and do not constitute a leakage repair
u0_k5_mean,strict20_fixed_intersection_v1,historical_dataset_specific_k3,K5 MW2,266c38cfe292747d62b8cf28f68320d287f542ca,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,true,"3/1/2","bottom20/mean/mean",23,5,0.6,0.1,higher_is_real,0.866343,0.867231,rejected,supplement_failed_ablation,results/multi_window_joint_typicality/multi_window_candidate_metrics.csv,reports/multi_window_joint_typicality.md,Lower AP and higher cost than K3 historical comparator
u0_all_window_mean,strict20_fixed_intersection_v1,historical_dataset_specific_k3,All-window MW2,266c38cfe292747d62b8cf28f68320d287f542ca,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,true,"3/1/2","bottom20/mean/mean",23,all,0.6,0.1,higher_is_real,0.871180,0.869525,rejected,supplement_failed_ablation,results/multi_window_joint_typicality/multi_window_candidate_metrics.csv,reports/multi_window_joint_typicality.md,No AP gain and duration-K calibration confounding
u0_k3_local_hybrid,strict20_fixed_intersection_v1,historical_dataset_specific_k3,K3 local hybrid MW4,266c38cfe292747d62b8cf28f68320d287f542ca,"ComGenVid;VideoFeedback;GenVideo",21421,200,0,true,"3/1/2","bottom20/mean/mean",23,3,0.6,0.1,higher_is_real,0.868740,0.869095,rejected,supplement_failed_ablation,results/multi_window_joint_typicality/multi_window_candidate_metrics.csv,reports/multi_window_joint_typicality.md,Lower-tail aggregation significantly below MW2
