duration_bin,dataset,generator,n_real_available,n_fake_available
2_to_4,videofeedback,AnimateDiff,500,300
2_to_4,videofeedback,Fast-SVD,500,300
2_to_4,videofeedback,LVDM,500,300
2_to_4,videofeedback,LaVie-base,500,300
2_to_4,videofeedback,ModelScope,500,300
2_to_4,videofeedback,Pika,500,300
2_to_4,videofeedback,SoRA-Clip,500,300
2_to_4,videofeedback,Text2Video-Zero,500,300
2_to_4,videofeedback,VideoCrafter2,500,300
2_to_4,videofeedback,ZeroScope-576w,500,300
4_to_8,comgenvid,Sora,357,1384
8_to_16,comgenvid,Sora,408,306
8_to_16,comgenvid,VEO3,408,1700
8_to_16,genvideo,Sora,5403,29
8_to_16,genvideo,WildScrape,5403,33
16_plus,genvideo,Sora,2581,27
16_plus,genvideo,WildScrape,2581,38
