duration_bin,selector,baseline,scope,dataset,metric,delta_mean,ci95_low,ci95_high,bootstrap_iterations
2_to_4,feature_change,uniform,generator_pairwise_dataset_macro,videofeedback,auc,-0.0021005477777777766,-0.002541166666666651,-0.0016187638888889128,1000
2_to_4,feature_change,uniform,generator_pairwise_dataset_macro,videofeedback,ap_real,-0.002311651057726986,-0.0028758405341253565,-0.0017728993812295797,1000
2_to_4,real_anomaly,uniform,generator_pairwise_dataset_macro,videofeedback,auc,-0.0024821116666666676,-0.0029789722222222418,-0.002006638888888923,1000
2_to_4,real_anomaly,uniform,generator_pairwise_dataset_macro,videofeedback,ap_real,-0.0028050939132560544,-0.0035227102404133703,-0.002104880410581374,1000
2_to_4,feature_change,uniform,generator_pairwise_macro3,Macro-3,auc,-0.0021005477777777766,-0.002541166666666651,-0.0016187638888889128,1000
2_to_4,feature_change,uniform,generator_pairwise_macro3,Macro-3,ap_real,-0.002311651057726986,-0.0028758405341253565,-0.0017728993812295797,1000
2_to_4,real_anomaly,uniform,generator_pairwise_macro3,Macro-3,auc,-0.0024821116666666676,-0.0029789722222222418,-0.002006638888888923,1000
2_to_4,real_anomaly,uniform,generator_pairwise_macro3,Macro-3,ap_real,-0.0028050939132560544,-0.0035227102404133703,-0.002104880410581374,1000
4_to_8,feature_change,uniform,generator_pairwise_dataset_macro,comgenvid,auc,0.0012852395860304916,-0.0034133261147598127,0.0062623088451066004,1000
4_to_8,feature_change,uniform,generator_pairwise_dataset_macro,comgenvid,ap_real,0.0027070234175562246,-0.001957120699473014,0.007664415980928884,1000
4_to_8,real_anomaly,uniform,generator_pairwise_dataset_macro,comgenvid,auc,-0.0053027485504005475,-0.011194772026457637,0.0005298197710456752,1000
4_to_8,real_anomaly,uniform,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.006092665167236556,-0.011463281368196831,-0.0007954071710765102,1000
4_to_8,feature_change,uniform,generator_pairwise_macro3,Macro-3,auc,0.0012852395860304916,-0.0034133261147598127,0.0062623088451066004,1000
4_to_8,feature_change,uniform,generator_pairwise_macro3,Macro-3,ap_real,0.0027070234175562246,-0.001957120699473014,0.007664415980928884,1000
4_to_8,real_anomaly,uniform,generator_pairwise_macro3,Macro-3,auc,-0.0053027485504005475,-0.011194772026457637,0.0005298197710456752,1000
4_to_8,real_anomaly,uniform,generator_pairwise_macro3,Macro-3,ap_real,-0.006092665167236556,-0.011463281368196831,-0.0007954071710765102,1000
8_to_16,feature_change,uniform,generator_pairwise_dataset_macro,comgenvid,auc,-0.0028500721877803338,-0.008455022974603914,0.0026385334566834777,1000
8_to_16,feature_change,uniform,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.0035171797305115146,-0.010264216947562138,0.0034133310106116694,1000
8_to_16,real_anomaly,uniform,generator_pairwise_dataset_macro,comgenvid,auc,-0.0059746399955679435,-0.01278631065375498,0.0008469882710709544,1000
8_to_16,real_anomaly,uniform,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.011174141339844517,-0.021407875223114704,-0.002206176220451766,1000
8_to_16,feature_change,uniform,generator_pairwise_dataset_macro,genvideo,auc,-0.02512928577745895,-0.060107370319779765,0.005917146276296711,1000
8_to_16,feature_change,uniform,generator_pairwise_dataset_macro,genvideo,ap_real,-0.014437859050273023,-0.03959915644436843,0.013708882682556687,1000
8_to_16,real_anomaly,uniform,generator_pairwise_dataset_macro,genvideo,auc,-0.04995809243663531,-0.09912407776827839,0.0025129551923951045,1000
8_to_16,real_anomaly,uniform,generator_pairwise_dataset_macro,genvideo,ap_real,-0.006499685505661679,-0.04894031762815513,0.03903370519522357,1000
8_to_16,feature_change,uniform,generator_pairwise_macro3,Macro-3,auc,-0.013989678982619642,-0.032047134075048896,0.0015179197963333493,1000
8_to_16,feature_change,uniform,generator_pairwise_macro3,Macro-3,ap_real,-0.008977519390392269,-0.02173077873955867,0.005518037163753397,1000
8_to_16,real_anomaly,uniform,generator_pairwise_macro3,Macro-3,auc,-0.027966366216101626,-0.05374516292998752,-0.0015293168461112756,1000
8_to_16,real_anomaly,uniform,generator_pairwise_macro3,Macro-3,ap_real,-0.0088369134227531,-0.03049752146867472,0.014156877583334029,1000
16_plus,feature_change,uniform,generator_pairwise_dataset_macro,genvideo,auc,0.03396269079944827,0.009047887241658297,0.06201932622193341,1000
16_plus,feature_change,uniform,generator_pairwise_dataset_macro,genvideo,ap_real,0.03366366583404047,0.009341629239055387,0.06232782479746546,1000
16_plus,real_anomaly,uniform,generator_pairwise_dataset_macro,genvideo,auc,0.015355895118725987,-0.015499605291656638,0.051857254748849516,1000
16_plus,real_anomaly,uniform,generator_pairwise_dataset_macro,genvideo,ap_real,0.0015818559567658567,-0.03460492938901316,0.03622821530881492,1000
16_plus,feature_change,uniform,generator_pairwise_macro3,Macro-3,auc,0.03396269079944827,0.009047887241658297,0.06201932622193341,1000
16_plus,feature_change,uniform,generator_pairwise_macro3,Macro-3,ap_real,0.03366366583404047,0.009341629239055387,0.06232782479746546,1000
16_plus,real_anomaly,uniform,generator_pairwise_macro3,Macro-3,auc,0.015355895118725987,-0.015499605291656638,0.051857254748849516,1000
16_plus,real_anomaly,uniform,generator_pairwise_macro3,Macro-3,ap_real,0.0015818559567658567,-0.03460492938901316,0.03622821530881492,1000
