duration_bin,selector,run_name,scope,dataset,auc,ap_real,n_generators,n_pairwise_real,n_pairwise_fake,pairwise_seed,pair_identity_source
2_to_4,uniform,uniform,generator_pairwise_dataset_macro,videofeedback,0.8621399999999999,0.8686679558954129,10,3000,3000,42,uniform
2_to_4,feature_change,feature_change,generator_pairwise_dataset_macro,videofeedback,0.8600316666666666,0.8663264187933525,10,3000,3000,42,uniform
2_to_4,real_anomaly,real_anomaly,generator_pairwise_dataset_macro,videofeedback,0.8596494444444446,0.8657904633634554,10,3000,3000,42,uniform
2_to_4,uniform,uniform,eligible_dataset_macro,Eligible-Macro,0.8621399999999999,0.8686679558954129,10,3000,3000,42,uniform
2_to_4,feature_change,feature_change,eligible_dataset_macro,Eligible-Macro,0.8600316666666666,0.8663264187933525,10,3000,3000,42,uniform
2_to_4,real_anomaly,real_anomaly,eligible_dataset_macro,Eligible-Macro,0.8596494444444446,0.8657904633634554,10,3000,3000,42,uniform
4_to_8,uniform,uniform,generator_pairwise_dataset_macro,comgenvid,0.898586885734686,0.9031070811987191,1,357,357,42,uniform
4_to_8,feature_change,feature_change,generator_pairwise_dataset_macro,comgenvid,0.8998148278919411,0.9057747132666967,1,357,357,42,uniform
4_to_8,real_anomaly,real_anomaly,generator_pairwise_dataset_macro,comgenvid,0.8932161099734012,0.8969205348774119,1,357,357,42,uniform
4_to_8,uniform,uniform,eligible_dataset_macro,Eligible-Macro,0.898586885734686,0.9031070811987191,1,357,357,42,uniform
4_to_8,feature_change,feature_change,eligible_dataset_macro,Eligible-Macro,0.8998148278919411,0.9057747132666967,1,357,357,42,uniform
4_to_8,real_anomaly,real_anomaly,eligible_dataset_macro,Eligible-Macro,0.8932161099734012,0.8969205348774119,1,357,357,42,uniform
8_to_16,uniform,uniform,generator_pairwise_dataset_macro,comgenvid,0.8739755876479132,0.8821397705709433,2,714,714,42,uniform
8_to_16,feature_change,feature_change,generator_pairwise_dataset_macro,comgenvid,0.8710176574714853,0.8784982215176624,2,714,714,42,uniform
8_to_16,real_anomaly,real_anomaly,generator_pairwise_dataset_macro,comgenvid,0.867973121982998,0.870677086623135,2,714,714,42,uniform
8_to_16,uniform,uniform,generator_pairwise_dataset_macro,genvideo,0.6907825416635275,0.7179051368205258,2,62,62,42,uniform
8_to_16,feature_change,feature_change,generator_pairwise_dataset_macro,genvideo,0.665362139391974,0.7017040193841507,2,62,62,42,uniform
8_to_16,real_anomaly,real_anomaly,generator_pairwise_dataset_macro,genvideo,0.6412072295760545,0.7129635808792039,2,62,62,42,uniform
8_to_16,uniform,uniform,eligible_dataset_macro,Eligible-Macro,0.7823790646557203,0.8000224536957345,4,776,776,42,uniform
8_to_16,feature_change,feature_change,eligible_dataset_macro,Eligible-Macro,0.7681898984317297,0.7901011204509065,4,776,776,42,uniform
8_to_16,real_anomaly,real_anomaly,eligible_dataset_macro,Eligible-Macro,0.7545901757795263,0.7918203337511694,4,776,776,42,uniform
16_plus,uniform,uniform,generator_pairwise_dataset_macro,genvideo,0.7813189908385866,0.7204690379610434,2,65,65,42,uniform
16_plus,feature_change,feature_change,generator_pairwise_dataset_macro,genvideo,0.815608981300989,0.7558683005898623,2,65,65,42,uniform
16_plus,real_anomaly,real_anomaly,generator_pairwise_dataset_macro,genvideo,0.7959585855476898,0.7183163994031924,2,65,65,42,uniform
16_plus,uniform,uniform,eligible_dataset_macro,Eligible-Macro,0.7813189908385866,0.7204690379610434,2,65,65,42,uniform
16_plus,feature_change,feature_change,eligible_dataset_macro,Eligible-Macro,0.815608981300989,0.7558683005898623,2,65,65,42,uniform
16_plus,real_anomaly,real_anomaly,eligible_dataset_macro,Eligible-Macro,0.7959585855476898,0.7183163994031924,2,65,65,42,uniform
