selector,baseline,scope,dataset,metric,delta_mean,ci95_low,ci95_high,bootstrap_iterations
random,uniform,generator_pairwise_dataset_macro,genvidbench,auc,0.0029727166666666683,-0.005016388888888856,0.010882777777777868,1000
random,uniform,generator_pairwise_dataset_macro,genvidbench,ap_real,0.0009175449683312028,-0.0058317337840937565,0.00726155100493892,1000
feature_change,uniform,generator_pairwise_dataset_macro,genvidbench,auc,0.026590249999999996,0.015429999999999859,0.03791902777777749,1000
feature_change,uniform,generator_pairwise_dataset_macro,genvidbench,ap_real,0.025120185372928455,0.016253486319136628,0.034623803853042805,1000
random,uniform,generator_pairwise_macro3,Macro-3,auc,0.0029727166666666683,-0.005016388888888856,0.010882777777777868,1000
random,uniform,generator_pairwise_macro3,Macro-3,ap_real,0.0009175449683312028,-0.0058317337840937565,0.00726155100493892,1000
feature_change,uniform,generator_pairwise_macro3,Macro-3,auc,0.026590249999999996,0.015429999999999859,0.03791902777777749,1000
feature_change,uniform,generator_pairwise_macro3,Macro-3,ap_real,0.025120185372928455,0.016253486319136628,0.034623803853042805,1000
feature_change,random,generator_pairwise_dataset_macro,genvidbench,auc,0.023387222222222222,0.012698333333333598,0.03511624999999998,1000
feature_change,random,generator_pairwise_dataset_macro,genvidbench,ap_real,0.024258566857949235,0.015133882602351911,0.0348534529047073,1000
feature_change,random,generator_pairwise_macro3,Macro-3,auc,0.023387222222222222,0.012698333333333598,0.03511624999999998,1000
feature_change,random,generator_pairwise_macro3,Macro-3,ap_real,0.024258566857949235,0.015133882602351911,0.0348534529047073,1000
