branch,selector,run_name,scope,dataset,auc,ap_real,n_generators,n_pairwise_real,n_pairwise_fake,pairwise_seed,pair_identity_source
global,uniform,uniform,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42,uniform
global,random,random,generator_pairwise_dataset_macro,comgenvid,0.8589636832158571,0.8684367916651274,2,1796,1796,42,uniform
global,feature_change,feature_change,generator_pairwise_dataset_macro,comgenvid,0.8625416044563272,0.8695587631552195,2,1796,1796,42,uniform
global,real_anomaly,real_anomaly,generator_pairwise_dataset_macro,comgenvid,0.8613495840794441,0.8676808115022784,2,1796,1796,42,uniform
global,real_anomaly_nms,real_anomaly_nms,generator_pairwise_dataset_macro,comgenvid,0.8607620993943483,0.8679607980330555,2,1796,1796,42,uniform
global,stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_dataset_macro,comgenvid,0.8649721479556152,0.8731971738264359,2,1796,1796,42,uniform
global,uniform,uniform,generator_pairwise_dataset_macro,genvideo,0.8320412006290079,0.8140254487728642,8,5639,5639,42,uniform
global,random,random,generator_pairwise_dataset_macro,genvideo,0.8258295229031487,0.8094978555498984,8,5639,5639,42,uniform
global,feature_change,feature_change,generator_pairwise_dataset_macro,genvideo,0.8362903495904221,0.8180671684188571,8,5639,5639,42,uniform
global,real_anomaly,real_anomaly,generator_pairwise_dataset_macro,genvideo,0.8136730034815515,0.8027882801105403,8,5639,5639,42,uniform
global,real_anomaly_nms,real_anomaly_nms,generator_pairwise_dataset_macro,genvideo,0.8112922522053895,0.8007740384780703,8,5639,5639,42,uniform
global,stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_dataset_macro,genvideo,0.8279980723222542,0.8111966568482192,8,5639,5639,42,uniform
global,uniform,uniform,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42,uniform
global,random,random,generator_pairwise_dataset_macro,videofeedback,0.8549533333333332,0.8670246987896835,10,3000,3000,42,uniform
global,feature_change,feature_change,generator_pairwise_dataset_macro,videofeedback,0.8552761111111111,0.8667953292638506,10,3000,3000,42,uniform
global,real_anomaly,real_anomaly,generator_pairwise_dataset_macro,videofeedback,0.8545166666666667,0.8665195171667653,10,3000,3000,42,uniform
global,real_anomaly_nms,real_anomaly_nms,generator_pairwise_dataset_macro,videofeedback,0.8546083333333334,0.865541414614559,10,3000,3000,42,uniform
global,stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_dataset_macro,videofeedback,0.8573544444444444,0.8688564409427704,10,3000,3000,42,uniform
global,uniform,uniform,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42,uniform
global,random,random,generator_pairwise_macro3,Macro-3,0.8465821798174463,0.8483197820015698,20,10435,10435,42,uniform
global,feature_change,feature_change,generator_pairwise_macro3,Macro-3,0.8513693550526202,0.8514737536126424,20,10435,10435,42,uniform
global,real_anomaly,real_anomaly,generator_pairwise_macro3,Macro-3,0.8431797514092207,0.8456628695931947,20,10435,10435,42,uniform
global,real_anomaly_nms,real_anomaly_nms,generator_pairwise_macro3,Macro-3,0.8422208949776904,0.8447587503752283,20,10435,10435,42,uniform
global,stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_macro3,Macro-3,0.8501082215741046,0.8510834238724753,20,10435,10435,42,uniform
local,uniform,uniform,generator_pairwise_dataset_macro,comgenvid,0.8994719148218511,0.8969684589214393,2,1796,1796,42,uniform
local,random,random,generator_pairwise_dataset_macro,comgenvid,0.8893423767739248,0.8863590049028711,2,1796,1796,42,uniform
local,feature_change,feature_change,generator_pairwise_dataset_macro,comgenvid,0.8951254582070525,0.8926505875661881,2,1796,1796,42,uniform
local,real_anomaly,real_anomaly,generator_pairwise_dataset_macro,comgenvid,0.8845271724842635,0.8805871467033382,2,1796,1796,42,uniform
local,real_anomaly_nms,real_anomaly_nms,generator_pairwise_dataset_macro,comgenvid,0.8859954191695477,0.8819514858915829,2,1796,1796,42,uniform
local,stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_dataset_macro,comgenvid,0.8937350261159418,0.8903905985275224,2,1796,1796,42,uniform
local,uniform,uniform,generator_pairwise_dataset_macro,genvideo,0.8446974058663663,0.8179106773551017,8,5639,5639,42,uniform
local,random,random,generator_pairwise_dataset_macro,genvideo,0.8152443960210074,0.7878381309522601,8,5639,5639,42,uniform
local,feature_change,feature_change,generator_pairwise_dataset_macro,genvideo,0.8660859643378687,0.8476913990837776,8,5639,5639,42,uniform
local,real_anomaly,real_anomaly,generator_pairwise_dataset_macro,genvideo,0.8180837834601346,0.8002270110143914,8,5639,5639,42,uniform
local,real_anomaly_nms,real_anomaly_nms,generator_pairwise_dataset_macro,genvideo,0.8170847300506283,0.7963823904623428,8,5639,5639,42,uniform
local,stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_dataset_macro,genvideo,0.8264402227198653,0.7948523506359215,8,5639,5639,42,uniform
local,uniform,uniform,generator_pairwise_dataset_macro,videofeedback,0.736785,0.7538857843755208,10,3000,3000,42,uniform
local,random,random,generator_pairwise_dataset_macro,videofeedback,0.7355400000000001,0.7519524727963631,10,3000,3000,42,uniform
local,feature_change,feature_change,generator_pairwise_dataset_macro,videofeedback,0.7368005555555557,0.7533000696478791,10,3000,3000,42,uniform
local,real_anomaly,real_anomaly,generator_pairwise_dataset_macro,videofeedback,0.7362061111111112,0.7519984991674841,10,3000,3000,42,uniform
local,real_anomaly_nms,real_anomaly_nms,generator_pairwise_dataset_macro,videofeedback,0.7237594444444445,0.7389218596229239,10,3000,3000,42,uniform
local,stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_dataset_macro,videofeedback,0.7374188888888888,0.7539152787458069,10,3000,3000,42,uniform
local,uniform,uniform,generator_pairwise_macro3,Macro-3,0.8269847735627391,0.8229216402173539,20,10435,10435,42,uniform
local,random,random,generator_pairwise_macro3,Macro-3,0.8133755909316441,0.8087165362171648,20,10435,10435,42,uniform
local,feature_change,feature_change,generator_pairwise_macro3,Macro-3,0.8326706593668257,0.8312140187659484,20,10435,10435,42,uniform
local,real_anomaly,real_anomaly,generator_pairwise_macro3,Macro-3,0.8129390223518365,0.8109375522950711,20,10435,10435,42,uniform
local,real_anomaly_nms,real_anomaly_nms,generator_pairwise_macro3,Macro-3,0.8089465312215403,0.8057519119922832,20,10435,10435,42,uniform
local,stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_macro3,Macro-3,0.819198045908232,0.813052742636417,20,10435,10435,42,uniform
