selector,run_name,dataset,auc,ap_real,tpr_at_0_1pct_fpr,tpr_at_1pct_fpr,fpr_at_95pct_tpr,n_real,n_fake,n_generators,auc__uniform,ap_real__uniform,tpr_at_0_1pct_fpr__uniform,tpr_at_1pct_fpr__uniform,fpr_at_95pct_tpr__uniform,n_real__uniform,n_fake__uniform,n_generators__uniform,auc_delta_vs_uniform,ap_real_delta_vs_uniform,tpr_at_0_1pct_fpr_delta_vs_uniform,tpr_at_1pct_fpr_delta_vs_uniform,fpr_at_95pct_tpr_delta_vs_uniform
uniform,uniform,comgenvid,0.8993298834010219,0.7726902109522533,0.0,0.19823529411764707,0.39420935412026725,898,3400,2,0.8993298834010219,0.7726902109522533,0.0,0.19823529411764707,0.39420935412026725,898,3400,2,0.0,0.0,0.0,0.0,0.0
uniform,uniform,genvideo,0.8720592119688926,0.8855285188350331,0.07909203759531831,0.25536442631672285,0.5596192384769539,7984,5639,8,0.8720592119688926,0.8855285188350331,0.07909203759531831,0.25536442631672285,0.5596192384769539,7984,5639,8,0.0,0.0,0.0,0.0,0.0
uniform,uniform,videofeedback,0.8552156666666666,0.571976358542296,0.019,0.10366666666666667,0.54,500,3000,10,0.8552156666666666,0.571976358542296,0.019,0.10366666666666667,0.54,500,3000,10,0.0,0.0,0.0,0.0,0.0
random,random,comgenvid,0.8925599371151578,0.7579777669928606,0.0,0.2576470588235294,0.4198218262806236,898,3400,2,0.8993298834010219,0.7726902109522533,0.0,0.19823529411764707,0.39420935412026725,898,3400,2,-0.006769946285864137,-0.014712443959392751,0.0,0.05941176470588233,0.025612472160356337
random,random,genvideo,0.8591569999370972,0.8758869782119734,0.0445114381982621,0.1959567299166519,0.5836673346693386,7984,5639,8,0.8720592119688926,0.8855285188350331,0.07909203759531831,0.25536442631672285,0.5596192384769539,7984,5639,8,-0.012902212031795424,-0.009641540623059774,-0.03458059939705621,-0.05940769640007096,0.024048096192384683
random,random,videofeedback,0.851652,0.5637581526464048,0.014666666666666666,0.08666666666666667,0.546,500,3000,10,0.8552156666666666,0.571976358542296,0.019,0.10366666666666667,0.54,500,3000,10,-0.0035636666666666317,-0.008218205895891173,-0.004333333333333333,-0.017,0.006000000000000005
feature_change,feature_change,comgenvid,0.8964774662649024,0.766509694862431,0.052941176470588235,0.18294117647058825,0.4142538975501114,898,3400,2,0.8993298834010219,0.7726902109522533,0.0,0.19823529411764707,0.39420935412026725,898,3400,2,-0.0028524171361195005,-0.0061805160898222855,0.052941176470588235,-0.01529411764705882,0.02004454342984413
feature_change,feature_change,genvideo,0.8812792391841673,0.8972705493207735,0.09061890406100373,0.2596205000886682,0.5290581162324649,7984,5639,8,0.8720592119688926,0.8855285188350331,0.07909203759531831,0.25536442631672285,0.5596192384769539,7984,5639,8,0.009220027215274706,0.011742030485740407,0.011526866465685418,0.004256073771945368,-0.030561122244489036
feature_change,feature_change,videofeedback,0.8525543333333332,0.5644624298611345,0.016,0.091,0.55,500,3000,10,0.8552156666666666,0.571976358542296,0.019,0.10366666666666667,0.54,500,3000,10,-0.0026613333333334044,-0.007513928681161519,-0.002999999999999999,-0.012666666666666673,0.010000000000000009
real_anomaly,real_anomaly,comgenvid,0.8944346914712432,0.7575364704525244,0.0,0.2,0.41870824053452116,898,3400,2,0.8993298834010219,0.7726902109522533,0.0,0.19823529411764707,0.39420935412026725,898,3400,2,-0.004895191929778719,-0.015153740499728952,0.0,0.001764705882352946,0.024498886414253906
