selector,run_name,scope,dataset,auc,ap_real,n_generators,n_pairwise_real,n_pairwise_fake,pairwise_seed,pair_identity_source,baseline_auc,baseline_ap_real,auc_delta_vs_uniform,ap_delta_vs_uniform
uniform,uniform,generator_pairwise_dataset_macro,comgenvid,0.9014749430806395,0.9110388468338928,2,1796,1796,42,uniform,0.9014749430806395,0.9110388468338928,0.0,0.0
random,random,generator_pairwise_dataset_macro,comgenvid,0.8944341173902907,0.9035632846184332,2,1796,1796,42,uniform,0.9014749430806395,0.9110388468338928,-0.0070408256903488065,-0.007475562215459641
feature_change,feature_change,generator_pairwise_dataset_macro,comgenvid,0.8985719316868468,0.9071650986882256,2,1796,1796,42,uniform,0.9014749430806395,0.9110388468338928,-0.002903011393792676,-0.0038737481456672107
real_anomaly,real_anomaly,generator_pairwise_dataset_macro,comgenvid,0.8966219165579536,0.9033935403471934,2,1796,1796,42,uniform,0.9014749430806395,0.9110388468338928,-0.004853026522685822,-0.007645306486699366
real_anomaly_nms,real_anomaly_nms,generator_pairwise_dataset_macro,comgenvid,0.8961581291759465,0.9037255186859132,2,1796,1796,42,uniform,0.9014749430806395,0.9110388468338928,-0.005316813904692963,-0.007313328147979581
stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_dataset_macro,comgenvid,0.8991423653652512,0.9080163502415182,2,1796,1796,42,uniform,0.9014749430806395,0.9110388468338928,-0.0023325777153883065,-0.003022496592374635
uniform,uniform,generator_pairwise_dataset_macro,genvideo,0.8585612598531034,0.8391031398830191,8,5639,5639,42,uniform,0.8585612598531034,0.8391031398830191,0.0,0.0
random,random,generator_pairwise_dataset_macro,genvideo,0.8471341156570251,0.8282283877027172,8,5639,5639,42,uniform,0.8585612598531034,0.8391031398830191,-0.011427144196078265,-0.010874752180301872
feature_change,feature_change,generator_pairwise_dataset_macro,genvideo,0.8734943657009698,0.8572263713602222,8,5639,5639,42,uniform,0.8585612598531034,0.8391031398830191,0.014933105847866446,0.018123231477203072
real_anomaly,real_anomaly,generator_pairwise_dataset_macro,genvideo,0.8423076027873,0.8288307354316784,8,5639,5639,42,uniform,0.8585612598531034,0.8391031398830191,-0.016253657065803395,-0.0102724044513407
real_anomaly_nms,real_anomaly_nms,generator_pairwise_dataset_macro,genvideo,0.8388178907333874,0.824010726574697,8,5639,5639,42,uniform,0.8585612598531034,0.8391031398830191,-0.01974336911971597,-0.015092413308322117
stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_dataset_macro,genvideo,0.8507224492135703,0.829599436384123,8,5639,5639,42,uniform,0.8585612598531034,0.8391031398830191,-0.007838810639533067,-0.009503703498896066
uniform,uniform,generator_pairwise_dataset_macro,videofeedback,0.8621399999999999,0.8686679558954129,10,3000,3000,42,uniform,0.8621399999999999,0.8686679558954129,0.0,0.0
random,random,generator_pairwise_dataset_macro,videofeedback,0.8590405555555556,0.8657486975144936,10,3000,3000,42,uniform,0.8621399999999999,0.8686679558954129,-0.0030994444444443214,-0.0029192583809193318
feature_change,feature_change,generator_pairwise_dataset_macro,videofeedback,0.8600316666666666,0.8663264187933525,10,3000,3000,42,uniform,0.8621399999999999,0.8686679558954129,-0.0021083333333332677,-0.0023415371020604203
real_anomaly,real_anomaly,generator_pairwise_dataset_macro,videofeedback,0.8596494444444446,0.8657904633634554,10,3000,3000,42,uniform,0.8621399999999999,0.8686679558954129,-0.0024905555555553294,-0.0028774925319574596
real_anomaly_nms,real_anomaly_nms,generator_pairwise_dataset_macro,videofeedback,0.8560638888888888,0.8614060205206636,10,3000,3000,42,uniform,0.8621399999999999,0.8686679558954129,-0.00607611111111106,-0.007261935374749284
stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_dataset_macro,videofeedback,0.8617133333333333,0.8680676258275085,10,3000,3000,42,uniform,0.8621399999999999,0.8686679558954129,-0.00042666666666657527,-0.0006003300679043866
uniform,uniform,generator_pairwise_macro3,Macro-3,0.8740587343112476,0.8729366475374416,20,10435,10435,42,uniform,0.8740587343112476,0.8729366475374416,0.0,0.0
random,random,generator_pairwise_macro3,Macro-3,0.866869596200957,0.8658467899452146,20,10435,10435,42,uniform,0.8740587343112476,0.8729366475374416,-0.007189138110290538,-0.007089857592227022
feature_change,feature_change,generator_pairwise_macro3,Macro-3,0.8773659880181611,0.8769059629472667,20,10435,10435,42,uniform,0.8740587343112476,0.8729366475374416,0.0033072537069135377,0.003969315409825147
real_anomaly,real_anomaly,generator_pairwise_macro3,Macro-3,0.8661929879298994,0.8660049130474423,20,10435,10435,42,uniform,0.8740587343112476,0.8729366475374416,-0.007865746381348182,-0.006931734489999286
real_anomaly_nms,real_anomaly_nms,generator_pairwise_macro3,Macro-3,0.8636799695994076,0.8630474219270913,20,10435,10435,42,uniform,0.8740587343112476,0.8729366475374416,-0.01037876471183996,-0.009889225610350327
stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_macro3,Macro-3,0.8705260493040515,0.8685611374843832,20,10435,10435,42,uniform,0.8740587343112476,0.8729366475374416,-0.003532685007196057,-0.004375510053058362
