audited_selector,selector,run_name,scope,dataset,auc,ap_real,n_generators,n_pairwise_real,n_pairwise_fake,pairwise_seed,pair_identity_source,uniform_auc,uniform_ap_real,auc_delta_vs_uniform,ap_delta_vs_uniform
feature_change,feature_change,feature_change,generator_pairwise_dataset_macro,comgenvid,0.8985719316868468,0.9071650986882256,2,1796,1796,42,uniform,0.9014749430806395,0.9110388468338928,-0.002903011393792676,-0.0038737481456672107
feature_change,feature_change,feature_change,generator_pairwise_dataset_macro,genvideo,0.8729569088659513,0.8566203911041486,8,5620,5620,42,uniform,0.8580889170060132,0.8385655828781111,0.014867991859938146,0.018054808226037444
feature_change,feature_change,feature_change,generator_pairwise_dataset_macro,videofeedback,0.8641107708464608,0.8706347044546611,10,2838,2838,42,uniform,0.8660779080025204,0.872773780461449,-0.001967137156059562,-0.0021390760067879766
feature_change,feature_change,feature_change,generator_pairwise_macro3,Macro-3,0.8785465371330862,0.8781400647490117,20,10254,10254,42,uniform,0.875213922696391,0.8741260700578177,0.0033326144366951915,0.004013994691194012
random,random,random,generator_pairwise_dataset_macro,comgenvid,0.8944341173902907,0.9035632846184332,2,1796,1796,42,uniform,0.9014749430806395,0.9110388468338928,-0.0070408256903488065,-0.007475562215459641
random,random,random,generator_pairwise_dataset_macro,genvideo,0.8468400384777077,0.8278340382436007,8,5620,5620,42,uniform,0.8580889170060132,0.8385655828781111,-0.011248878528305473,-0.010731544634510426
random,random,random,generator_pairwise_dataset_macro,videofeedback,0.8630184131484983,0.8698436702142744,10,2838,2838,42,uniform,0.8660779080025204,0.872773780461449,-0.0030594948540221267,-0.0029301102471746
random,random,random,generator_pairwise_macro3,Macro-3,0.8680975230054989,0.867080331025436,20,10254,10254,42,uniform,0.875213922696391,0.8741260700578177,-0.007116399690892061,-0.007045739032381704
real_anomaly,real_anomaly,real_anomaly,generator_pairwise_dataset_macro,comgenvid,0.8966219165579536,0.9033935403471934,2,1796,1796,42,uniform,0.9014749430806395,0.9110388468338928,-0.004853026522685822,-0.007645306486699366
real_anomaly,real_anomaly,real_anomaly,generator_pairwise_dataset_macro,genvideo,0.8420370484853341,0.8284192892127779,8,5620,5620,42,uniform,0.8580889170060132,0.8385655828781111,-0.01605186852067908,-0.010146293665333261
real_anomaly,real_anomaly,real_anomaly,generator_pairwise_dataset_macro,videofeedback,0.8638155818105441,0.8701312136698576,10,2838,2838,42,uniform,0.8660779080025204,0.872773780461449,-0.002262326191976305,-0.002642566791591472
real_anomaly,real_anomaly,real_anomaly,generator_pairwise_macro3,Macro-3,0.867491515617944,0.8673146810766097,20,10254,10254,42,uniform,0.875213922696391,0.8741260700578177,-0.007722407078446958,-0.006811388981208033
real_anomaly_nms,real_anomaly_nms,real_anomaly_nms,generator_pairwise_dataset_macro,comgenvid,0.8954212146327225,0.9027276017475253,2,1752,1752,42,uniform,0.9008090557953337,0.9101709561951318,-0.005387841162611151,-0.007443354447606465
real_anomaly_nms,real_anomaly_nms,real_anomaly_nms,generator_pairwise_dataset_macro,genvideo,0.8317871024626154,0.8207677976769678,7,4074,4074,42,uniform,0.8502518228970498,0.8354181253609525,-0.018464720434434367,-0.014650327683984665
real_anomaly_nms,real_anomaly_nms,real_anomaly_nms,generator_pairwise_dataset_macro,videofeedback,0.7731225934813498,0.7833513488590748,7,909,909,42,uniform,0.7740780653591494,0.7835910649481347,-0.0009554718777995408,-0.00023971608905992703
real_anomaly_nms,real_anomaly_nms,real_anomaly_nms,generator_pairwise_macro3,Macro-3,0.8334436368588959,0.8356155827611893,16,6735,6735,42,uniform,0.841712981350511,0.8430600488347397,-0.008269344491615094,-0.0074444660735504264
stratified_real_anomaly,stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_dataset_macro,comgenvid,0.8991423653652512,0.9080163502415182,2,1796,1796,42,uniform,0.9014749430806395,0.9110388468338928,-0.0023325777153883065,-0.003022496592374635
stratified_real_anomaly,stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_dataset_macro,genvideo,0.8503079480275046,0.8290925771990125,8,5620,5620,42,uniform,0.8580889170060132,0.8385655828781111,-0.007780968978508551,-0.00947300567909859
stratified_real_anomaly,stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_dataset_macro,videofeedback,0.865830265700483,0.8724805681281907,10,2838,2838,42,uniform,0.8660779080025204,0.872773780461449,-0.00024764230203733195,-0.000293212333258297
stratified_real_anomaly,stratified_real_anomaly,stratified_real_anomaly,generator_pairwise_macro3,Macro-3,0.8717601930310795,0.8698631651895737,20,10254,10254,42,uniform,0.875213922696391,0.8741260700578177,-0.0034537296653114335,-0.0042629048682439885
