selector,dataset,videos,effective_k_mean,center_span_mean_seconds,minimum_distance_mean_seconds,selected_unique_frames_mean
feature_change,comgenvid,4298,2.9990693345742208,1.8990518845974873,0.4895881805490926,27.776174965100047
feature_change,genvideo,13623,2.7388974528371137,2.824350363356089,0.40551824120971885,27.216472142699846
feature_change,videofeedback,3500,1.836,0.4177142857142857,0.22057142857142858,19.341714285714286
random,comgenvid,4298,2.9990693345742208,3.3392857142857144,0.9794671940437413,36.235691019078644
random,genvideo,13623,2.7388974528371137,4.561054833737062,1.2453846436174116,34.517507157013874
random,videofeedback,3500,1.836,0.4177142857142857,0.22057142857142858,19.341714285714286
real_anomaly,comgenvid,4298,2.9990693345742208,1.0015704979060027,0.4997091670544439,24.006979990693345
real_anomaly,genvideo,13623,2.7388974528371137,1.0027435219848786,0.4147489539748954,23.30609997797842
real_anomaly,videofeedback,3500,1.836,0.4177142857142857,0.22057142857142858,19.341714285714286
real_anomaly_nms,comgenvid,4298,2.993950674732434,1.99688808748255,0.9994474174034434,31.963936714751046
real_anomaly_nms,genvideo,13623,2.57256110988769,1.8624018204507085,0.8397929971371945,29.280187917492476
real_anomaly_nms,videofeedback,3500,1.3942857142857144,0.3942857142857143,0.3942857142857143,19.154285714285713
stratified_real_anomaly,comgenvid,4298,2.9990693345742208,3.8274197301070267,1.8665076779897627,41.849697533736624
stratified_real_anomaly,genvideo,13623,2.7388974528371137,5.6685385010643765,2.523700726712178,37.646847243632095
stratified_real_anomaly,videofeedback,3500,1.836,0.4177142857142857,0.22057142857142858,19.341714285714286
uniform,comgenvid,4298,2.9990693345742208,5.659812703583062,2.8234644020474637,44.91926477431363
uniform,genvideo,13623,2.7402921529765836,8.271718784408721,4.12384386698965,38.68068707333187
uniform,videofeedback,3500,1.8834285714285715,0.4177142857142857,0.20885714285714285,19.341714285714286
