comparison,candidate,baseline,dataset,auc_delta,ap_delta
uniform:cvar10_vs_mean,uniform__cvar_10__standard,uniform__mean__standard,comgenvid,-0.012775854286437127,-0.009301842667514881
uniform:cvar10_vs_mean,uniform__cvar_10__standard,uniform__mean__standard,genvideo,-0.019603760814842497,-0.020550005627664625
uniform:cvar10_vs_mean,uniform__cvar_10__standard,uniform__mean__standard,videofeedback,-0.0061577777777777065,-0.006065752762781762
uniform:cvar10_vs_mean,uniform__cvar_10__standard,uniform__mean__standard,Macro-3,-0.012845797626352518,-0.011972533685987052
feature_change:cvar10_vs_mean,feature_change__cvar_10__standard,feature_change__mean__standard,comgenvid,-0.012447854921354473,-0.008991399748443984
feature_change:cvar10_vs_mean,feature_change__cvar_10__standard,feature_change__mean__standard,genvideo,-0.024667009732496026,-0.028247933112988233
feature_change:cvar10_vs_mean,feature_change__cvar_10__standard,feature_change__mean__standard,videofeedback,-0.0070438888888887385,-0.007169167284248212
feature_change:cvar10_vs_mean,feature_change__cvar_10__standard,feature_change__mean__standard,Macro-3,-0.014719584514246487,-0.014802833381893477
real_anomaly:cvar10_vs_mean,real_anomaly__cvar_10__standard,real_anomaly__mean__standard,comgenvid,-0.01326072291308078,-0.009380135657973132
real_anomaly:cvar10_vs_mean,real_anomaly__cvar_10__standard,real_anomaly__mean__standard,genvideo,-0.016660920006190794,-0.017312309582621976
real_anomaly:cvar10_vs_mean,real_anomaly__cvar_10__standard,real_anomaly__mean__standard,videofeedback,-0.007370000000000099,-0.007687355542348895
real_anomaly:cvar10_vs_mean,real_anomaly__cvar_10__standard,real_anomaly__mean__standard,Macro-3,-0.01243054763975715,-0.01145993359431452
real_anomaly:crossfit_vs_standard_mean,real_anomaly__mean__crossfit5,real_anomaly__mean__standard,comgenvid,0.0006203466252645562,0.00047237248296172485
real_anomaly:crossfit_vs_standard_mean,real_anomaly__mean__crossfit5,real_anomaly__mean__standard,genvideo,0.00395295315050137,0.003531600365346055
real_anomaly:crossfit_vs_standard_mean,real_anomaly__mean__crossfit5,real_anomaly__mean__standard,videofeedback,0.002586111111111067,0.002844495533126712
real_anomaly:crossfit_vs_standard_mean,real_anomaly__mean__crossfit5,real_anomaly__mean__standard,Macro-3,0.0023864702956256645,0.002282822793811534
real_anomaly:crossfit_vs_standard_cvar10,real_anomaly__cvar_10__crossfit5,real_anomaly__cvar_10__standard,comgenvid,-0.0006860705056026539,-0.00039139822470324326
real_anomaly:crossfit_vs_standard_cvar10,real_anomaly__cvar_10__crossfit5,real_anomaly__cvar_10__standard,genvideo,0.004666683086555046,0.0032109738489704
real_anomaly:crossfit_vs_standard_cvar10,real_anomaly__cvar_10__crossfit5,real_anomaly__cvar_10__standard,videofeedback,0.0028388888888887243,0.0034800517166209133
real_anomaly:crossfit_vs_standard_cvar10,real_anomaly__cvar_10__crossfit5,real_anomaly__cvar_10__standard,Macro-3,0.0022731671566136313,0.0020998757802960233
