comparison,candidate,baseline,scope,dataset,metric,delta_mean,ci95_low,ci95_high,bootstrap_iterations
uniform:cvar10_vs_mean,uniform__cvar_10__standard,uniform__mean__standard,generator_pairwise_dataset_macro,comgenvid,auc,-0.012753562420325295,-0.015133287719306852,-0.01036064119225597,1000
uniform:cvar10_vs_mean,uniform__cvar_10__standard,uniform__mean__standard,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.009291924937559103,-0.011256349655391353,-0.00735402929268568,1000
feature_change:cvar10_vs_mean,feature_change__cvar_10__standard,feature_change__mean__standard,generator_pairwise_dataset_macro,comgenvid,auc,-0.012461517738007253,-0.015203313103605684,-0.009759786967822632,1000
feature_change:cvar10_vs_mean,feature_change__cvar_10__standard,feature_change__mean__standard,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.009011951514786537,-0.011031407969684215,-0.006779765368029216,1000
real_anomaly:cvar10_vs_mean,real_anomaly__cvar_10__standard,real_anomaly__mean__standard,generator_pairwise_dataset_macro,comgenvid,auc,-0.013236790740125298,-0.015964098020347053,-0.010634154840501774,1000
real_anomaly:cvar10_vs_mean,real_anomaly__cvar_10__standard,real_anomaly__mean__standard,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.009370062002614156,-0.011482721530809734,-0.007270524982330201,1000
real_anomaly:crossfit_vs_standard_mean,real_anomaly__mean__crossfit5,real_anomaly__mean__standard,generator_pairwise_dataset_macro,comgenvid,auc,0.0006255230008779749,-8.463499685002346e-05,0.0013474868056208367,1000
real_anomaly:crossfit_vs_standard_mean,real_anomaly__mean__crossfit5,real_anomaly__mean__standard,generator_pairwise_dataset_macro,comgenvid,ap_real,0.0004736423240421982,-0.00011680174175968949,0.0010657838203859584,1000
real_anomaly:crossfit_vs_standard_cvar10,real_anomaly__cvar_10__crossfit5,real_anomaly__cvar_10__standard,generator_pairwise_dataset_macro,comgenvid,auc,-0.000680224490453922,-0.0013690795804584017,3.104833309356121e-05,1000
real_anomaly:crossfit_vs_standard_cvar10,real_anomaly__cvar_10__crossfit5,real_anomaly__cvar_10__standard,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.00037927747388438396,-0.000949976012802356,0.0001881785371880702,1000
