calibration_bank,evaluation_domain,run_name,scope,dataset,auc,ap_real,n_generators,n_pairwise_real,n_pairwise_fake,pairwise_seed
comgenvid,comgenvid,comgenvid,generator_pairwise_dataset_macro,comgenvid,0.9030216243967044,0.9108912414636443,2,1796,1796,42
comgenvid,videofeedback,comgenvid,generator_pairwise_dataset_macro,videofeedback,0.8417022222222222,0.8541907906406694,10,3000,3000,42
comgenvid,genvideo,comgenvid,generator_pairwise_dataset_macro,genvideo,0.8507199082002163,0.8400194130592126,8,5639,5639,42
comgenvid,genvidbench,comgenvid,generator_pairwise_dataset_macro,genvidbench,0.8357777777777777,0.8343399290307993,1,300,300,42
videofeedback,comgenvid,videofeedback,generator_pairwise_dataset_macro,comgenvid,0.8665070485761479,0.8634610293509237,2,1796,1796,42
videofeedback,videofeedback,videofeedback,generator_pairwise_dataset_macro,videofeedback,0.8501022222222222,0.8553262368310278,10,3000,3000,42
videofeedback,genvideo,videofeedback,generator_pairwise_dataset_macro,genvideo,0.8496018269978427,0.8313521802486971,8,5639,5639,42
videofeedback,genvidbench,videofeedback,generator_pairwise_dataset_macro,genvidbench,0.8092555555555555,0.7994188774006286,1,300,300,42
genvideo,comgenvid,genvideo,generator_pairwise_dataset_macro,comgenvid,0.8539646380722318,0.8588834239526115,2,1796,1796,42
genvideo,videofeedback,genvideo,generator_pairwise_dataset_macro,videofeedback,0.8200494444444445,0.8275015165547547,10,3000,3000,42
genvideo,genvideo,genvideo,generator_pairwise_dataset_macro,genvideo,0.878135468289114,0.8623399090447335,8,5639,5639,42
genvideo,genvidbench,genvideo,generator_pairwise_dataset_macro,genvidbench,0.8339333333333333,0.8350926650625458,1,300,300,42
genvidbench,comgenvid,genvidbench,generator_pairwise_dataset_macro,comgenvid,0.854860590969291,0.8640702234066944,2,1796,1796,42
genvidbench,videofeedback,genvidbench,generator_pairwise_dataset_macro,videofeedback,0.8179461111111112,0.8252531408698282,10,3000,3000,42
genvidbench,genvideo,genvidbench,generator_pairwise_dataset_macro,genvideo,0.8679822666773658,0.8491983570019579,8,5639,5639,42
genvidbench,genvidbench,genvidbench,generator_pairwise_dataset_macro,genvidbench,0.870211111111111,0.8707851673283038,1,300,300,42
universal3,comgenvid,universal3,generator_pairwise_dataset_macro,comgenvid,0.8911200217260826,0.8998700246854026,2,1796,1796,42
universal3,videofeedback,universal3,generator_pairwise_dataset_macro,videofeedback,0.8334661111111112,0.8441259077686052,10,3000,3000,42
universal3,genvideo,universal3,generator_pairwise_dataset_macro,genvideo,0.8687750785288002,0.8569253722936154,8,5639,5639,42
universal3,genvidbench,universal3,generator_pairwise_dataset_macro,genvidbench,0.8250666666666666,0.8276769591150569,1,300,300,42
universal4,comgenvid,universal4,generator_pairwise_dataset_macro,comgenvid,0.8851623999880953,0.8959167228611544,2,1796,1796,42
universal4,videofeedback,universal4,generator_pairwise_dataset_macro,videofeedback,0.8306099999999998,0.8413997094833832,10,3000,3000,42
universal4,genvideo,universal4,generator_pairwise_dataset_macro,genvideo,0.8716966500452545,0.8582846660954317,8,5639,5639,42
universal4,genvidbench,universal4,generator_pairwise_dataset_macro,genvidbench,0.8420500000000001,0.8432692148352386,1,300,300,42
