selector,baseline,scope,dataset,metric,delta_mean,ci95_low,ci95_high,bootstrap_iterations,evaluation_domain
universal3,comgenvid,generator_pairwise_dataset_macro,comgenvid,auc,-0.011982701598702392,-0.01577471558920842,-0.008429490677129566,1000,comgenvid
universal3,comgenvid,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.011068321420640568,-0.01557371661792204,-0.006927094128553737,1000,comgenvid
universal4,comgenvid,generator_pairwise_dataset_macro,comgenvid,auc,-0.01787236856464006,-0.0214410983824486,-0.014365449886161296,1000,comgenvid
universal4,comgenvid,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.014957679874087968,-0.01901023384723048,-0.011216687882689414,1000,comgenvid
universal3,comgenvid,generator_pairwise_macro3,Macro-3,auc,-0.011982701598702392,-0.01577471558920842,-0.008429490677129566,1000,comgenvid
universal3,comgenvid,generator_pairwise_macro3,Macro-3,ap_real,-0.011068321420640568,-0.01557371661792204,-0.006927094128553737,1000,comgenvid
universal4,comgenvid,generator_pairwise_macro3,Macro-3,auc,-0.01787236856464006,-0.0214410983824486,-0.014365449886161296,1000,comgenvid
universal4,comgenvid,generator_pairwise_macro3,Macro-3,ap_real,-0.014957679874087968,-0.01901023384723048,-0.011216687882689414,1000,comgenvid
universal3,videofeedback,generator_pairwise_dataset_macro,videofeedback,auc,-0.016553242222222226,-0.01978218055555556,-0.013145458333333304,1000,videofeedback
universal3,videofeedback,generator_pairwise_dataset_macro,videofeedback,ap_real,-0.011155106021188424,-0.014679111432577857,-0.007557814009196537,1000,videofeedback
universal4,videofeedback,generator_pairwise_dataset_macro,videofeedback,auc,-0.019543255555555562,-0.023304805555555516,-0.01562765277777779,1000,videofeedback
universal4,videofeedback,generator_pairwise_dataset_macro,videofeedback,ap_real,-0.013990144026847614,-0.01826189132074597,-0.009542772116986899,1000,videofeedback
universal3,videofeedback,generator_pairwise_macro3,Macro-3,auc,-0.016553242222222226,-0.01978218055555556,-0.013145458333333304,1000,videofeedback
universal3,videofeedback,generator_pairwise_macro3,Macro-3,ap_real,-0.011155106021188424,-0.014679111432577857,-0.007557814009196537,1000,videofeedback
universal4,videofeedback,generator_pairwise_macro3,Macro-3,auc,-0.019543255555555562,-0.023304805555555516,-0.01562765277777779,1000,videofeedback
universal4,videofeedback,generator_pairwise_macro3,Macro-3,ap_real,-0.013990144026847614,-0.01826189132074597,-0.009542772116986899,1000,videofeedback
universal3,genvideo,generator_pairwise_dataset_macro,genvideo,auc,-0.009324175274681035,-0.0122955195671672,-0.006418945904026885,1000,genvideo
universal3,genvideo,generator_pairwise_dataset_macro,genvideo,ap_real,-0.005399587947580897,-0.00909406093551039,-0.002061494749111949,1000,genvideo
universal4,genvideo,generator_pairwise_dataset_macro,genvideo,auc,-0.006408017478597331,-0.00925559632724275,-0.003903898621761392,1000,genvideo
universal4,genvideo,generator_pairwise_dataset_macro,genvideo,ap_real,-0.004020797564437193,-0.007759570892860945,-0.0006774711711629478,1000,genvideo
universal3,genvideo,generator_pairwise_macro3,Macro-3,auc,-0.009324175274681035,-0.0122955195671672,-0.006418945904026885,1000,genvideo
universal3,genvideo,generator_pairwise_macro3,Macro-3,ap_real,-0.005399587947580897,-0.00909406093551039,-0.002061494749111949,1000,genvideo
universal4,genvideo,generator_pairwise_macro3,Macro-3,auc,-0.006408017478597331,-0.00925559632724275,-0.003903898621761392,1000,genvideo
universal4,genvideo,generator_pairwise_macro3,Macro-3,ap_real,-0.004020797564437193,-0.007759570892860945,-0.0006774711711629478,1000,genvideo
universal3,genvidbench,generator_pairwise_dataset_macro,genvidbench,auc,-0.04514300555555556,-0.05603916666666686,-0.0350370833333334,1000,genvidbench
universal3,genvidbench,generator_pairwise_dataset_macro,genvidbench,ap_real,-0.04372557322143923,-0.05508519319108502,-0.032838193286845355,1000,genvidbench
universal4,genvidbench,generator_pairwise_dataset_macro,genvidbench,auc,-0.028027488888888896,-0.035817222222222236,-0.020675555555555572,1000,genvidbench
universal4,genvidbench,generator_pairwise_dataset_macro,genvidbench,ap_real,-0.027877598657763254,-0.036942254513587215,-0.018997195948466054,1000,genvidbench
universal3,genvidbench,generator_pairwise_macro3,Macro-3,auc,-0.04514300555555556,-0.05603916666666686,-0.0350370833333334,1000,genvidbench
universal3,genvidbench,generator_pairwise_macro3,Macro-3,ap_real,-0.04372557322143923,-0.05508519319108502,-0.032838193286845355,1000,genvidbench
universal4,genvidbench,generator_pairwise_macro3,Macro-3,auc,-0.028027488888888896,-0.035817222222222236,-0.020675555555555572,1000,genvidbench
universal4,genvidbench,generator_pairwise_macro3,Macro-3,ap_real,-0.027877598657763254,-0.036942254513587215,-0.018997195948466054,1000,genvidbench
