variant,branch,run_name,scope,dataset,auc,ap_real,n_generators,n_pairwise_real,n_pairwise_fake,pairwise_seed
c0,global,alpha_stall_full_d2_k3_no_spatial_refit,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
c0,global,alpha_stall_full_d2_k3_no_spatial_refit,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
c0,global,alpha_stall_full_d2_k3_no_spatial_refit,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
c0,global,alpha_stall_full_d2_k3_no_spatial_refit,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
c0,local,alpha_stall_full_d2_k3_no_spatial_refit,generator_pairwise_dataset_macro,comgenvid,0.8994719148218511,0.8969684589214393,2,1796,1796,42
c0,local,alpha_stall_full_d2_k3_no_spatial_refit,generator_pairwise_dataset_macro,genvideo,0.8446974058663662,0.8179106773551017,8,5639,5639,42
c0,local,alpha_stall_full_d2_k3_no_spatial_refit,generator_pairwise_dataset_macro,videofeedback,0.736785,0.7538857843755208,10,3000,3000,42
c0,local,alpha_stall_full_d2_k3_no_spatial_refit,generator_pairwise_macro3,Macro-3,0.826984773562739,0.8229216402173539,20,10435,10435,42
c1,global,stage1_c1_hard_local_d2_k3,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
c1,global,stage1_c1_hard_local_d2_k3,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
c1,global,stage1_c1_hard_local_d2_k3,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
c1,global,stage1_c1_hard_local_d2_k3,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
c1,local,stage1_c1_hard_local_d2_k3,generator_pairwise_dataset_macro,comgenvid,0.870227578236219,0.872544005988235,2,1796,1796,42
c1,local,stage1_c1_hard_local_d2_k3,generator_pairwise_dataset_macro,genvideo,0.8305813821981165,0.8049389468284824,8,5639,5639,42
c1,local,stage1_c1_hard_local_d2_k3,generator_pairwise_dataset_macro,videofeedback,0.7135849999999999,0.7297643706728616,10,3000,3000,42
c1,local,stage1_c1_hard_local_d2_k3,generator_pairwise_macro3,Macro-3,0.8047979868114451,0.8024157744965263,20,10435,10435,42
c2,global,stage1_c2_soft_local_d2_k3,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
c2,global,stage1_c2_soft_local_d2_k3,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
c2,global,stage1_c2_soft_local_d2_k3,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
c2,global,stage1_c2_soft_local_d2_k3,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
c2,local,stage1_c2_soft_local_d2_k3,generator_pairwise_dataset_macro,comgenvid,0.8831364303748492,0.8843380952456255,2,1796,1796,42
c2,local,stage1_c2_soft_local_d2_k3,generator_pairwise_dataset_macro,genvideo,0.8420674413433599,0.817313555113981,8,5639,5639,42
c2,local,stage1_c2_soft_local_d2_k3,generator_pairwise_dataset_macro,videofeedback,0.7145383333333333,0.7240913104655254,10,3000,3000,42
c2,local,stage1_c2_soft_local_d2_k3,generator_pairwise_macro3,Macro-3,0.8132474016838476,0.8085809869417107,20,10435,10435,42
c3,global,stage1_c3_soft_local_d2_k3,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
c3,global,stage1_c3_soft_local_d2_k3,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
c3,global,stage1_c3_soft_local_d2_k3,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
c3,global,stage1_c3_soft_local_d2_k3,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
c3,local,stage1_c3_soft_local_d2_k3,generator_pairwise_dataset_macro,comgenvid,0.8845919663096911,0.8844050646661585,2,1796,1796,42
c3,local,stage1_c3_soft_local_d2_k3,generator_pairwise_dataset_macro,genvideo,0.8294617078873031,0.7997081963904135,8,5639,5639,42
c3,local,stage1_c3_soft_local_d2_k3,generator_pairwise_dataset_macro,videofeedback,0.7182422222222223,0.7283294124940286,10,3000,3000,42
c3,local,stage1_c3_soft_local_d2_k3,generator_pairwise_macro3,Macro-3,0.8107652988064055,0.8041475578502002,20,10435,10435,42
