variant,run_name,dataset,auc,ap_real,tpr_at_0_1pct_fpr,tpr_at_1pct_fpr,fpr_at_95pct_tpr,n_real,n_fake,n_generators
c0,alpha_stall_full_d2_k3_no_spatial_refit,comgenvid,0.8993298834010219,0.7726902109522533,0.0,0.19823529411764707,0.39420935412026725,898,3400,2
c0,alpha_stall_full_d2_k3_no_spatial_refit,genvideo,0.8720592119688926,0.8855285188350331,0.07909203759531831,0.25536442631672285,0.5596192384769539,7984,5639,8
c0,alpha_stall_full_d2_k3_no_spatial_refit,videofeedback,0.8552156666666666,0.571976358542296,0.019,0.10366666666666667,0.54,500,3000,10
c1,stage1_c1_hard_local_d2_k3,comgenvid,0.8953311279968557,0.7669805265702344,0.0,0.23529411764705882,0.4042316258351893,898,3400,2
c1,stage1_c1_hard_local_d2_k3,genvideo,0.8697776604814524,0.882124033339653,0.06118106047171484,0.2271679375775847,0.561122244488978,7984,5639,8
c1,stage1_c1_hard_local_d2_k3,videofeedback,0.8514309999999999,0.5671717636047016,0.02033333333333333,0.096,0.526,500,3000,10
c2,stage1_c2_soft_local_d2_k3,comgenvid,0.8966292742041136,0.7702386776572712,0.0,0.2061764705882353,0.4042316258351893,898,3400,2
c2,stage1_c2_soft_local_d2_k3,genvideo,0.8741394275516807,0.8853900612127048,0.07731867352367441,0.24383755985103742,0.5599949899799599,7984,5639,8
c2,stage1_c2_soft_local_d2_k3,videofeedback,0.8467966666666666,0.5456857981358353,0.023,0.11533333333333333,0.542,500,3000,10
c3,stage1_c3_soft_local_d2_k3,comgenvid,0.8989478252325431,0.7712926387382519,0.0,0.255,0.3975501113585746,898,3400,2
c3,stage1_c3_soft_local_d2_k3,genvideo,0.8683399450967905,0.87851141242936,0.07075722645859195,0.23266536619968078,0.5829158316633266,7984,5639,8
c3,stage1_c3_soft_local_d2_k3,videofeedback,0.8458036666666666,0.5440333543589271,0.023666666666666666,0.11233333333333333,0.55,500,3000,10
