variant,run_name,dataset,generator,auc,ap_real,tpr_at_0_1pct_fpr,tpr_at_1pct_fpr,fpr_at_95pct_tpr,n_real,n_fake
c0,alpha_stall_full_d2_k3_no_spatial_refit,comgenvid,Sora,0.8853782916284554,0.8321205249990462,0.0,0.17882352941176471,0.4265033407572383,898,1700
c0,alpha_stall_full_d2_k3_no_spatial_refit,comgenvid,VEO3,0.9132814751735885,0.8745071258013628,0.0,0.21764705882352942,0.35634743875278396,898,1700
c0,alpha_stall_full_d2_k3_no_spatial_refit,genvideo,Crafter,0.840368902699015,0.9941359868004604,0.031914893617021274,0.13829787234042554,0.6667084168336673,7984,188
c0,alpha_stall_full_d2_k3_no_spatial_refit,genvideo,Gen2,0.9395287858325346,0.9884888571464951,0.12246376811594203,0.37028985507246376,0.2835671342685371,7984,1380
c0,alpha_stall_full_d2_k3_no_spatial_refit,genvideo,Lavie,0.8702254956341254,0.9692023911360348,0.08071428571428571,0.2357142857142857,0.5100200400801603,7984,1400
c0,alpha_stall_full_d2_k3_no_spatial_refit,genvideo,ModelScope,0.8500611043515601,0.9828252990155928,0.06714285714285714,0.21428571428571427,0.5643787575150301,7984,700
c0,alpha_stall_full_d2_k3_no_spatial_refit,genvideo,MorphStudio,0.8544474663612941,0.983147785137863,0.047142857142857146,0.18142857142857144,0.5417084168336673,7984,700
c0,alpha_stall_full_d2_k3_no_spatial_refit,genvideo,Show_1,0.8611671557400515,0.9803826999193115,0.07,0.24714285714285714,0.6048346693386774,7984,700
c0,alpha_stall_full_d2_k3_no_spatial_refit,genvideo,Sora,0.8753019431720583,0.9988124063473626,0.05357142857142857,0.26785714285714285,0.468687374749499,7984,56
c0,alpha_stall_full_d2_k3_no_spatial_refit,genvideo,WildScrape,0.7761110813860731,0.9711322566094838,0.05048543689320388,0.20970873786407768,0.9020541082164328,7984,515
c0,alpha_stall_full_d2_k3_no_spatial_refit,videofeedback,AnimateDiff,0.86407,0.9182685255392069,0.0,0.05,0.536,500,300
c0,alpha_stall_full_d2_k3_no_spatial_refit,videofeedback,Fast-SVD,0.9170699999999999,0.9510270546649799,0.023333333333333334,0.20333333333333334,0.328,500,300
c0,alpha_stall_full_d2_k3_no_spatial_refit,videofeedback,LVDM,0.90541,0.9459276266740234,0.0033333333333333335,0.07,0.314,500,300
