variant,scope,dataset,metric,delta_mean,ci95_low,ci95_high,bootstrap_iterations
c1,generator_pairwise_dataset_macro,comgenvid,auc,-0.0036858891688880007,-0.005134843471291487,-0.0022511216148906796,1000
c1,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.002977675512513927,-0.0044063710196005955,-0.0015190324799598145,1000
c1,generator_pairwise_dataset_macro,genvideo,auc,-0.0011172308347052566,-0.0026681784008481795,0.00031796825895509913,1000
c1,generator_pairwise_dataset_macro,genvideo,ap_real,-0.0034784569009815147,-0.007477757990420998,-0.0006991199143544754,1000
c1,generator_pairwise_dataset_macro,videofeedback,auc,-0.003029780972151881,-0.004544312416986799,-0.0015089193089805133,1000
c1,generator_pairwise_dataset_macro,videofeedback,ap_real,-0.0019466112606026968,-0.003915812214249912,-3.064015693474802e-05,1000
c1,generator_pairwise_macro3,Macro-3,auc,-0.0026109669919150463,-0.003491724342902271,-0.001748365356665869,1000
c1,generator_pairwise_macro3,Macro-3,ap_real,-0.002800914558032713,-0.004306892087658103,-0.0015595264656053586,1000
c2,generator_pairwise_dataset_macro,comgenvid,auc,-0.00212407689972643,-0.003550397364964303,-0.0006967498977906528,1000
c2,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.0012547674388833812,-0.002679034237849613,0.00011076110172436681,1000
c2,generator_pairwise_dataset_macro,genvideo,auc,0.002983671105755067,0.0015153430952118256,0.004441259391666247,1000
c2,generator_pairwise_dataset_macro,genvideo,ap_real,0.0012039081264274372,-0.0010466063404562596,0.0037583658259224416,1000
c2,generator_pairwise_dataset_macro,videofeedback,auc,-0.006321473311001277,-0.007902351075338522,-0.004758649240469835,1000
c2,generator_pairwise_dataset_macro,videofeedback,ap_real,-0.007184151034860806,-0.009227596073624484,-0.00518883044790132,1000
c2,generator_pairwise_macro3,Macro-3,auc,-0.0018206263683242137,-0.002647591983908612,-0.0009742245229733843,1000
c2,generator_pairwise_macro3,Macro-3,ap_real,-0.00241167011577225,-0.003462306143018372,-0.0012565553469942512,1000
c3,generator_pairwise_dataset_macro,comgenvid,auc,0.0004077974309369921,-0.0015312439102037959,0.0022874579652221493,1000
c3,generator_pairwise_dataset_macro,comgenvid,ap_real,-2.6219940197884927e-05,-0.0016205089523523481,0.0017583508794269842,1000
c3,generator_pairwise_dataset_macro,genvideo,auc,-0.0024581576473540487,-0.004234959516115472,-0.0006065715118284497,1000
c3,generator_pairwise_dataset_macro,genvideo,ap_real,-0.005656608767042015,-0.008462259664515656,-0.0027024948379171837,1000
c3,generator_pairwise_dataset_macro,videofeedback,auc,-0.0067110120591508,-0.008841496309831411,-0.004636921047867482,1000
c3,generator_pairwise_dataset_macro,videofeedback,ap_real,-0.007994467187113854,-0.010615751188651868,-0.0054195647819372675,1000
c3,generator_pairwise_macro3,Macro-3,auc,-0.0029204574251892853,-0.00402304829324805,-0.0018208321890005855,1000
c3,generator_pairwise_macro3,Macro-3,ap_real,-0.004559098631451251,-0.0059660055961939466,-0.003169560913259714,1000
