variant,branch,run_name,scope,dataset,auc,ap_real,n_generators,n_pairwise_real,n_pairwise_fake,pairwise_seed
t0_d2,global,t0_d2,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
t0_d2,global,t0_d2,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
t0_d2,global,t0_d2,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
t0_d2,global,t0_d2,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
t0_d2,local,t0_d2,generator_pairwise_dataset_macro,comgenvid,0.8994719148218511,0.8969684589214393,2,1796,1796,42
t0_d2,local,t0_d2,generator_pairwise_dataset_macro,genvideo,0.8446974058663662,0.8179106773551017,8,5639,5639,42
t0_d2,local,t0_d2,generator_pairwise_dataset_macro,videofeedback,0.736785,0.7538857843755208,10,3000,3000,42
t0_d2,local,t0_d2,generator_pairwise_macro3,Macro-3,0.826984773562739,0.8229216402173539,20,10435,10435,42
t1_curvature,global,t1_curvature,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
t1_curvature,global,t1_curvature,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
t1_curvature,global,t1_curvature,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
t1_curvature,global,t1_curvature,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
t1_curvature,local,t1_curvature,generator_pairwise_dataset_macro,comgenvid,0.7800888264443132,0.7452753102688934,2,1796,1796,42
t1_curvature,local,t1_curvature,generator_pairwise_dataset_macro,genvideo,0.696886548647354,0.679619833509414,8,5639,5639,42
t1_curvature,local,t1_curvature,generator_pairwise_dataset_macro,videofeedback,0.5987616666666666,0.6043735702249972,10,3000,3000,42
t1_curvature,local,t1_curvature,generator_pairwise_macro3,Macro-3,0.691912347252778,0.6764229046677682,20,10435,10435,42
t2_speed_ratio,global,t2_speed_ratio,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
t2_speed_ratio,global,t2_speed_ratio,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
t2_speed_ratio,global,t2_speed_ratio,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
t2_speed_ratio,global,t2_speed_ratio,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
t2_speed_ratio,local,t2_speed_ratio,generator_pairwise_dataset_macro,comgenvid,0.36610371476331965,0.41820537519389606,2,1796,1796,42
t2_speed_ratio,local,t2_speed_ratio,generator_pairwise_dataset_macro,genvideo,0.12418312452477517,0.3302674788316435,8,5639,5639,42
t2_speed_ratio,local,t2_speed_ratio,generator_pairwise_dataset_macro,videofeedback,0.50188,0.6021907391385536,10,3000,3000,42
t2_speed_ratio,local,t2_speed_ratio,generator_pairwise_macro3,Macro-3,0.33072227976269825,0.4502211977213644,20,10435,10435,42
t3_path_chord,global,t3_path_chord,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
t3_path_chord,global,t3_path_chord,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
t3_path_chord,global,t3_path_chord,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
t3_path_chord,global,t3_path_chord,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
t3_path_chord,local,t3_path_chord,generator_pairwise_dataset_macro,comgenvid,0.4983618632844083,0.49730086935153933,2,1796,1796,42
t3_path_chord,local,t3_path_chord,generator_pairwise_dataset_macro,genvideo,0.3318369658416793,0.43226240215232664,8,5639,5639,42
t3_path_chord,local,t3_path_chord,generator_pairwise_dataset_macro,videofeedback,0.49019500000000005,0.5095916735102991,10,3000,3000,42
t3_path_chord,local,t3_path_chord,generator_pairwise_macro3,Macro-3,0.4401312763753625,0.4797183150047217,20,10435,10435,42
t4_d2_curvature,global,t4_d2_curvature,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
t4_d2_curvature,global,t4_d2_curvature,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
t4_d2_curvature,global,t4_d2_curvature,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
t4_d2_curvature,global,t4_d2_curvature,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
t4_d2_curvature,local,t4_d2_curvature,generator_pairwise_dataset_macro,comgenvid,0.8997481411302524,0.8972066422647608,2,1796,1796,42
