variant,run_name,dataset,generator,auc,ap_real,tpr_at_0_1pct_fpr,tpr_at_1pct_fpr,fpr_at_95pct_tpr,n_real,n_fake
t0_d2,t0_d2,comgenvid,Sora,0.8853782916284554,0.8321205249990462,0.0,0.17882352941176471,0.4265033407572383,898,1700
t0_d2,t0_d2,comgenvid,VEO3,0.9132814751735885,0.8745071258013628,0.0,0.21764705882352942,0.35634743875278396,898,1700
t0_d2,t0_d2,genvideo,Crafter,0.840368902699015,0.9941359868004604,0.031914893617021274,0.13829787234042554,0.6667084168336673,7984,188
t0_d2,t0_d2,genvideo,Gen2,0.9395287858325346,0.9884888571464951,0.12246376811594203,0.37028985507246376,0.2835671342685371,7984,1380
t0_d2,t0_d2,genvideo,Lavie,0.8702254956341254,0.9692023911360348,0.08071428571428571,0.2357142857142857,0.5100200400801603,7984,1400
t0_d2,t0_d2,genvideo,ModelScope,0.8500611043515601,0.9828252990155928,0.06714285714285714,0.21428571428571427,0.5643787575150301,7984,700
t0_d2,t0_d2,genvideo,MorphStudio,0.8544474663612941,0.983147785137863,0.047142857142857146,0.18142857142857144,0.5417084168336673,7984,700
t0_d2,t0_d2,genvideo,Show_1,0.8611671557400515,0.9803826999193115,0.07,0.24714285714285714,0.6048346693386774,7984,700
t0_d2,t0_d2,genvideo,Sora,0.8753019431720583,0.9988124063473626,0.05357142857142857,0.26785714285714285,0.468687374749499,7984,56
t0_d2,t0_d2,genvideo,WildScrape,0.7761110813860731,0.9711322566094838,0.05048543689320388,0.20970873786407768,0.9020541082164328,7984,515
t0_d2,t0_d2,videofeedback,AnimateDiff,0.86407,0.9182685255392069,0.0,0.05,0.536,500,300
t0_d2,t0_d2,videofeedback,Fast-SVD,0.9170699999999999,0.9510270546649799,0.023333333333333334,0.20333333333333334,0.328,500,300
t0_d2,t0_d2,videofeedback,LVDM,0.90541,0.9459276266740234,0.0033333333333333335,0.07,0.314,500,300
t0_d2,t0_d2,videofeedback,LaVie-base,0.8389666666666666,0.8973743299348749,0.01,0.07666666666666666,0.58,500,300
t0_d2,t0_d2,videofeedback,ModelScope,0.8304333333333334,0.8846575885204434,0.013333333333333334,0.11333333333333333,0.58,500,300
t0_d2,t0_d2,videofeedback,Pika,0.8697966666666667,0.9266842697097591,0.03666666666666667,0.12333333333333334,0.396,500,300
t0_d2,t0_d2,videofeedback,SoRA-Clip,0.80533,0.86978124577623,0.06,0.13333333333333333,0.632,500,300
t0_d2,t0_d2,videofeedback,Text2Video-Zero,0.77146,0.8340290622593047,0.006666666666666667,0.03,0.684,500,300
t0_d2,t0_d2,videofeedback,VideoCrafter2,0.9360733333333333,0.9601906298767342,0.013333333333333334,0.2,0.238,500,300
t0_d2,t0_d2,videofeedback,ZeroScope-576w,0.8135466666666666,0.8907576252928693,0.023333333333333334,0.03666666666666667,0.54,500,300
t1_curvature,t1_curvature,comgenvid,Sora,0.841000589545395,0.7472797502758104,0.01764705882352941,0.16058823529411764,0.5501113585746102,898,1700
t1_curvature,t1_curvature,comgenvid,VEO3,0.9194209354120267,0.8757826737172876,0.060588235294117644,0.2917647058823529,0.33853006681514475,898,1700
t1_curvature,t1_curvature,genvideo,Crafter,0.8448735902656378,0.9948502533891612,0.0,0.09574468085106383,0.6583166332665331,7984,188
t1_curvature,t1_curvature,genvideo,Gen2,0.9330155328773488,0.9870897882573584,0.0,0.3101449275362319,0.3001002004008016,7984,1380
t1_curvature,t1_curvature,genvideo,Lavie,0.8510784962782708,0.9658909578405406,0.0,0.15357142857142858,0.5280561122244489,7984,1400
t1_curvature,t1_curvature,genvideo,ModelScope,0.7181070176066419,0.9636558638705742,0.0,0.047142857142857146,0.780060120240481,7984,700
t1_curvature,t1_curvature,genvideo,MorphStudio,0.8109472516461494,0.9783790105234302,0.0,0.03571428571428571,0.5658817635270541,7984,700
t1_curvature,t1_curvature,genvideo,Show_1,0.8589302712567993,0.9833807576663054,0.0,0.12571428571428572,0.5766533066132264,7984,700
t1_curvature,t1_curvature,genvideo,Sora,0.750267275622674,0.9973394870639404,0.0,0.05357142857142857,0.7639028056112225,7984,56
t1_curvature,t1_curvature,genvideo,WildScrape,0.7271823987781388,0.9729265065790649,0.0,0.06407766990291262,0.8503256513026052,7984,515
t1_curvature,t1_curvature,videofeedback,AnimateDiff,0.8064633333333333,0.8869800013572939,0.0,0.056666666666666664,0.574,500,300
t1_curvature,t1_curvature,videofeedback,Fast-SVD,0.8608,0.9100033864228042,0.02,0.16,0.534,500,300
t1_curvature,t1_curvature,videofeedback,LVDM,0.7259066666666666,0.8536124841182515,0.0,0.01,0.546,500,300
t1_curvature,t1_curvature,videofeedback,LaVie-base,0.8089200000000001,0.8752388303804058,0.02,0.11333333333333333,0.656,500,300
t1_curvature,t1_curvature,videofeedback,ModelScope,0.7301000000000001,0.8407199140480432,0.0,0.023333333333333334,0.662,500,300
t1_curvature,t1_curvature,videofeedback,Pika,0.8477733333333333,0.9017007022619061,0.043333333333333335,0.11,0.582,500,300
t1_curvature,t1_curvature,videofeedback,SoRA-Clip,0.73461,0.8147244501838729,0.03,0.10666666666666667,0.758,500,300
t1_curvature,t1_curvature,videofeedback,Text2Video-Zero,0.7952133333333333,0.8621858776269699,0.01,0.05333333333333334,0.666,500,300
t1_curvature,t1_curvature,videofeedback,VideoCrafter2,0.94749,0.9700342660000527,0.03,0.3433333333333333,0.192,500,300
t1_curvature,t1_curvature,videofeedback,ZeroScope-576w,0.7274866666666666,0.8451192994506315,0.0,0.0,0.588,500,300
t2_speed_ratio,t2_speed_ratio,comgenvid,Sora,0.7296321891785668,0.6346297104713683,0.01,0.03058823529411765,0.6837416481069042,898,1700
t2_speed_ratio,t2_speed_ratio,comgenvid,VEO3,0.7189027905148697,0.6571232625402764,0.000588235294117647,0.01588235294117647,0.643652561247216,898,1700
t2_speed_ratio,t2_speed_ratio,genvideo,Crafter,0.5410212046433291,0.9822638615723245,0.0,0.0,0.904934869739479,7984,188
t2_speed_ratio,t2_speed_ratio,genvideo,Gen2,0.6001574253579622,0.9183424111688026,0.0,0.0,0.6893787575150301,7984,1380
t2_speed_ratio,t2_speed_ratio,genvideo,Lavie,0.6309641157314629,0.9137635997508149,0.0,0.0,0.8216432865731463,7984,1400
t2_speed_ratio,t2_speed_ratio,genvideo,ModelScope,0.5384616554537647,0.936085345223717,0.0,0.002857142857142857,0.9125751503006012,7984,700
t2_speed_ratio,t2_speed_ratio,genvideo,MorphStudio,0.5661924742341826,0.9464917023149535,0.0,0.0,0.813251503006012,7984,700
t2_speed_ratio,t2_speed_ratio,genvideo,Show_1,0.5431154272831378,0.9363094414470422,0.0,0.0,0.9165831663326653,7984,700
t2_speed_ratio,t2_speed_ratio,genvideo,Sora,0.5862483896364157,0.9953411382509779,0.0,0.0,0.8786322645290581,7984,56
t2_speed_ratio,t2_speed_ratio,genvideo,WildScrape,0.5385900441660019,0.9445790012393521,0.0,0.003883495145631068,0.9616733466933868,7984,515
t2_speed_ratio,t2_speed_ratio,videofeedback,AnimateDiff,0.9504133333333333,0.9736775594445792,0.11,0.32,0.172,500,300
t2_speed_ratio,t2_speed_ratio,videofeedback,Fast-SVD,0.71044,0.8361805929231783,0.0,0.0033333333333333335,0.624,500,300
t2_speed_ratio,t2_speed_ratio,videofeedback,LVDM,0.61375,0.7945314296018622,0.0,0.0,0.64,500,300
t2_speed_ratio,t2_speed_ratio,videofeedback,LaVie-base,0.7640366666666667,0.8527828125080077,0.013333333333333334,0.08,0.666,500,300
t2_speed_ratio,t2_speed_ratio,videofeedback,ModelScope,0.5779266666666667,0.7405667126947715,0.0,0.01,0.772,500,300
t2_speed_ratio,t2_speed_ratio,videofeedback,Pika,0.5158333333333334,0.7094648551551099,0.0,0.0,0.806,500,300
t2_speed_ratio,t2_speed_ratio,videofeedback,SoRA-Clip,0.7180000000000001,0.8203540055309455,0.0,0.01,0.738,500,300
t2_speed_ratio,t2_speed_ratio,videofeedback,Text2Video-Zero,0.9391933333333333,0.9639292593626174,0.11333333333333333,0.3566666666666667,0.288,500,300
t2_speed_ratio,t2_speed_ratio,videofeedback,VideoCrafter2,0.98575,0.9920849118424482,0.4,0.71,0.064,500,300
t2_speed_ratio,t2_speed_ratio,videofeedback,ZeroScope-576w,0.7667966666666668,0.8632873487793945,0.006666666666666667,0.05,0.566,500,300
t3_path_chord,t3_path_chord,comgenvid,Sora,0.7276938949299095,0.6252118560119776,0.03,0.09647058823529411,0.6837416481069042,898,1700
t3_path_chord,t3_path_chord,comgenvid,VEO3,0.8424652823267391,0.7741032048789445,0.05647058823529412,0.1864705882352941,0.5178173719376392,898,1700
t3_path_chord,t3_path_chord,genvideo,Crafter,0.5706073050356031,0.983065727130116,0.0,0.0,0.8985470941883767,7984,188
t3_path_chord,t3_path_chord,genvideo,Gen2,0.881920725508989,0.9777421599087364,0.0,0.12971014492753624,0.35032565130260523,7984,1380
t3_path_chord,t3_path_chord,genvideo,Lavie,0.6372760252648153,0.9156790318044838,0.0,0.0,0.8121242484969939,7984,1400
t3_path_chord,t3_path_chord,genvideo,ModelScope,0.6786210814486114,0.9588041146131626,0.0,0.03,0.8121242484969939,7984,700
