variant,scope,dataset,metric,delta_mean,ci95_low,ci95_high,bootstrap_iterations
t1_curvature,generator_pairwise_dataset_macro,comgenvid,auc,-0.016149730463250633,-0.023693382243904347,-0.008125546911484425,1000
t1_curvature,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.02116764467712427,-0.029150312362464587,-0.013412885271568512,1000
t1_curvature,generator_pairwise_dataset_macro,genvideo,auc,-0.043874018857351524,-0.05291853753453992,-0.034932350713158436,1000
t1_curvature,generator_pairwise_dataset_macro,genvideo,ap_real,-0.02288429959914898,-0.034547542765471305,-0.011455740862145306,1000
t1_curvature,generator_pairwise_dataset_macro,videofeedback,auc,-0.0513100440062356,-0.05908412221160346,-0.04382983868841952,1000
t1_curvature,generator_pairwise_dataset_macro,videofeedback,ap_real,-0.03909872389542646,-0.046941555742957664,-0.03159864326967003,1000
t1_curvature,generator_pairwise_macro3,Macro-3,auc,-0.03711126444227925,-0.04166126214275502,-0.032263291238611075,1000
t1_curvature,generator_pairwise_macro3,Macro-3,ap_real,-0.027716889390566567,-0.03276450481489266,-0.022252279112763555,1000
t2_speed_ratio,generator_pairwise_dataset_macro,comgenvid,auc,-0.17139106935534135,-0.18580554443554925,-0.15711602118138415,1000
t2_speed_ratio,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.1421274796027541,-0.15583774736902986,-0.129171263341854,1000
t2_speed_ratio,generator_pairwise_dataset_macro,genvideo,auc,-0.27231708851563785,-0.285997513970666,-0.2591601396907609,1000
t2_speed_ratio,generator_pairwise_dataset_macro,genvideo,ap_real,-0.2058766396996896,-0.21926157278435965,-0.19320903284448715,1000
t2_speed_ratio,generator_pairwise_dataset_macro,videofeedback,auc,-0.10146911630672155,-0.11158224517140065,-0.09200451629614231,1000
t2_speed_ratio,generator_pairwise_dataset_macro,videofeedback,ap_real,-0.06482639741464051,-0.07499996867833045,-0.055314201632478036,1000
t2_speed_ratio,generator_pairwise_macro3,Macro-3,auc,-0.18172575805923358,-0.1886831113029526,-0.17484932835083067,1000
t2_speed_ratio,generator_pairwise_macro3,Macro-3,ap_real,-0.13761017223902808,-0.14465979662738437,-0.1310354812396853,1000
t3_path_chord,generator_pairwise_dataset_macro,comgenvid,auc,-0.11184954592339388,-0.12359189269558664,-0.10043250708894604,1000
t3_path_chord,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.100393246932658,-0.11276118582205986,-0.08920653184042186,1000
t3_path_chord,generator_pairwise_dataset_macro,genvideo,auc,-0.18387197053982438,-0.1952569239057148,-0.17429721089323197,1000
t3_path_chord,generator_pairwise_dataset_macro,genvideo,ap_real,-0.13985537382316318,-0.1491045974510388,-0.13074167972700246,1000
t3_path_chord,generator_pairwise_dataset_macro,videofeedback,auc,-0.08476694338458772,-0.09387634849326681,-0.07587253884443267,1000
t3_path_chord,generator_pairwise_dataset_macro,videofeedback,ap_real,-0.06522017802852574,-0.07486441431817469,-0.056334552824180546,1000
t3_path_chord,generator_pairwise_macro3,Macro-3,auc,-0.12682948661593535,-0.1332230332815771,-0.12112350777418635,1000
t3_path_chord,generator_pairwise_macro3,Macro-3,ap_real,-0.10182293292811562,-0.10800809188877297,-0.09608127615875411,1000
t4_d2_curvature,generator_pairwise_dataset_macro,comgenvid,auc,-3.5298771689519224e-05,-0.0001479073216612628,6.770104498841631e-05,1000
t4_d2_curvature,generator_pairwise_dataset_macro,comgenvid,ap_real,-7.4002709672543745e-06,-8.885369527286829e-05,7.392491207664913e-05,1000
t4_d2_curvature,generator_pairwise_dataset_macro,genvideo,auc,3.747822365834526e-05,-0.0001643691252730669,0.0002803501827776777,1000
t4_d2_curvature,generator_pairwise_dataset_macro,genvideo,ap_real,4.9951220688807056e-05,-0.00018837992303530582,0.0002591878051677626,1000
t4_d2_curvature,generator_pairwise_dataset_macro,videofeedback,auc,1.0900048631776659e-07,-0.00014738401100370085,0.00014062035176158364,1000
t4_d2_curvature,generator_pairwise_dataset_macro,videofeedback,ap_real,-2.4619005229002076e-05,-0.00016654323820753907,0.00011579145461201672,1000
t4_d2_curvature,generator_pairwise_macro3,Macro-3,auc,7.628174850479331e-07,-8.998175025356266e-05,9.693291624999929e-05,1000
t4_d2_curvature,generator_pairwise_macro3,Macro-3,ap_real,5.977314830850202e-06,-9.04541088593185e-05,9.670458216160746e-05,1000
t5_geometry,generator_pairwise_dataset_macro,comgenvid,auc,-0.07034755983778851,-0.08060763050847874,-0.06030113814005714,1000
t5_geometry,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.07267382342955508,-0.08287219251484113,-0.06274340114960965,1000
t5_geometry,generator_pairwise_dataset_macro,genvideo,auc,-0.2719950571092901,-0.2851008447426189,-0.25983531946610683,1000
t5_geometry,generator_pairwise_dataset_macro,genvideo,ap_real,-0.20521280465276648,-0.21831645578295927,-0.19292570517937746,1000
t5_geometry,generator_pairwise_dataset_macro,videofeedback,auc,-0.054857349397052474,-0.06332224404148619,-0.04630916120211781,1000
t5_geometry,generator_pairwise_dataset_macro,videofeedback,ap_real,-0.038384329390388716,-0.047475924802842656,-0.029259873716927058,1000
t5_geometry,generator_pairwise_macro3,Macro-3,auc,-0.13239998878137707,-0.1385012714761377,-0.12696960217273967,1000
t5_geometry,generator_pairwise_macro3,Macro-3,ap_real,-0.10542365249090342,-0.11152361461724086,-0.09951688374468412,1000
