variant,run_name,scope,dataset,auc,ap_real,n_generators,n_pairwise_real,n_pairwise_fake,pairwise_seed
t0_d2,t0_d2,generator_pairwise_dataset_macro,comgenvid,0.9014749430806395,0.9110388468338928,2,1796,1796,42
t0_d2,t0_d2,generator_pairwise_dataset_macro,genvideo,0.8585612598531033,0.8391031398830191,8,5639,5639,42
t0_d2,t0_d2,generator_pairwise_dataset_macro,videofeedback,0.8621400000000001,0.8686679558954129,10,3000,3000,42
t0_d2,t0_d2,generator_pairwise_macro3,Macro-3,0.8740587343112476,0.8729366475374416,20,10435,10435,42
t1_curvature,t1_curvature,generator_pairwise_dataset_macro,comgenvid,0.885351201134915,0.8897328686224034,2,1796,1796,42
t1_curvature,t1_curvature,generator_pairwise_dataset_macro,genvideo,0.8143711197370145,0.8156885114718656,8,5639,5639,42
t1_curvature,t1_curvature,generator_pairwise_dataset_macro,videofeedback,0.8107861111111111,0.8295553371954535,10,3000,3000,42
t1_curvature,t1_curvature,generator_pairwise_macro3,Macro-3,0.8368361439943469,0.8449922390965742,20,10435,10435,42
t2_speed_ratio,t2_speed_ratio,generator_pairwise_dataset_macro,comgenvid,0.7301560384125079,0.7687947378277239,2,1796,1796,42
t2_speed_ratio,t2_speed_ratio,generator_pairwise_dataset_macro,genvideo,0.5866174533548423,0.6322598366657264,8,5639,5639,42
t2_speed_ratio,t2_speed_ratio,generator_pairwise_dataset_macro,videofeedback,0.7607227777777779,0.8036759914223405,10,3000,3000,42
t2_speed_ratio,t2_speed_ratio,generator_pairwise_macro3,Macro-3,0.6924987565150427,0.7349101886385969,20,10435,10435,42
t3_path_chord,t3_path_chord,generator_pairwise_dataset_macro,comgenvid,0.7894457988799659,0.8103404767168819,2,1796,1796,42
t3_path_chord,t3_path_chord,generator_pairwise_dataset_macro,genvideo,0.674521043875018,0.6984270215670104,8,5639,5639,42
t3_path_chord,t3_path_chord,generator_pairwise_dataset_macro,videofeedback,0.7777100000000001,0.8034923772540397,10,3000,3000,42
t3_path_chord,t3_path_chord,generator_pairwise_macro3,Macro-3,0.7472256142516613,0.7707532918459773,20,10435,10435,42
t4_d2_curvature,t4_d2_curvature,generator_pairwise_dataset_macro,comgenvid,0.9014365008110079,0.9110294411551891,2,1796,1796,42
t4_d2_curvature,t4_d2_curvature,generator_pairwise_dataset_macro,genvideo,0.8586022792145642,0.8391641444467922,8,5639,5639,42
t4_d2_curvature,t4_d2_curvature,generator_pairwise_dataset_macro,videofeedback,0.8621422222222224,0.8686428934326619,10,3000,3000,42
t4_d2_curvature,t4_d2_curvature,generator_pairwise_macro3,Macro-3,0.8740603340825981,0.8729454930115478,20,10435,10435,42
t5_geometry,t5_geometry,generator_pairwise_dataset_macro,comgenvid,0.8312852490811058,0.838281195621327,2,1796,1796,42
t5_geometry,t5_geometry,generator_pairwise_dataset_macro,genvideo,0.5865615802864006,0.632263323790098,8,5639,5639,42
t5_geometry,t5_geometry,generator_pairwise_dataset_macro,videofeedback,0.8074427777777776,0.8303669630438325,10,3000,3000,42
t5_geometry,t5_geometry,generator_pairwise_macro3,Macro-3,0.7417632023817613,0.7669704941517524,20,10435,10435,42
