variant,branch,run_name,scope,dataset,auc,ap_real,n_generators,n_pairwise_real,n_pairwise_fake,pairwise_seed
d0_unconditioned_d2,global,d0_unconditioned_d2,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
d0_unconditioned_d2,global,d0_unconditioned_d2,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
d0_unconditioned_d2,global,d0_unconditioned_d2,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
d0_unconditioned_d2,global,d0_unconditioned_d2,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
d0_unconditioned_d2,local,d0_unconditioned_d2,generator_pairwise_dataset_macro,comgenvid,0.8994719148218511,0.8969684589214393,2,1796,1796,42
d0_unconditioned_d2,local,d0_unconditioned_d2,generator_pairwise_dataset_macro,genvideo,0.8446974058663662,0.8179106773551017,8,5639,5639,42
d0_unconditioned_d2,local,d0_unconditioned_d2,generator_pairwise_dataset_macro,videofeedback,0.736785,0.7538857843755208,10,3000,3000,42
d0_unconditioned_d2,local,d0_unconditioned_d2,generator_pairwise_macro3,Macro-3,0.826984773562739,0.8229216402173539,20,10435,10435,42
d1_conditioned_d2,global,d1_conditioned_d2,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
d1_conditioned_d2,global,d1_conditioned_d2,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
d1_conditioned_d2,global,d1_conditioned_d2,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
d1_conditioned_d2,global,d1_conditioned_d2,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
d1_conditioned_d2,local,d1_conditioned_d2,generator_pairwise_dataset_macro,comgenvid,0.823389082891454,0.8350424444128318,2,1796,1796,42
d1_conditioned_d2,local,d1_conditioned_d2,generator_pairwise_dataset_macro,genvideo,0.8306962268431316,0.8153600482951235,8,5639,5639,42
d1_conditioned_d2,local,d1_conditioned_d2,generator_pairwise_dataset_macro,videofeedback,0.6603561111111113,0.6994517032175206,10,3000,3000,42
d1_conditioned_d2,local,d1_conditioned_d2,generator_pairwise_macro3,Macro-3,0.7714804736152323,0.7832847319751587,20,10435,10435,42
d2_unconditioned_geometry,global,d2_unconditioned_geometry,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
d2_unconditioned_geometry,global,d2_unconditioned_geometry,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
d2_unconditioned_geometry,global,d2_unconditioned_geometry,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
d2_unconditioned_geometry,global,d2_unconditioned_geometry,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
d2_unconditioned_geometry,local,d2_unconditioned_geometry,generator_pairwise_dataset_macro,comgenvid,0.6132679773413823,0.5661320442165485,2,1796,1796,42
d2_unconditioned_geometry,local,d2_unconditioned_geometry,generator_pairwise_dataset_macro,genvideo,0.12390462214231453,0.32991342578818844,8,5639,5639,42
d2_unconditioned_geometry,local,d2_unconditioned_geometry,generator_pairwise_dataset_macro,videofeedback,0.5860161111111111,0.6116937054731706,10,3000,3000,42
d2_unconditioned_geometry,local,d2_unconditioned_geometry,generator_pairwise_macro3,Macro-3,0.44106290353160266,0.5025797251593025,20,10435,10435,42
d3_conditioned_geometry,global,d3_conditioned_geometry,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
d3_conditioned_geometry,global,d3_conditioned_geometry,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
d3_conditioned_geometry,global,d3_conditioned_geometry,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
d3_conditioned_geometry,global,d3_conditioned_geometry,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
d3_conditioned_geometry,local,d3_conditioned_geometry,generator_pairwise_dataset_macro,comgenvid,0.6555405231124846,0.6196680177995368,2,1796,1796,42
d3_conditioned_geometry,local,d3_conditioned_geometry,generator_pairwise_dataset_macro,genvideo,0.24405944612334513,0.36470357327314945,8,5639,5639,42
d3_conditioned_geometry,local,d3_conditioned_geometry,generator_pairwise_dataset_macro,videofeedback,0.49010333333333334,0.5189982895844913,10,3000,3000,42
d3_conditioned_geometry,local,d3_conditioned_geometry,generator_pairwise_macro3,Macro-3,0.463234434189721,0.5011232935523925,20,10435,10435,42
