variant,run_name,dataset,auc,ap_real,tpr_at_0_1pct_fpr,tpr_at_1pct_fpr,fpr_at_95pct_tpr,n_real,n_fake,n_generators
d0_unconditioned_d2,d0_unconditioned_d2,comgenvid,0.8993298834010219,0.7726902109522533,0.0,0.19823529411764707,0.39420935412026725,898,3400,2
d0_unconditioned_d2,d0_unconditioned_d2,genvideo,0.8720592119688926,0.8855285188350331,0.07909203759531831,0.25536442631672285,0.5596192384769539,7984,5639,8
d0_unconditioned_d2,d0_unconditioned_d2,videofeedback,0.8552156666666666,0.571976358542296,0.019,0.10366666666666667,0.54,500,3000,10
d1_conditioned_d2,d1_conditioned_d2,comgenvid,0.8859812655574478,0.7559818051448652,0.0,0.18058823529411766,0.41759465478841873,898,3400,2
d1_conditioned_d2,d1_conditioned_d2,genvideo,0.872542600274143,0.8912938407723563,0.08831353076786665,0.2511083525447774,0.5549849699398798,7984,5639,8
d1_conditioned_d2,d1_conditioned_d2,videofeedback,0.8501373333333334,0.605204756348876,0.0,0.08366666666666667,0.514,500,3000,10
d2_unconditioned_geometry,d2_unconditioned_geometry,comgenvid,0.8260307218655836,0.5973823396627094,0.07294117647058823,0.15970588235294117,0.5979955456570156,898,3400,2
d2_unconditioned_geometry,d2_unconditioned_geometry,genvideo,0.5811795052243163,0.698496134698555,0.0,0.0007093456286575634,0.8574649298597194,7984,5639,8
d2_unconditioned_geometry,d2_unconditioned_geometry,videofeedback,0.8023973333333334,0.4970302124583868,0.05433333333333333,0.13766666666666666,0.62,500,3000,10
d3_conditioned_geometry,d3_conditioned_geometry,comgenvid,0.8372880911830212,0.6185027224748003,0.03764705882352941,0.1888235294117647,0.566815144766147,898,3400,2
d3_conditioned_geometry,d3_conditioned_geometry,genvideo,0.6575681954439113,0.7547249019831045,0.00017733640716439085,0.00620677425075368,0.8081162324649298,7984,5639,8
d3_conditioned_geometry,d3_conditioned_geometry,videofeedback,0.7577566666666667,0.42096352663418696,0.027,0.10433333333333333,0.682,500,3000,10
