variant,scope,dataset,metric,delta_mean,ci95_low,ci95_high,bootstrap_iterations
d1_conditioned_d2,generator_pairwise_dataset_macro,comgenvid,auc,-0.012859399006673143,-0.015251162478747424,-0.010544685419570482,1000
d1_conditioned_d2,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.009793877193706328,-0.012525180976189302,-0.007358446798851865,1000
d1_conditioned_d2,generator_pairwise_dataset_macro,genvideo,auc,0.001161418990654709,-0.0010147878455582689,0.0034313461167313057,1000
d1_conditioned_d2,generator_pairwise_dataset_macro,genvideo,ap_real,0.005316748864487719,0.0015993798563343389,0.009193554128627475,1000
d1_conditioned_d2,generator_pairwise_dataset_macro,videofeedback,auc,-0.002139694679576571,-0.005474517239057892,0.0011954914478025799,1000
d1_conditioned_d2,generator_pairwise_dataset_macro,videofeedback,ap_real,0.00504796500603225,0.0007972218642543855,0.009477788788358314,1000
d1_conditioned_d2,generator_pairwise_macro3,Macro-3,auc,-0.004612558231865002,-0.00614670186318796,-0.0030126891448197498,1000
d1_conditioned_d2,generator_pairwise_macro3,Macro-3,ap_real,0.00019027889227121392,-0.001878580754598482,0.0021913565080239213,1000
d3_conditioned_geometry,generator_pairwise_dataset_macro,comgenvid,auc,0.010869767870024248,0.007403899481212975,0.014384972413571876,1000
d3_conditioned_geometry,generator_pairwise_dataset_macro,comgenvid,ap_real,0.009432495839516762,0.005803827134802585,0.013000262136973036,1000
d3_conditioned_geometry,generator_pairwise_dataset_macro,genvideo,auc,0.07495083464861002,0.061412165637277055,0.08892399775606853,1000
d3_conditioned_geometry,generator_pairwise_dataset_macro,genvideo,ap_real,0.06124097879712389,0.04842544212604547,0.07422943556975434,1000
d3_conditioned_geometry,generator_pairwise_dataset_macro,videofeedback,auc,-0.045330337054304136,-0.050252367260103896,-0.04063946445299071,1000
d3_conditioned_geometry,generator_pairwise_dataset_macro,videofeedback,ap_real,-0.039358000711571355,-0.04425506692311424,-0.03449179288667536,1000
d3_conditioned_geometry,generator_pairwise_macro3,Macro-3,auc,0.013496755154776711,0.008583129672780437,0.018583439401904267,1000
d3_conditioned_geometry,generator_pairwise_macro3,Macro-3,ap_real,0.010438491308356432,0.005620297385297222,0.015491370286804126,1000
d3_conditioned_geometry,generator_pairwise_dataset_macro,comgenvid,auc,-0.05936814078382676,-0.06800333307717683,-0.05051838703798913,1000
d3_conditioned_geometry,generator_pairwise_dataset_macro,comgenvid,ap_real,-0.06302942672511361,-0.07331288658104719,-0.05384378154499766,1000
d3_conditioned_geometry,generator_pairwise_dataset_macro,genvideo,auc,-0.19722384719741876,-0.21041123832510272,-0.18434840664188795,1000
d3_conditioned_geometry,generator_pairwise_dataset_macro,genvideo,ap_real,-0.14412153213427034,-0.15861956428249954,-0.1306346543439777,1000
d3_conditioned_geometry,generator_pairwise_dataset_macro,videofeedback,auc,-0.09978640171401347,-0.10995853937055028,-0.0899151912936408,1000
d3_conditioned_geometry,generator_pairwise_dataset_macro,videofeedback,ap_real,-0.07747632044349677,-0.08676832128054003,-0.06778869745000318,1000
d3_conditioned_geometry,generator_pairwise_macro3,Macro-3,auc,-0.11879279656508632,-0.12549414688154578,-0.11271140633874786,1000
d3_conditioned_geometry,generator_pairwise_macro3,Macro-3,ap_real,-0.09487575976762691,-0.10193259852201117,-0.08860975564472305,1000
