variant,run_name,scope,dataset,auc,ap_real,n_generators,n_pairwise_real,n_pairwise_fake,pairwise_seed
d0_unconditioned_d2,d0_unconditioned_d2,generator_pairwise_dataset_macro,comgenvid,0.9014749430806395,0.9110388468338928,2,1796,1796,42
d0_unconditioned_d2,d0_unconditioned_d2,generator_pairwise_dataset_macro,genvideo,0.8585612598531033,0.8391031398830191,8,5639,5639,42
d0_unconditioned_d2,d0_unconditioned_d2,generator_pairwise_dataset_macro,videofeedback,0.8621400000000001,0.8686679558954129,10,3000,3000,42
d0_unconditioned_d2,d0_unconditioned_d2,generator_pairwise_macro3,Macro-3,0.8740587343112476,0.8729366475374416,20,10435,10435,42
d1_conditioned_d2,d1_conditioned_d2,generator_pairwise_dataset_macro,comgenvid,0.8886789376044761,0.9012864649202956,2,1796,1796,42
d1_conditioned_d2,d1_conditioned_d2,generator_pairwise_dataset_macro,genvideo,0.8596732227082933,0.8445556353890646,8,5639,5639,42
d1_conditioned_d2,d1_conditioned_d2,generator_pairwise_dataset_macro,videofeedback,0.8598394444444445,0.8737320932757695,10,3000,3000,42
d1_conditioned_d2,d1_conditioned_d2,generator_pairwise_macro3,Macro-3,0.869397201585738,0.87319139786171,20,10435,10435,42
d2_unconditioned_geometry,d2_unconditioned_geometry,generator_pairwise_dataset_macro,comgenvid,0.8312852490811058,0.838281195621327,2,1796,1796,42
d2_unconditioned_geometry,d2_unconditioned_geometry,generator_pairwise_dataset_macro,genvideo,0.5865615802864006,0.632263323790098,8,5639,5639,42
d2_unconditioned_geometry,d2_unconditioned_geometry,generator_pairwise_dataset_macro,videofeedback,0.8074427777777776,0.8303669630438325,10,3000,3000,42
d2_unconditioned_geometry,d2_unconditioned_geometry,generator_pairwise_macro3,Macro-3,0.7417632023817613,0.7669704941517524,20,10435,10435,42
d3_conditioned_geometry,d3_conditioned_geometry,generator_pairwise_dataset_macro,comgenvid,0.8420797763899981,0.8477113223596745,2,1796,1796,42
d3_conditioned_geometry,d3_conditioned_geometry,generator_pairwise_dataset_macro,genvideo,0.6611470103265835,0.6940265937634305,8,5639,5639,42
d3_conditioned_geometry,d3_conditioned_geometry,generator_pairwise_dataset_macro,videofeedback,0.7623094444444445,0.7909554770632137,10,3000,3000,42
d3_conditioned_geometry,d3_conditioned_geometry,generator_pairwise_macro3,Macro-3,0.7551787437203421,0.7775644643954395,20,10435,10435,42
