variant,branch,run_name,scope,dataset,auc,ap_real,n_generators,n_pairwise_real,n_pairwise_fake,pairwise_seed
s0_empirical_d2,global,s0_empirical_d2,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
s0_empirical_d2,global,s0_empirical_d2,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
s0_empirical_d2,global,s0_empirical_d2,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
s0_empirical_d2,global,s0_empirical_d2,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
s0_empirical_d2,local,s0_empirical_d2,generator_pairwise_dataset_macro,comgenvid,0.8994719148218511,0.8969684589214393,2,1796,1796,42
s0_empirical_d2,local,s0_empirical_d2,generator_pairwise_dataset_macro,genvideo,0.8446974058663662,0.8179106773551017,8,5639,5639,42
s0_empirical_d2,local,s0_empirical_d2,generator_pairwise_dataset_macro,videofeedback,0.736785,0.7538857843755208,10,3000,3000,42
s0_empirical_d2,local,s0_empirical_d2,generator_pairwise_macro3,Macro-3,0.826984773562739,0.8229216402173539,20,10435,10435,42
s1_ledoit_wolf_d2,global,s1_ledoit_wolf_d2,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
s1_ledoit_wolf_d2,global,s1_ledoit_wolf_d2,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
s1_ledoit_wolf_d2,global,s1_ledoit_wolf_d2,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
s1_ledoit_wolf_d2,global,s1_ledoit_wolf_d2,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
s1_ledoit_wolf_d2,local,s1_ledoit_wolf_d2,generator_pairwise_dataset_macro,comgenvid,0.8991969285866637,0.8967306307177004,2,1796,1796,42
s1_ledoit_wolf_d2,local,s1_ledoit_wolf_d2,generator_pairwise_dataset_macro,genvideo,0.8446862774473409,0.8177794539337635,8,5639,5639,42
s1_ledoit_wolf_d2,local,s1_ledoit_wolf_d2,generator_pairwise_dataset_macro,videofeedback,0.7364122222222221,0.7536588014212233,10,3000,3000,42
s1_ledoit_wolf_d2,local,s1_ledoit_wolf_d2,generator_pairwise_macro3,Macro-3,0.8267651427520756,0.822722962024229,20,10435,10435,42
s2_oas_d2,global,s2_oas_d2,generator_pairwise_dataset_macro,comgenvid,0.8667702541158029,0.876195175029213,2,1796,1796,42
s2_oas_d2,global,s2_oas_d2,generator_pairwise_dataset_macro,genvideo,0.8320412006290078,0.8140254487728642,8,5639,5639,42
s2_oas_d2,global,s2_oas_d2,generator_pairwise_dataset_macro,videofeedback,0.8579838888888889,0.8693766907364434,10,3000,3000,42
s2_oas_d2,global,s2_oas_d2,generator_pairwise_macro3,Macro-3,0.8522651145445664,0.8531991048461736,20,10435,10435,42
s2_oas_d2,local,s2_oas_d2,generator_pairwise_dataset_macro,comgenvid,0.8991969285866637,0.8967306307177004,2,1796,1796,42
s2_oas_d2,local,s2_oas_d2,generator_pairwise_dataset_macro,genvideo,0.8446861498963205,0.8177794131585174,8,5639,5639,42
s2_oas_d2,local,s2_oas_d2,generator_pairwise_dataset_macro,videofeedback,0.7364122222222221,0.7536588014212233,10,3000,3000,42
s2_oas_d2,local,s2_oas_d2,generator_pairwise_macro3,Macro-3,0.8267651002350688,0.8227229484324804,20,10435,10435,42
