variant,run_name,dataset,generator,auc,ap_real,tpr_at_0_1pct_fpr,tpr_at_1pct_fpr,fpr_at_95pct_tpr,n_real,n_fake
s0_empirical_d2,s0_empirical_d2,comgenvid,Sora,0.8853782916284554,0.8321205249990462,0.0,0.17882352941176471,0.4265033407572383,898,1700
s0_empirical_d2,s0_empirical_d2,comgenvid,VEO3,0.9132814751735885,0.8745071258013628,0.0,0.21764705882352942,0.35634743875278396,898,1700
s0_empirical_d2,s0_empirical_d2,genvideo,Crafter,0.840368902699015,0.9941359868004604,0.031914893617021274,0.13829787234042554,0.6667084168336673,7984,188
s0_empirical_d2,s0_empirical_d2,genvideo,Gen2,0.9395287858325346,0.9884888571464951,0.12246376811594203,0.37028985507246376,0.2835671342685371,7984,1380
s0_empirical_d2,s0_empirical_d2,genvideo,Lavie,0.8702254956341254,0.9692023911360348,0.08071428571428571,0.2357142857142857,0.5100200400801603,7984,1400
s0_empirical_d2,s0_empirical_d2,genvideo,ModelScope,0.8500611043515601,0.9828252990155928,0.06714285714285714,0.21428571428571427,0.5643787575150301,7984,700
s0_empirical_d2,s0_empirical_d2,genvideo,MorphStudio,0.8544474663612941,0.983147785137863,0.047142857142857146,0.18142857142857144,0.5417084168336673,7984,700
s0_empirical_d2,s0_empirical_d2,genvideo,Show_1,0.8611671557400515,0.9803826999193115,0.07,0.24714285714285714,0.6048346693386774,7984,700
s0_empirical_d2,s0_empirical_d2,genvideo,Sora,0.8753019431720583,0.9988124063473626,0.05357142857142857,0.26785714285714285,0.468687374749499,7984,56
s0_empirical_d2,s0_empirical_d2,genvideo,WildScrape,0.7761110813860731,0.9711322566094838,0.05048543689320388,0.20970873786407768,0.9020541082164328,7984,515
s0_empirical_d2,s0_empirical_d2,videofeedback,AnimateDiff,0.86407,0.9182685255392069,0.0,0.05,0.536,500,300
s0_empirical_d2,s0_empirical_d2,videofeedback,Fast-SVD,0.9170699999999999,0.9510270546649799,0.023333333333333334,0.20333333333333334,0.328,500,300
s0_empirical_d2,s0_empirical_d2,videofeedback,LVDM,0.90541,0.9459276266740234,0.0033333333333333335,0.07,0.314,500,300
s0_empirical_d2,s0_empirical_d2,videofeedback,LaVie-base,0.8389666666666666,0.8973743299348749,0.01,0.07666666666666666,0.58,500,300
s0_empirical_d2,s0_empirical_d2,videofeedback,ModelScope,0.8304333333333334,0.8846575885204434,0.013333333333333334,0.11333333333333333,0.58,500,300
s0_empirical_d2,s0_empirical_d2,videofeedback,Pika,0.8697966666666667,0.9266842697097591,0.03666666666666667,0.12333333333333334,0.396,500,300
s0_empirical_d2,s0_empirical_d2,videofeedback,SoRA-Clip,0.80533,0.86978124577623,0.06,0.13333333333333333,0.632,500,300
s0_empirical_d2,s0_empirical_d2,videofeedback,Text2Video-Zero,0.77146,0.8340290622593047,0.006666666666666667,0.03,0.684,500,300
s0_empirical_d2,s0_empirical_d2,videofeedback,VideoCrafter2,0.9360733333333333,0.9601906298767342,0.013333333333333334,0.2,0.238,500,300
s0_empirical_d2,s0_empirical_d2,videofeedback,ZeroScope-576w,0.8135466666666666,0.8907576252928693,0.023333333333333334,0.03666666666666667,0.54,500,300
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,comgenvid,Sora,0.8853389886021223,0.8320773627942541,0.0,0.17882352941176471,0.42538975501113585,898,1700
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,comgenvid,VEO3,0.9132415170968166,0.8744736930028336,0.0,0.21764705882352942,0.35634743875278396,898,1700
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,genvideo,Crafter,0.8404115411674412,0.9941418542922356,0.031914893617021274,0.13829787234042554,0.6665831663326653,7984,188
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,genvideo,Gen2,0.939560688405797,0.9884960738524593,0.12246376811594203,0.3710144927536232,0.2835671342685371,7984,1380
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,genvideo,Lavie,0.8700941615373604,0.9691722680942658,0.07928571428571428,0.2357142857142857,0.5093937875751503,7984,1400
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,genvideo,ModelScope,0.8500543945032922,0.9828247450298432,0.06714285714285714,0.21428571428571427,0.564629258517034,7984,700
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,genvideo,MorphStudio,0.8544367306040652,0.9831468168847901,0.047142857142857146,0.18285714285714286,0.5413326653306614,7984,700
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,genvideo,Show_1,0.8610686551674779,0.9803747838771474,0.07,0.24571428571428572,0.6047094188376754,7984,700
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,genvideo,Sora,0.8753679233466933,0.998813094058972,0.05357142857142857,0.26785714285714285,0.468311623246493,7984,56
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,genvideo,WildScrape,0.7762402231647761,0.9711684823883464,0.04854368932038835,0.20970873786407768,0.9018036072144289,7984,515
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,videofeedback,AnimateDiff,0.86416,0.918296120401072,0.0,0.05,0.536,500,300
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,videofeedback,Fast-SVD,0.9171566666666666,0.9510820944419139,0.023333333333333334,0.20333333333333334,0.326,500,300
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,videofeedback,LVDM,0.9055166666666666,0.9459868535265589,0.0033333333333333335,0.07,0.314,500,300
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,videofeedback,LaVie-base,0.8388633333333334,0.8973141932499606,0.01,0.07666666666666666,0.58,500,300
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,videofeedback,ModelScope,0.83043,0.8846850619879261,0.013333333333333334,0.11333333333333333,0.58,500,300
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,videofeedback,Pika,0.8699166666666667,0.9267456574252431,0.03666666666666667,0.12333333333333334,0.396,500,300
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,videofeedback,SoRA-Clip,0.8053533333333334,0.8698405196687641,0.06,0.13,0.632,500,300
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,videofeedback,Text2Video-Zero,0.7713233333333335,0.8340495966684309,0.006666666666666667,0.03,0.684,500,300
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,videofeedback,VideoCrafter2,0.93601,0.9601144975129113,0.013333333333333334,0.2,0.238,500,300
s1_ledoit_wolf_d2,s1_ledoit_wolf_d2,videofeedback,ZeroScope-576w,0.8135966666666666,0.8907789648688624,0.023333333333333334,0.03666666666666667,0.54,500,300
s2_oas_d2,s2_oas_d2,comgenvid,Sora,0.8853389886021223,0.8320773627942541,0.0,0.17882352941176471,0.42538975501113585,898,1700
s2_oas_d2,s2_oas_d2,comgenvid,VEO3,0.9132415170968166,0.8744736930028336,0.0,0.21764705882352942,0.35634743875278396,898,1700
s2_oas_d2,s2_oas_d2,genvideo,Crafter,0.8404115411674413,0.9941418544288871,0.031914893617021274,0.13829787234042554,0.6665831663326653,7984,188
s2_oas_d2,s2_oas_d2,genvideo,Gen2,0.939560688405797,0.988496074029498,0.12246376811594203,0.3710144927536232,0.2835671342685371,7984,1380
s2_oas_d2,s2_oas_d2,genvideo,Lavie,0.8700939826080732,0.9691722230027728,0.07928571428571428,0.2357142857142857,0.5093937875751503,7984,1400
s2_oas_d2,s2_oas_d2,genvideo,ModelScope,0.8500543945032922,0.9828247455032298,0.06714285714285714,0.21428571428571427,0.564629258517034,7984,700
s2_oas_d2,s2_oas_d2,genvideo,MorphStudio,0.854436551674778,0.9831467939464162,0.047142857142857146,0.18285714285714286,0.5413326653306614,7984,700
s2_oas_d2,s2_oas_d2,genvideo,Show_1,0.8610686551674779,0.980374784286476,0.07,0.24571428571428572,0.6047094188376754,7984,700
s2_oas_d2,s2_oas_d2,genvideo,Sora,0.8753679233466933,0.998813094081966,0.05357142857142857,0.26785714285714285,0.468311623246493,7984,56
s2_oas_d2,s2_oas_d2,genvideo,WildScrape,0.7762402231647763,0.9711684829040348,0.04854368932038835,0.20970873786407768,0.9018036072144289,7984,515
s2_oas_d2,s2_oas_d2,videofeedback,AnimateDiff,0.86416,0.918296120401072,0.0,0.05,0.536,500,300
s2_oas_d2,s2_oas_d2,videofeedback,Fast-SVD,0.9171566666666666,0.9510820944419139,0.023333333333333334,0.20333333333333334,0.326,500,300
s2_oas_d2,s2_oas_d2,videofeedback,LVDM,0.9055166666666666,0.9459868535265589,0.0033333333333333335,0.07,0.314,500,300
s2_oas_d2,s2_oas_d2,videofeedback,LaVie-base,0.8388633333333334,0.8973141932499606,0.01,0.07666666666666666,0.58,500,300
s2_oas_d2,s2_oas_d2,videofeedback,ModelScope,0.83043,0.8846850619879261,0.013333333333333334,0.11333333333333333,0.58,500,300
s2_oas_d2,s2_oas_d2,videofeedback,Pika,0.8699166666666667,0.9267456574252431,0.03666666666666667,0.12333333333333334,0.396,500,300
s2_oas_d2,s2_oas_d2,videofeedback,SoRA-Clip,0.8053533333333334,0.8698405196687641,0.06,0.13,0.632,500,300
s2_oas_d2,s2_oas_d2,videofeedback,Text2Video-Zero,0.7713233333333335,0.8340495966684309,0.006666666666666667,0.03,0.684,500,300
s2_oas_d2,s2_oas_d2,videofeedback,VideoCrafter2,0.93601,0.9601144975129113,0.013333333333333334,0.2,0.238,500,300
s2_oas_d2,s2_oas_d2,videofeedback,ZeroScope-576w,0.8135966666666666,0.8907789648688624,0.023333333333333334,0.03666666666666667,0.54,500,300
