variant,scope,dataset,metric,delta_mean,ci95_low,ci95_high,bootstrap_iterations
s1_ledoit_wolf_d2,generator_pairwise_dataset_macro,comgenvid,auc,-5.0063066164420525e-05,-0.00010177665215081039,-6.803123797641267e-06,1000
s1_ledoit_wolf_d2,generator_pairwise_dataset_macro,comgenvid,ap_real,-2.2524098913967284e-05,-6.599746669225386e-05,2.092878261894387e-05,1000
s1_ledoit_wolf_d2,generator_pairwise_dataset_macro,genvideo,auc,3.20176806619554e-05,-8.567318406896874e-05,0.0002621902109345516,1000
s1_ledoit_wolf_d2,generator_pairwise_dataset_macro,genvideo,ap_real,0.00014957692762519392,-4.117617357020445e-05,0.000499172769315452,1000
s1_ledoit_wolf_d2,generator_pairwise_dataset_macro,videofeedback,auc,-1.5724415135990878e-05,-8.842334740200823e-05,5.895167450805482e-05,1000
s1_ledoit_wolf_d2,generator_pairwise_dataset_macro,videofeedback,ap_real,-6.948113456974259e-06,-9.63192133522367e-05,9.799958430376896e-05,1000
s1_ledoit_wolf_d2,generator_pairwise_macro3,Macro-3,auc,-1.1256600212818666e-05,-6.421456086141439e-05,6.620740101475531e-05,1000
s1_ledoit_wolf_d2,generator_pairwise_macro3,Macro-3,ap_real,4.0034905084750795e-05,-3.3859007342081386e-05,0.00015709724433799732,1000
s2_oas_d2,generator_pairwise_dataset_macro,comgenvid,auc,-4.978676946887395e-05,-0.00010206810425602841,2.8165627276310757e-07,1000
s2_oas_d2,generator_pairwise_dataset_macro,comgenvid,ap_real,-2.2650781738604464e-05,-7.123801879644481e-05,2.3178334842754995e-05,1000
s2_oas_d2,generator_pairwise_dataset_macro,genvideo,auc,2.9029209138765777e-05,-8.615124757828559e-05,0.00029071058173253634,1000
s2_oas_d2,generator_pairwise_dataset_macro,genvideo,ap_real,0.00014418422702969035,-4.561210395690393e-05,0.0004913920680262524,1000
s2_oas_d2,generator_pairwise_dataset_macro,videofeedback,auc,-1.6689991369713998e-05,-9.105586206527183e-05,6.0088265005668544e-05,1000
s2_oas_d2,generator_pairwise_dataset_macro,videofeedback,ap_real,-7.901638022989909e-06,-9.13230257649958e-05,8.736945288167538e-05,1000
s2_oas_d2,generator_pairwise_macro3,Macro-3,auc,-1.2482517233274057e-05,-6.436064403407408e-05,7.333158798846032e-05,1000
s2_oas_d2,generator_pairwise_macro3,Macro-3,ap_real,3.787726908936532e-05,-3.5114403674554825e-05,0.00015108850012507876,1000
s2_oas_d2,generator_pairwise_dataset_macro,comgenvid,auc,0.0,0.0,0.0,1000
s2_oas_d2,generator_pairwise_dataset_macro,comgenvid,ap_real,0.0,0.0,0.0,1000
s2_oas_d2,generator_pairwise_dataset_macro,genvideo,auc,-1.2542247477564937e-07,-5.74037207881628e-07,1.3877787807814457e-17,1000
s2_oas_d2,generator_pairwise_dataset_macro,genvideo,ap_real,-1.753981202483046e-07,-7.169689840779564e-07,0.0,1000
s2_oas_d2,generator_pairwise_dataset_macro,videofeedback,auc,0.0,0.0,0.0,1000
s2_oas_d2,generator_pairwise_dataset_macro,videofeedback,ap_real,0.0,0.0,0.0,1000
s2_oas_d2,generator_pairwise_macro3,Macro-3,auc,-4.180749159188313e-08,-1.9134573596054268e-07,4.625929269271485e-18,1000
s2_oas_d2,generator_pairwise_macro3,Macro-3,ap_real,-5.84660400827682e-08,-2.3898966135931883e-07,0.0,1000
