selector,video_id,dataset,subset,source_model,video_path,effective_k,global_raw,local_raw,global_score,local_score,final_score
target_real,vifbench:datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/-0mnCHRQ-Zc_000092_000102.mp4,vifbench,annotated,CogVideoX1.5-5B-T,datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/-0mnCHRQ-Zc_000092_000102.mp4,3,0.016266384114276746,0.0,0.0,0.0,0.0
target_real,vifbench:datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/-6Uat2UGZ9c_000001_000011.mp4,vifbench,annotated,CogVideoX1.5-5B-T,datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/-6Uat2UGZ9c_000001_000011.mp4,3,0.12003080605917903,0.016666666666666666,0.125,0.0125,0.06875
target_real,vifbench:datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/-EgW0xV1fsE-0.mp4,vifbench,annotated,CogVideoX1.5-5B-T,datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/-EgW0xV1fsE-0.mp4,3,0.015506043481673339,0.012500000000000002,0.0,0.0125,0.00625
target_real,vifbench:datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/-KpRqKiCZ3E.31.mp4,vifbench,annotated,CogVideoX1.5-5B-T,datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/-KpRqKiCZ3E.31.mp4,3,0.24794462758025274,0.0625,0.3,0.05,0.175
target_real,vifbench:datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/-TfD4eKDfbI-1.mp4,vifbench,annotated,CogVideoX1.5-5B-T,datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/-TfD4eKDfbI-1.mp4,3,0.19389176673730477,0.015277777777777779,0.2,0.0125,0.10625000000000001
target_real,vifbench:datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/-l2yvybjqhI_000034_000044.mp4,vifbench,annotated,CogVideoX1.5-5B-T,datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/-l2yvybjqhI_000034_000044.mp4,3,0.4746732987991524,0.5069444444444445,0.65,0.5125,0.58125
target_real,vifbench:datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/0Z0WbrtVqSY_000006_000016.mp4,vifbench,annotated,CogVideoX1.5-5B-T,datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/0Z0WbrtVqSY_000006_000016.mp4,3,0.04472274546738875,0.0,0.0375,0.0,0.01875
target_real,vifbench:datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/1OnoVMDrv3Q-0.mp4,vifbench,annotated,CogVideoX1.5-5B-T,datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/1OnoVMDrv3Q-0.mp4,3,0.22929420767600658,0.034722222222222224,0.275,0.0375,0.15625
target_real,vifbench:datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/1bC_0TiWf9I_000024_000034.mp4,vifbench,annotated,CogVideoX1.5-5B-T,datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/1bC_0TiWf9I_000024_000034.mp4,3,0.21658916097637548,0.7722222222222221,0.2625,0.8125,0.5375
target_real,vifbench:datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/1gqmO-3zOhY.29.mp4,vifbench,annotated,CogVideoX1.5-5B-T,datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/1gqmO-3zOhY.29.mp4,3,0.500294325406169,1.0,0.675,1.0,0.8375
target_real,vifbench:datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/1jOtiyj1sBo_000015_000025.mp4,vifbench,annotated,CogVideoX1.5-5B-T,datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/1jOtiyj1sBo_000015_000025.mp4,3,0.28909622478612357,0.19444444444444445,0.325,0.175,0.25
target_real,vifbench:datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/2I9S1ZujOqg-1.mp4,vifbench,annotated,CogVideoX1.5-5B-T,datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/2I9S1ZujOqg-1.mp4,3,0.22889686837767834,0.020833333333333332,0.275,0.025,0.15000000000000002
target_real,vifbench:datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/2I9S1ZujOqg-2.mp4,vifbench,annotated,CogVideoX1.5-5B-T,datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/2I9S1ZujOqg-2.mp4,3,0.15519288124950947,0.0,0.1875,0.0,0.09375
target_real,vifbench:datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/2Wn6E_Vp-30-1.mp4,vifbench,annotated,CogVideoX1.5-5B-T,datasets/vifbench_download/source_videos/Fake/CogVideoX1.5-5B-T/2Wn6E_Vp-30-1.mp4,3,0.2532375794678597,0.125,0.3,0.1125,0.20625
