selector,baseline,scope,dataset,metric,delta_mean,ci95_low,ci95_high,bootstrap_iterations
feature_change,uniform,generator_pairwise_dataset_macro,vifbench,auc,-0.005159789231173493,-0.009108963639192794,-0.0009596123531852089,1000
feature_change,uniform,generator_pairwise_dataset_macro,vifbench,ap_real,-0.0007461235094897216,-0.006887656264558574,0.005169962530393976,1000
random,uniform,generator_pairwise_dataset_macro,vifbench,auc,0.0005347325399180927,-0.0028302896877420076,0.0040321261417925166,1000
random,uniform,generator_pairwise_dataset_macro,vifbench,ap_real,-0.0055338254404998285,-0.009780622010096007,-0.0008091571183734599,1000
feature_change,uniform,generator_pairwise_macro3,Macro-3,auc,-0.005159789231173493,-0.009108963639192794,-0.0009596123531852089,1000
feature_change,uniform,generator_pairwise_macro3,Macro-3,ap_real,-0.0007461235094897216,-0.006887656264558574,0.005169962530393976,1000
random,uniform,generator_pairwise_macro3,Macro-3,auc,0.0005347325399180927,-0.0028302896877420076,0.0040321261417925166,1000
random,uniform,generator_pairwise_macro3,Macro-3,ap_real,-0.0055338254404998285,-0.009780622010096007,-0.0008091571183734599,1000
feature_change,random,generator_pairwise_dataset_macro,vifbench,auc,-0.005780929064418151,-0.010470586868116886,-0.001154888436608837,1000
feature_change,random,generator_pairwise_dataset_macro,vifbench,ap_real,0.00467510956634143,-0.0016031878120571635,0.011101846906374942,1000
feature_change,random,generator_pairwise_macro3,Macro-3,auc,-0.005780929064418151,-0.010470586868116886,-0.001154888436608837,1000
feature_change,random,generator_pairwise_macro3,Macro-3,ap_real,0.00467510956634143,-0.0016031878120571635,0.011101846906374942,1000
