selector,run_name,scope,dataset,auc,ap_real,n_generators,n_pairwise_real,n_pairwise_fake,pairwise_seed,pair_identity_source
uniform,uniform,generator_pairwise_dataset_macro,vifbench,0.6094245155115241,0.6249563509257005,19,1531,1531,42,uniform
uniform:g0.0000,uniform:g0.0000,generator_pairwise_dataset_macro,vifbench,0.561349129469117,0.581858465184037,19,1531,1531,42,uniform
uniform:g0.2500,uniform:g0.2500,generator_pairwise_dataset_macro,vifbench,0.5972682903444979,0.6144516583663857,19,1531,1531,42,uniform
uniform:g0.4000,uniform:g0.4000,generator_pairwise_dataset_macro,vifbench,0.6049461675912132,0.6226329811969972,19,1531,1531,42,uniform
uniform:g0.5000,uniform:g0.5000,generator_pairwise_dataset_macro,vifbench,0.6094245155115241,0.6249563509257005,19,1531,1531,42,uniform
uniform:g0.6000,uniform:g0.6000,generator_pairwise_dataset_macro,vifbench,0.6087202176499638,0.6220451170819197,19,1531,1531,42,uniform
uniform:g0.6667,uniform:g0.6667,generator_pairwise_dataset_macro,vifbench,0.6091310555501904,0.6195721321313099,19,1531,1531,42,uniform
uniform:g0.7500,uniform:g0.7500,generator_pairwise_dataset_macro,vifbench,0.6079211169716313,0.6142513763859686,19,1531,1531,42,uniform
uniform:g1.0000,uniform:g1.0000,generator_pairwise_dataset_macro,vifbench,0.6075459065562606,0.5978638372834293,19,1531,1531,42,uniform
feature_change:g0.0000,feature_change:g0.0000,generator_pairwise_dataset_macro,vifbench,0.5680289559910714,0.5874499013662322,19,1531,1531,42,uniform
feature_change:g0.2500,feature_change:g0.2500,generator_pairwise_dataset_macro,vifbench,0.5949951278883315,0.6142462916125668,19,1531,1531,42,uniform
feature_change:g0.4000,feature_change:g0.4000,generator_pairwise_dataset_macro,vifbench,0.6013505214059436,0.6218610201886505,19,1531,1531,42,uniform
feature_change:g0.5000,feature_change:g0.5000,generator_pairwise_dataset_macro,vifbench,0.6043106504427713,0.6246238310613149,19,1531,1531,42,uniform
feature_change:g0.6000,feature_change:g0.6000,generator_pairwise_dataset_macro,vifbench,0.6058932793862283,0.6255601440127099,19,1531,1531,42,uniform
feature_change:g0.6667,feature_change:g0.6667,generator_pairwise_dataset_macro,vifbench,0.6072506070097051,0.6253617577922279,19,1531,1531,42,uniform
feature_change:g0.7500,feature_change:g0.7500,generator_pairwise_dataset_macro,vifbench,0.6068281147396594,0.621924714501469,19,1531,1531,42,uniform
feature_change:g1.0000,feature_change:g1.0000,generator_pairwise_dataset_macro,vifbench,0.6037488711317601,0.596834253255954,19,1531,1531,42,uniform
