config,family,region,aggregation,layer,selection_role,uses_fake_for_fit_or_calibration,uses_dataset_specific_fake_selection,patch_spatial_inherited_from_historical_scores,development_fake_informed
U0,clean_universal,1,mean,23,pre_release_temporal_unified_main,False,True,True,True
U1,clean_universal,2,mean,23,temporal_sensitivity_only,False,True,True,True
U2,clean_universal,3,mean,23,temporal_sensitivity_only,False,True,True,True
U3,clean_universal,1,bottom20,23,temporal_sensitivity_only,False,True,True,True
U4,clean_universal,2,bottom20,23,temporal_sensitivity_only,False,True,True,True
U5,clean_universal,3,bottom20,23,temporal_sensitivity_only,False,True,True,True
HistoricalTuned,historical_dataset_specific_tuned,3/1/2,bottom20/mean/mean,23,target_fake_selected_supplement_only,False,True,True,True
C0,cross_layer,1,mean,23,U0_identity_control,False,True,True,True
C1,cross_layer,1,mean,"min(17,23)+real_window_CDF",predeclared_candidate,False,True,True,True
C2,cross_layer,1,mean,"real_motion_median_gate(17,23)",optional_predeclared_candidate,False,True,True,True
