dataset,scope,comparison,new_config,base_config,metric,delta,ci95_low,ci95_high,bootstrap_iterations
comgenvid,generator_macro,C1-C0,C1,C0,auc,-0.00021918294056072485,-0.0016756566807703932,0.0010499157370249682,1000
comgenvid,generator_macro,C1-C0,C1,C0,ap,-0.0024087493437267016,-0.003822328628108307,-0.0011280864427816604,1000
comgenvid,generator_macro,C2-C0,C2,C0,auc,-0.005642023105044025,-0.007583628987455302,-0.0038143566996195147,1000
comgenvid,generator_macro,C2-C0,C2,C0,ap,-0.005709992092122251,-0.007637320083280917,-0.003959981400872495,1000
videofeedback,generator_macro,C1-C0,C1,C0,auc,0.000979444444444455,0.00020151388888883405,0.001771750000000059,1000
videofeedback,generator_macro,C1-C0,C1,C0,ap,0.0002374107255678437,-0.0006190774583294917,0.0011790719084432833,1000
videofeedback,generator_macro,C2-C0,C2,C0,auc,0.0024894444444444664,0.0017375972222222061,0.0032290416666666474,1000
videofeedback,generator_macro,C2-C0,C2,C0,ap,0.002068000132140746,0.0013028689074982647,0.0027990222253979243,1000
genvideo,generator_macro,C1-C0,C1,C0,auc,-0.0062019072327220565,-0.007565318999522317,-0.0049364236375704475,1000
genvideo,generator_macro,C1-C0,C1,C0,ap,-0.005968497595266048,-0.007359167794497227,-0.004568706295431306,1000
genvideo,generator_macro,C2-C0,C2,C0,auc,-0.0059721230951136905,-0.0077975716643178365,-0.00417733673329722,1000
genvideo,generator_macro,C2-C0,C2,C0,ap,-0.005373057608077436,-0.008951138964331366,-0.0023685460002159744,1000
Macro-3,,C1-C0,C1,C0,auc,-0.0018138819096127756,-0.0025667727966164015,-0.0011229847503191864,1000
Macro-3,,C1-C0,C1,C0,ap,-0.002713278737808302,-0.003416314387954793,-0.0019545935431098246,1000
Macro-3,,C2-C0,C2,C0,auc,-0.0030415672519044164,-0.004024969546356316,-0.0020528264843847933,1000
Macro-3,,C2-C0,C2,C0,ap,-0.0030050165226863136,-0.00440126062211489,-0.0017570823198805768,1000
