dataset,config,config_name,n_generators,auc,ap
comgenvid,C0,C0,2,0.8986376555671847,0.9092231422935637
comgenvid,C1,C1,2,0.8984184726266239,0.9068143929498371
comgenvid,C2,C2,2,0.8929956324621406,0.9035131502014415
genvideo,C0,C0,8,0.8566029629970787,0.8390945185528046
genvideo,C1,C1,8,0.8504010557643567,0.8331260209575385
genvideo,C2,C2,8,0.8506308399019651,0.8337214609447272
videofeedback,C0,C0,10,0.8622572222222222,0.8684111477215204
videofeedback,C1,C1,10,0.8632366666666667,0.8686485584470882
videofeedback,C2,C2,10,0.8647466666666667,0.870479147853661
Macro-3,C0,C0,20,0.8724992802621618,0.8722429361892963
Macro-3,C1,C1,20,0.8706853983525491,0.8695296574514879
Macro-3,C2,C2,20,0.8694577130102575,0.8692379196666099
