dataset,generator,config,base_config,delta_auc,delta_ap
comgenvid,Sora,C0,C0,0.0,0.0
comgenvid,Sora,C1,C0,-0.0016505374477309154,-0.0045025855439848605
comgenvid,Sora,C2,C0,-0.004263371709465669,-0.004687152457182875
comgenvid,VEO3,C0,C0,0.0,0.0
comgenvid,VEO3,C1,C0,0.0012121715666094657,-0.0003149131434685426
comgenvid,VEO3,C2,C0,-0.007020674500622381,-0.006732831727061628
genvideo,Crafter,C0,C0,0.0,0.0
genvideo,Crafter,C1,C0,-0.010001697600724446,-0.00904440204335144
genvideo,Crafter,C2,C0,-0.010270484382073453,-7.754256527170433e-05
genvideo,Gen2,C0,C0,0.0,0.0
genvideo,Gen2,C1,C0,-0.0019386683469860833,-0.0014580686562435385
genvideo,Gen2,C2,C0,-0.012312276832598168,-0.011680502867816744
genvideo,Lavie,C0,C0,0.0,0.0
genvideo,Lavie,C1,C0,-0.010066581632652949,-0.009148615829412732
genvideo,Lavie,C2,C0,-0.009595408163265207,-0.006726683715913562
genvideo,ModelScope,C0,C0,0.0,0.0
genvideo,ModelScope,C1,C0,-0.005055102040816384,-0.005685936732892971
genvideo,ModelScope,C2,C0,0.0011346938775510518,-0.00046871595004294164
genvideo,MorphStudio,C0,C0,0.0,0.0
genvideo,MorphStudio,C1,C0,-0.00904285714285713,-0.007513539424636728
genvideo,MorphStudio,C2,C0,-0.00015204081632647082,0.0028262762740046687
genvideo,Show_1,C0,C0,0.0,0.0
genvideo,Show_1,C1,C0,-0.007259183673469227,-0.008954954901088996
genvideo,Show_1,C2,C0,-0.01350612244897953,-0.013024606737114364
genvideo,Sora,C0,C0,0.0,0.0
genvideo,Sora,C1,C0,-0.004145408163265363,-0.004349077180489491
genvideo,Sora,C2,C0,-0.0017538265306122902,-0.01483855657175348
genvideo,WildScrape,C0,C0,0.0,0.0
genvideo,WildScrape,C1,C0,-0.002105759261004869,-0.0015933859940124862
genvideo,WildScrape,C2,C0,-0.0013215194646054584,0.0010058712692886385
videofeedback,AnimateDiff,C0,C0,0.0,0.0
videofeedback,AnimateDiff,C1,C0,-0.00013333333333320763,-0.0005686887887699221
videofeedback,AnimateDiff,C2,C0,0.000794444444444431,0.0010901537514371729
videofeedback,Fast-SVD,C0,C0,0.0,0.0
videofeedback,Fast-SVD,C1,C0,0.002283333333333415,0.0016811141085423253
videofeedback,Fast-SVD,C2,C0,-0.0012333333333333085,-0.0013929809640760293
videofeedback,LVDM,C0,C0,0.0,0.0
videofeedback,LVDM,C1,C0,-0.00014444444444439153,-0.002278127945994357
videofeedback,LVDM,C2,C0,0.0036000000000002697,0.0028652391796227805
videofeedback,LaVie-base,C0,C0,0.0,0.0
videofeedback,LaVie-base,C1,C0,-0.0022222222222223476,-0.003380712832695143
videofeedback,LaVie-base,C2,C0,0.0006777777777776661,5.8685081190668065e-05
videofeedback,ModelScope,C0,C0,0.0,0.0
videofeedback,ModelScope,C1,C0,-0.0015999999999999348,-0.0039043678449924846
videofeedback,ModelScope,C2,C0,0.003772222222222288,0.0032405893348701476
videofeedback,Pika,C0,C0,0.0,0.0
videofeedback,Pika,C1,C0,0.005894444444444424,0.004821118915955047
videofeedback,Pika,C2,C0,0.002361111111111147,0.0018757109259198712
videofeedback,SoRA-Clip,C0,C0,0.0,0.0
videofeedback,SoRA-Clip,C1,C0,0.0006222222222221907,0.0008052117223660282
videofeedback,SoRA-Clip,C2,C0,0.0007055555555556259,0.001844660886918259
videofeedback,Text2Video-Zero,C0,C0,0.0,0.0
videofeedback,Text2Video-Zero,C1,C0,-0.010122222222222255,-0.008639079170482011
videofeedback,Text2Video-Zero,C2,C0,0.004633333333333267,0.002776084657195921
videofeedback,VideoCrafter2,C0,C0,0.0,0.0
videofeedback,VideoCrafter2,C1,C0,-0.0006999999999999229,-0.00023295996689864928
videofeedback,VideoCrafter2,C2,C0,-0.003555555555555534,-0.0027744178416033716
videofeedback,ZeroScope-576w,C0,C0,0.0,0.0
videofeedback,ZeroScope-576w,C1,C0,0.01591666666666658,0.014070599058647604
videofeedback,ZeroScope-576w,C2,C0,0.013138888888888811,0.01109627630993204
