dataset,generator,config,config_name,n_real,n_fake,auc,ap
comgenvid,Sora,C0,C0,898,898,0.8837635974027906,0.8963562528628664
comgenvid,Sora,C1,C1,898,898,0.8821130599550597,0.8918536673188815
comgenvid,Sora,C2,C2,898,898,0.879500225693325,0.8916691004056835
comgenvid,VEO3,C0,C0,898,898,0.9135117137315786,0.9220900317242612
comgenvid,VEO3,C1,C1,898,898,0.914723885298188,0.9217751185807926
comgenvid,VEO3,C2,C2,898,898,0.9064910392309562,0.9153571999971996
videofeedback,AnimateDiff,C0,C0,300,300,0.8751944444444444,0.8867794648362821
videofeedback,AnimateDiff,C1,C1,300,300,0.8750611111111112,0.8862107760475122
videofeedback,AnimateDiff,C2,C2,300,300,0.8759888888888888,0.8878696185877193
videofeedback,Fast-SVD,C0,C0,300,300,0.9181166666666666,0.9249638423635024
videofeedback,Fast-SVD,C1,C1,300,300,0.9204,0.9266449564720447
videofeedback,Fast-SVD,C2,C2,300,300,0.9168833333333333,0.9235708613994263
videofeedback,LVDM,C0,C0,300,300,0.9143,0.9253609179682173
videofeedback,LVDM,C1,C1,300,300,0.9141555555555556,0.9230827900222229
videofeedback,LVDM,C2,C2,300,300,0.9179000000000003,0.9282261571478401
videofeedback,LaVie-base,C0,C0,300,300,0.8519277777777778,0.8569620010310194
videofeedback,LaVie-base,C1,C1,300,300,0.8497055555555555,0.8535812881983242
videofeedback,LaVie-base,C2,C2,300,300,0.8526055555555555,0.85702068611221
videofeedback,ModelScope,C0,C0,300,300,0.8430055555555556,0.8402053757893146
videofeedback,ModelScope,C1,C1,300,300,0.8414055555555556,0.8363010079443222
videofeedback,ModelScope,C2,C2,300,300,0.8467777777777779,0.8434459651241848
videofeedback,Pika,C0,C0,300,300,0.8657333333333334,0.887264425293447
videofeedback,Pika,C1,C1,300,300,0.8716277777777778,0.892085544209402
videofeedback,Pika,C2,C2,300,300,0.8680944444444445,0.8891401362193668
videofeedback,SoRA-Clip,C0,C0,300,300,0.80365,0.8040939487876853
videofeedback,SoRA-Clip,C1,C1,300,300,0.8042722222222222,0.8048991605100513
videofeedback,SoRA-Clip,C2,C2,300,300,0.8043555555555556,0.8059386096746035
videofeedback,Text2Video-Zero,C0,C0,300,300,0.7965722222222222,0.7791262279873197
videofeedback,Text2Video-Zero,C1,C1,300,300,0.78645,0.7704871488168377
videofeedback,Text2Video-Zero,C2,C2,300,300,0.8012055555555555,0.7819023126445156
videofeedback,VideoCrafter2,C0,C0,300,300,0.9475222222222223,0.9463831080275305
videofeedback,VideoCrafter2,C1,C1,300,300,0.9468222222222223,0.9461501480606318
videofeedback,VideoCrafter2,C2,C2,300,300,0.9439666666666667,0.9436086901859271
videofeedback,ZeroScope-576w,C0,C0,300,300,0.8065500000000001,0.8329721651308849
videofeedback,ZeroScope-576w,C1,C1,300,300,0.8224666666666667,0.8470427641895325
videofeedback,ZeroScope-576w,C2,C2,300,300,0.8196888888888889,0.8440684414408169
genvideo,Crafter,C0,C0,188,188,0.8228412177455863,0.7949817788691333
genvideo,Crafter,C1,C1,188,188,0.8128395201448618,0.7859373768257819
genvideo,Crafter,C2,C2,188,188,0.8125707333635128,0.7949042363038616
genvideo,Gen2,C0,C0,1380,1380,0.9401320625918925,0.9454426501253425
genvideo,Gen2,C1,C1,1380,1380,0.9381933942449064,0.9439845814690989
genvideo,Gen2,C2,C2,1380,1380,0.9278197857592944,0.9337621472575257
genvideo,Lavie,C0,C0,1400,1400,0.8672257653061223,0.8592361208181631
genvideo,Lavie,C1,C1,1400,1400,0.8571591836734693,0.8500875049887504
genvideo,Lavie,C2,C2,1400,1400,0.8576303571428571,0.8525094371022496
genvideo,ModelScope,C0,C0,700,700,0.8527632653061225,0.8539544776905588
genvideo,ModelScope,C1,C1,700,700,0.8477081632653061,0.8482685409576658
genvideo,ModelScope,C2,C2,700,700,0.8538979591836735,0.8534857617405158
genvideo,MorphStudio,C0,C0,700,700,0.8429642857142857,0.84699441168089
genvideo,MorphStudio,C1,C1,700,700,0.8339214285714286,0.8394808722562532
genvideo,MorphStudio,C2,C2,700,700,0.8428122448979593,0.8498206879548946
genvideo,Show_1,C0,C0,700,700,0.8621459183673468,0.8268539785175433
genvideo,Show_1,C1,C1,700,700,0.8548867346938775,0.8178990236164543
genvideo,Show_1,C2,C2,700,700,0.8486397959183672,0.8138293717804289
genvideo,Sora,C0,C0,56,56,0.8879145408163266,0.8843182860539148
genvideo,Sora,C1,C1,56,56,0.8837691326530612,0.8799692088734253
genvideo,Sora,C2,C2,56,56,0.8861607142857143,0.8694797294821613
genvideo,WildScrape,C0,C0,515,515,0.7768366481289471,0.7009744446668911
genvideo,WildScrape,C1,C1,515,515,0.7747308888679423,0.6993810586728786
genvideo,WildScrape,C2,C2,515,515,0.7755151286643417,0.7019803159361797
