fake_motion_group,dataset,config,config_name,n_generators,auc,ap
low,comgenvid,C0,C0,2,0.9215194865104837,0.9306963945290545
low,comgenvid,C1,C1,2,0.9233479744644124,0.9314230346392776
low,comgenvid,C2,C2,2,0.9127896811027723,0.9228907550063252
low,genvideo,C0,C0,8,0.9117744216884245,0.918280177088586
low,genvideo,C1,C1,8,0.9086524132913878,0.9158703548080808
low,genvideo,C2,C2,8,0.8976934150794509,0.9035807653578987
low,videofeedback,C0,C0,10,0.9290484122547161,0.9383044221460579
low,videofeedback,C1,C1,10,0.9329657033993275,0.9413930454690878
low,videofeedback,C2,C2,10,0.9301871697688803,0.9386248748893902
low,Macro-3,C0,C0,20,0.9207807734845415,0.9290936645878994
low,Macro-3,C1,C1,20,0.9216553637183759,0.9295621449721487
low,Macro-3,C2,C2,20,0.9135567553170345,0.9216987984178714
mid,comgenvid,C0,C0,2,0.8756635756538299,0.8893391092255967
mid,comgenvid,C1,C1,2,0.8719116786566623,0.8845370452238204
mid,comgenvid,C2,C2,2,0.869406225494257,0.8808552037400081
mid,genvideo,C0,C0,8,0.8380768218094182,0.8331787570172757
mid,genvideo,C1,C1,8,0.8332855484467753,0.8300624752430773
mid,genvideo,C2,C2,8,0.8360240087988864,0.8240098102711013
mid,videofeedback,C0,C0,10,0.8662456831754876,0.8928085694856147
mid,videofeedback,C1,C1,10,0.8690711540783369,0.8940265832839958
mid,videofeedback,C2,C2,10,0.8709346128058282,0.8948390549688334
mid,Macro-3,C0,C0,20,0.8599953602129119,0.8717754785761623
mid,Macro-3,C1,C1,20,0.8580894603939249,0.8695420345836311
mid,Macro-3,C2,C2,20,0.8587882823663238,0.8665680229933143
high,comgenvid,C0,C0,2,0.7732964381289973,0.7961775890889518
high,comgenvid,C1,C1,2,0.744823131690298,0.7712722154935712
high,comgenvid,C2,C2,2,0.7745023446370862,0.8044889671467937
high,genvideo,C0,C0,7,0.719844386728972,0.7008689897890195
high,genvideo,C1,C1,7,0.7095930104723437,0.693680395758497
high,genvideo,C2,C2,7,0.7434249633010769,0.7243207437918834
high,videofeedback,C0,C0,10,0.6688788493226066,0.7573449602188533
high,videofeedback,C1,C1,10,0.6669077167019044,0.7548374671889676
high,videofeedback,C2,C2,10,0.6738444418748075,0.7606963204626718
high,Macro-3,C0,C0,19,0.7206732247268586,0.7514638463656081
high,Macro-3,C1,C1,19,0.7071079529548486,0.7399300261470119
high,Macro-3,C2,C2,19,0.7305905832709901,0.763168677133783
