dataset,scope,comparison,new_config,base_config,metric,delta,ci95_low,ci95_high,bootstrap_iterations
comgenvid,generator_macro,U1-U0,U1,U0,auc,-0.003508477140490296,-0.005384359142563813,-0.001717726164552759,1000
comgenvid,generator_macro,U1-U0,U1,U0,ap,-0.0025177369479490452,-0.004061102705185916,-0.000970265167875126,1000
comgenvid,generator_macro,U2-U0,U2,U0,auc,-0.008982780343351371,-0.01152252779004081,-0.006517119520736489,1000
comgenvid,generator_macro,U2-U0,U2,U0,ap,-0.006589281578787354,-0.008847174137931802,-0.004406892057773369,1000
comgenvid,generator_macro,U3-U0,U3,U0,auc,-0.011214292091804967,-0.013806463633612905,-0.008956018013303518,1000
comgenvid,generator_macro,U3-U0,U3,U0,ap,-0.008029622033194295,-0.00994272810826943,-0.006241768852439252,1000
comgenvid,generator_macro,U4-U0,U4,U0,auc,-0.009499580855253598,-0.012126916223133891,-0.007091939958135162,1000
comgenvid,generator_macro,U4-U0,U4,U0,ap,-0.007095155090708294,-0.009187764273641347,-0.005103147022729013,1000
comgenvid,generator_macro,U5-U0,U5,U0,auc,-0.012901721717650194,-0.01590503178307654,-0.009760058233838046,1000
comgenvid,generator_macro,U5-U0,U5,U0,ap,-0.00964295830284162,-0.01203141462919396,-0.007039878421340778,1000
comgenvid,generator_macro,HistoricalTuned-U0,HistoricalTuned,U0,auc,-0.012901721717650194,-0.01610562912634359,-0.009837950332587596,1000
comgenvid,generator_macro,HistoricalTuned-U0,HistoricalTuned,U0,ap,-0.00964295830284162,-0.012240996105491076,-0.007121303421483115,1000
videofeedback,generator_macro,U1-U0,U1,U0,auc,-0.010181111111111096,-0.012540875000000049,-0.008038888888888839,1000
videofeedback,generator_macro,U1-U0,U1,U0,ap,-0.012242247267398532,-0.015093632887121351,-0.00928724622245393,1000
videofeedback,generator_macro,U2-U0,U2,U0,auc,-0.014108333333333334,-0.01714679166666666,-0.010972041666666661,1000
videofeedback,generator_macro,U2-U0,U2,U0,ap,-0.01895191102088125,-0.022476523627094555,-0.014618351265493545,1000
videofeedback,generator_macro,U3-U0,U3,U0,auc,-0.0007777777777777772,-0.0026374444444444032,0.0012678472222222325,1000
videofeedback,generator_macro,U3-U0,U3,U0,ap,-0.0010055806746785078,-0.0032423335192971036,0.0013213660029985552,1000
videofeedback,generator_macro,U4-U0,U4,U0,auc,-0.01043111111111109,-0.013067777777777734,-0.007721236111111073,1000
videofeedback,generator_macro,U4-U0,U4,U0,ap,-0.012002840360047862,-0.01502354386732482,-0.008481050286000023,1000
videofeedback,generator_macro,U5-U0,U5,U0,auc,-0.012530555555555578,-0.01548023611111115,-0.009138791666666646,1000
videofeedback,generator_macro,U5-U0,U5,U0,ap,-0.018053536199313845,-0.02184812655194625,-0.013192671371009981,1000
videofeedback,generator_macro,HistoricalTuned-U0,HistoricalTuned,U0,auc,0.0,0.0,0.0,1000
videofeedback,generator_macro,HistoricalTuned-U0,HistoricalTuned,U0,ap,0.0,0.0,0.0,1000
genvideo,generator_macro,U1-U0,U1,U0,auc,0.0035265333944882044,0.0014304884768618256,0.005430775963471831,1000
genvideo,generator_macro,U1-U0,U1,U0,ap,0.0019327704351597974,-0.0015152552553557366,0.005655741743807627,1000
genvideo,generator_macro,U2-U0,U2,U0,auc,0.0012214345883440614,-0.0017710117251163275,0.004295445698005688,1000
genvideo,generator_macro,U2-U0,U2,U0,ap,-0.0026467054836886994,-0.007515215469596579,0.002903778138178694,1000
