dataset,config,config_name,n_generators,auc,ap
comgenvid,HistoricalTuned,HistoricalTuned,2,0.8857359338495344,0.8995801839907221
comgenvid,U0,U0,2,0.8986376555671847,0.9092231422935637
comgenvid,U1,U1,2,0.8951291784266944,0.9067054053456147
comgenvid,U2,U2,2,0.8896548752238332,0.9026338607147764
comgenvid,U3,U3,2,0.8874233634753796,0.9011935202603695
comgenvid,U4,U4,2,0.8891380747119311,0.9021279872028555
comgenvid,U5,U5,2,0.8857359338495344,0.8995801839907221
genvideo,HistoricalTuned,HistoricalTuned,8,0.8601294963915669,0.8410272889879644
genvideo,U0,U0,8,0.8566029629970787,0.8390945185528046
genvideo,U1,U1,8,0.8601294963915669,0.8410272889879644
genvideo,U2,U2,8,0.8578243975854227,0.8364478130691159
genvideo,U3,U3,8,0.8414848916987614,0.8259185021204833
genvideo,U4,U4,8,0.841266732044577,0.8223994612717103
genvideo,U5,U5,8,0.8363261277047456,0.8157461664868899
videofeedback,HistoricalTuned,HistoricalTuned,10,0.8622572222222222,0.8684111477215204
videofeedback,U0,U0,10,0.8622572222222222,0.8684111477215204
videofeedback,U1,U1,10,0.8520761111111111,0.8561689004541219
videofeedback,U2,U2,10,0.8481488888888888,0.849459236700639
videofeedback,U3,U3,10,0.8614794444444444,0.8674055670468418
videofeedback,U4,U4,10,0.8518261111111112,0.8564083073614726
videofeedback,U5,U5,10,0.8497266666666666,0.8503576115222063
Macro-3,HistoricalTuned,HistoricalTuned,20,0.8693742174877745,0.8696728735667357
Macro-3,U0,U0,20,0.8724992802621618,0.8722429361892963
Macro-3,U1,U1,20,0.8691115953097909,0.867967198262567
Macro-3,U2,U2,20,0.8652093872327149,0.8628469701615105
Macro-3,U3,U3,20,0.8634625665395285,0.8648391964758982
Macro-3,U4,U4,20,0.8607436392892064,0.8603119186120128
Macro-3,U5,U5,20,0.8572629094069821,0.8552279873332728
