dataset,generator,config,base_config,delta_auc,delta_ap
comgenvid,Sora,HistoricalTuned,U0,-0.011143297900308213,-0.007331239345073959
comgenvid,Sora,U0,U0,0.0,0.0
comgenvid,Sora,U1,U0,-0.0021670279413297244,-0.000680057680072288
comgenvid,Sora,U2,U0,-0.007379675696053023,-0.004045120385389067
comgenvid,Sora,U3,U0,-0.010332290018402635,-0.006712072635731703
comgenvid,Sora,U4,U0,-0.006930769192613151,-0.0043520123106355335
comgenvid,Sora,U5,U0,-0.011143297900308213,-0.007331239345073959
comgenvid,VEO3,HistoricalTuned,U0,-0.014660145534992175,-0.011954677260609281
comgenvid,VEO3,U0,U0,0.0,0.0
comgenvid,VEO3,U1,U0,-0.004849926339650867,-0.0043554162158258025
comgenvid,VEO3,U2,U0,-0.010585884990649719,-0.00913344277218564
comgenvid,VEO3,U3,U0,-0.0120962941652073,-0.009347171430656886
comgenvid,VEO3,U4,U0,-0.012068392517894044,-0.009838297870781054
comgenvid,VEO3,U5,U0,-0.014660145534992175,-0.011954677260609281
genvideo,Crafter,HistoricalTuned,U0,0.0011600271616115654,-0.004851206235493177
genvideo,Crafter,U0,U0,0.0,0.0
genvideo,Crafter,U1,U0,0.0011600271616115654,-0.004851206235493177
genvideo,Crafter,U2,U0,-0.0016127206880941491,-0.017186562702126706
genvideo,Crafter,U3,U0,-0.019310208239022186,-0.00902969667932596
genvideo,Crafter,U4,U0,-0.01839067451335452,-0.017798378667852277
genvideo,Crafter,U5,U0,-0.02570450430058846,-0.03212007414946083
genvideo,Gen2,HistoricalTuned,U0,-0.0024367254778409064,-0.0031684159757218167
genvideo,Gen2,U0,U0,0.0,0.0
genvideo,Gen2,U1,U0,-0.0024367254778409064,-0.0031684159757218167
genvideo,Gen2,U2,U0,-0.00463426801092226,-0.005733037691726728
genvideo,Gen2,U3,U0,-0.01896817895400138,-0.017841739571085813
genvideo,Gen2,U4,U0,-0.022054452846040795,-0.02229916572383661
genvideo,Gen2,U5,U0,-0.022042375551354798,-0.02295574940913092
genvideo,Lavie,HistoricalTuned,U0,0.01747500000000024,0.01909071789099004
genvideo,Lavie,U0,U0,0.0,0.0
genvideo,Lavie,U1,U0,0.01747500000000024,0.01909071789099004
genvideo,Lavie,U2,U0,0.02057423469387787,0.02140213568965632
genvideo,Lavie,U3,U0,-0.00251326530612217,-0.002349944402062154
genvideo,Lavie,U4,U0,0.007282653061224775,0.009220151204524907
genvideo,Lavie,U5,U0,0.004904846938775798,0.007878966904411921
genvideo,ModelScope,HistoricalTuned,U0,0.001312244897959114,-0.0024127968980348635
genvideo,ModelScope,U0,U0,0.0,0.0
genvideo,ModelScope,U1,U0,0.001312244897959114,-0.0024127968980348635
genvideo,ModelScope,U2,U0,-0.007362244897959225,-0.014578519286547742
genvideo,ModelScope,U3,U0,-0.022506122448979538,-0.0268413565774428
genvideo,ModelScope,U4,U0,-0.025134693877551073,-0.03601952294382138
genvideo,ModelScope,U5,U0,-0.0373030612244899,-0.05198187359049866
genvideo,MorphStudio,HistoricalTuned,U0,0.003160204081632645,0.0009458621592493
genvideo,MorphStudio,U0,U0,0.0,0.0
genvideo,MorphStudio,U1,U0,0.003160204081632645,0.0009458621592493
genvideo,MorphStudio,U2,U0,0.0023683673469387934,-0.001142857662507879
genvideo,MorphStudio,U3,U0,-0.015295918367347006,-0.010135122378634231
genvideo,MorphStudio,U4,U0,-0.01882653061224482,-0.015088894122227692
genvideo,MorphStudio,U5,U0,-0.02700612244897982,-0.024124692399010272
genvideo,Show_1,HistoricalTuned,U0,0.013140816326530746,0.01614612297619411
genvideo,Show_1,U0,U0,0.0,0.0
genvideo,Show_1,U1,U0,0.013140816326530746,0.01614612297619411
genvideo,Show_1,U2,U0,0.015378571428571686,0.018527755489145314
genvideo,Show_1,U3,U0,-0.009875510204081395,-0.011019683070115471
genvideo,Show_1,U4,U0,-0.006545918367346748,-0.009882097691859437
genvideo,Show_1,U5,U0,-0.005421428571428466,-0.008444755465376153
genvideo,Sora,HistoricalTuned,U0,-0.0003188775510204467,0.0075304936332749595
genvideo,Sora,U0,U0,0.0,0.0
genvideo,Sora,U1,U0,-0.0003188775510204467,0.0075304936332749595
genvideo,Sora,U2,U0,-0.0014349489795918435,0.009290484969969204
genvideo,Sora,U3,U0,-0.015146683673469385,-0.006265389110509445
genvideo,Sora,U4,U0,-0.01562500000000011,-0.004301959497422736
genvideo,Sora,U5,U0,-0.018494897959183798,-0.0061277197606322
genvideo,WildScrape,HistoricalTuned,U0,-0.005280422282967323,-0.017818614069180172
genvideo,WildScrape,U0,U0,0.0,0.0
genvideo,WildScrape,U1,U0,-0.005280422282967323,-0.017818614069180172
genvideo,WildScrape,U2,U0,-0.01350551418606838,-0.03175304267537138
genvideo,WildScrape,U3,U0,-0.017328683193515104,-0.021925199669394546
genvideo,WildScrape,U4,U0,-0.023395230464699823,-0.03739059080625973
genvideo,WildScrape,U5,U0,-0.031147139221415765,-0.04891091865762032
videofeedback,AnimateDiff,HistoricalTuned,U0,0.0,0.0
videofeedback,AnimateDiff,U0,U0,0.0,0.0
videofeedback,AnimateDiff,U1,U0,-0.013022222222222157,-0.011214711410868494
videofeedback,AnimateDiff,U2,U0,-0.01103888888888882,-0.007515490285169735
videofeedback,AnimateDiff,U3,U0,-0.010849999999999915,-0.008997228599216922
videofeedback,AnimateDiff,U4,U0,-0.0175722222222221,-0.013565153162889088
videofeedback,AnimateDiff,U5,U0,-0.014227777777777617,-0.010204885280497678
videofeedback,Fast-SVD,HistoricalTuned,U0,0.0,0.0
videofeedback,Fast-SVD,U0,U0,0.0,0.0
videofeedback,Fast-SVD,U1,U0,-0.01158888888888876,-0.013196474054180896
videofeedback,Fast-SVD,U2,U0,-0.01732777777777772,-0.021728161268418034
videofeedback,Fast-SVD,U3,U0,-0.006727777777777555,-0.008173669616577728
videofeedback,Fast-SVD,U4,U0,-0.01736666666666653,-0.021850808803064337
videofeedback,Fast-SVD,U5,U0,-0.019383333333333308,-0.026551343941336403
videofeedback,LVDM,HistoricalTuned,U0,0.0,0.0
videofeedback,LVDM,U0,U0,0.0,0.0
videofeedback,LVDM,U1,U0,-0.017516666666666736,-0.01525730039743578
videofeedback,LVDM,U2,U0,-0.019211111111111068,-0.015252834059848008
videofeedback,LVDM,U3,U0,-0.006227777777777832,-0.003838673562521322
videofeedback,LVDM,U4,U0,-0.019394444444444492,-0.015269503604610213
videofeedback,LVDM,U5,U0,-0.02120555555555559,-0.01651297119815176
videofeedback,LaVie-base,HistoricalTuned,U0,0.0,0.0
videofeedback,LaVie-base,U0,U0,0.0,0.0
videofeedback,LaVie-base,U1,U0,-0.0023277777777777064,-0.001037769418487211
videofeedback,LaVie-base,U2,U0,-0.004188888888888798,-0.002753241242829718
videofeedback,LaVie-base,U3,U0,0.0018499999999999073,0.004835906191262396
videofeedback,LaVie-base,U4,U0,-0.0005444444444444585,0.004902539105424597
videofeedback,LaVie-base,U5,U0,-0.0029166666666667895,0.001017707320388972
videofeedback,ModelScope,HistoricalTuned,U0,0.0,0.0
videofeedback,ModelScope,U0,U0,0.0,0.0
videofeedback,ModelScope,U1,U0,-0.003072222222222143,0.002121667820730533
videofeedback,ModelScope,U2,U0,-0.009488888888888991,-0.007534597481362537
videofeedback,ModelScope,U3,U0,-0.0025500000000000522,-0.002119262387437093
videofeedback,ModelScope,U4,U0,-0.008449999999999847,-0.005161195577359168
videofeedback,ModelScope,U5,U0,-0.011900000000000133,-0.015084291202895561
videofeedback,Pika,HistoricalTuned,U0,0.0,0.0
videofeedback,Pika,U0,U0,0.0,0.0
videofeedback,Pika,U1,U0,-0.0178722222222224,-0.01680443699630174
videofeedback,Pika,U2,U0,-0.029622222222222216,-0.030876836484697745
videofeedback,Pika,U3,U0,-0.006916666666666571,-0.005758217706286928
videofeedback,Pika,U4,U0,-0.027083333333333348,-0.026058385781171367
videofeedback,Pika,U5,U0,-0.032366666666666544,-0.033663211268727844
videofeedback,SoRA-Clip,HistoricalTuned,U0,0.0,0.0
videofeedback,SoRA-Clip,U0,U0,0.0,0.0
videofeedback,SoRA-Clip,U1,U0,-0.0089444444444442,-0.015546482864349676
videofeedback,SoRA-Clip,U2,U0,-0.008600000000000052,-0.016242163112062502
videofeedback,SoRA-Clip,U3,U0,0.003777777777777769,0.002301011337270231
videofeedback,SoRA-Clip,U4,U0,-0.009711111111111004,-0.015707042291625117
videofeedback,SoRA-Clip,U5,U0,-0.010094444444444517,-0.02018713333222033
videofeedback,Text2Video-Zero,HistoricalTuned,U0,0.0,0.0
videofeedback,Text2Video-Zero,U0,U0,0.0,0.0
videofeedback,Text2Video-Zero,U1,U0,0.0013388888888887784,-0.024195975051358065
videofeedback,Text2Video-Zero,U2,U0,0.0021333333333333204,-0.036498039946522676
videofeedback,Text2Video-Zero,U3,U0,-0.002677777777777779,-0.00916616101091694
