dataset,generator,config,config_name,n_real,n_fake,auc,ap
comgenvid,Sora,U0,U0,898,898,0.8837635974027906,0.8963562528628664
comgenvid,Sora,U1,U1,898,898,0.8815965694614609,0.8956761951827941
comgenvid,Sora,U2,U2,898,898,0.8763839217067376,0.8923111324774773
comgenvid,Sora,U3,U3,898,898,0.873431307384388,0.8896441802271347
comgenvid,Sora,U4,U4,898,898,0.8768328282101775,0.8920042405522308
comgenvid,Sora,U5,U5,898,898,0.8726202995024824,0.8890250135177924
comgenvid,Sora,HistoricalTuned,HistoricalTuned,898,898,0.8726202995024824,0.8890250135177924
comgenvid,VEO3,U0,U0,898,898,0.9135117137315786,0.9220900317242612
comgenvid,VEO3,U1,U1,898,898,0.9086617873919277,0.9177346155084354
comgenvid,VEO3,U2,U2,898,898,0.9029258287409289,0.9129565889520755
comgenvid,VEO3,U3,U3,898,898,0.9014154195663713,0.9127428602936043
comgenvid,VEO3,U4,U4,898,898,0.9014433212136845,0.9122517338534801
comgenvid,VEO3,U5,U5,898,898,0.8988515681965864,0.9101353544636519
comgenvid,VEO3,HistoricalTuned,HistoricalTuned,898,898,0.8988515681965864,0.9101353544636519
videofeedback,AnimateDiff,U0,U0,300,300,0.8751944444444444,0.8867794648362821
videofeedback,AnimateDiff,U1,U1,300,300,0.8621722222222222,0.8755647534254136
videofeedback,AnimateDiff,U2,U2,300,300,0.8641555555555556,0.8792639745511124
videofeedback,AnimateDiff,U3,U3,300,300,0.8643444444444445,0.8777822362370652
videofeedback,AnimateDiff,U4,U4,300,300,0.8576222222222223,0.873214311673393
videofeedback,AnimateDiff,U5,U5,300,300,0.8609666666666668,0.8765745795557844
videofeedback,AnimateDiff,HistoricalTuned,HistoricalTuned,300,300,0.8751944444444444,0.8867794648362821
videofeedback,Fast-SVD,U0,U0,300,300,0.9181166666666666,0.9249638423635024
videofeedback,Fast-SVD,U1,U1,300,300,0.9065277777777778,0.9117673683093215
videofeedback,Fast-SVD,U2,U2,300,300,0.9007888888888889,0.9032356810950843
videofeedback,Fast-SVD,U3,U3,300,300,0.911388888888889,0.9167901727469246
videofeedback,Fast-SVD,U4,U4,300,300,0.90075,0.903113033560438
videofeedback,Fast-SVD,U5,U5,300,300,0.8987333333333333,0.898412498422166
videofeedback,Fast-SVD,HistoricalTuned,HistoricalTuned,300,300,0.9181166666666666,0.9249638423635024
videofeedback,LVDM,U0,U0,300,300,0.9143,0.9253609179682173
videofeedback,LVDM,U1,U1,300,300,0.8967833333333333,0.9101036175707815
videofeedback,LVDM,U2,U2,300,300,0.8950888888888889,0.9101080839083693
videofeedback,LVDM,U3,U3,300,300,0.9080722222222222,0.921522244405696
videofeedback,LVDM,U4,U4,300,300,0.8949055555555555,0.9100914143636071
videofeedback,LVDM,U5,U5,300,300,0.8930944444444444,0.9088479467700655
videofeedback,LVDM,HistoricalTuned,HistoricalTuned,300,300,0.9143,0.9253609179682173
videofeedback,LaVie-base,U0,U0,300,300,0.8519277777777778,0.8569620010310194
videofeedback,LaVie-base,U1,U1,300,300,0.8496000000000001,0.8559242316125322
videofeedback,LaVie-base,U2,U2,300,300,0.847738888888889,0.8542087597881897
videofeedback,LaVie-base,U3,U3,300,300,0.8537777777777777,0.8617979072222818
videofeedback,LaVie-base,U4,U4,300,300,0.8513833333333334,0.861864540136444
videofeedback,LaVie-base,U5,U5,300,300,0.849011111111111,0.8579797083514084
videofeedback,LaVie-base,HistoricalTuned,HistoricalTuned,300,300,0.8519277777777778,0.8569620010310194
videofeedback,ModelScope,U0,U0,300,300,0.8430055555555556,0.8402053757893146
videofeedback,ModelScope,U1,U1,300,300,0.8399333333333334,0.8423270436100452
videofeedback,ModelScope,U2,U2,300,300,0.8335166666666666,0.8326707783079521
videofeedback,ModelScope,U3,U3,300,300,0.8404555555555555,0.8380861134018776
videofeedback,ModelScope,U4,U4,300,300,0.8345555555555557,0.8350441802119555
videofeedback,ModelScope,U5,U5,300,300,0.8311055555555554,0.8251210845864191
videofeedback,ModelScope,HistoricalTuned,HistoricalTuned,300,300,0.8430055555555556,0.8402053757893146
videofeedback,Pika,U0,U0,300,300,0.8657333333333334,0.887264425293447
videofeedback,Pika,U1,U1,300,300,0.847861111111111,0.8704599882971452
videofeedback,Pika,U2,U2,300,300,0.8361111111111111,0.8563875888087492
videofeedback,Pika,U3,U3,300,300,0.8588166666666668,0.88150620758716
videofeedback,Pika,U4,U4,300,300,0.83865,0.8612060395122756
videofeedback,Pika,U5,U5,300,300,0.8333666666666668,0.8536012140247191
videofeedback,Pika,HistoricalTuned,HistoricalTuned,300,300,0.8657333333333334,0.887264425293447
videofeedback,SoRA-Clip,U0,U0,300,300,0.80365,0.8040939487876853
videofeedback,SoRA-Clip,U1,U1,300,300,0.7947055555555558,0.7885474659233356
videofeedback,SoRA-Clip,U2,U2,300,300,0.7950499999999999,0.7878517856756228
videofeedback,SoRA-Clip,U3,U3,300,300,0.8074277777777777,0.8063949601249555
