Generative Model,n_real,n_annotated,n_total,patch_final_score AUC,patch_final_score AP
AnimateDiff,1398.0,1398.0,2796.0,0.7578123560942364,0.7668537216331122
Fast-SVD,1000.0,1000.0,2000.0,0.8389384999999999,0.8633944398143393
LVDM,3172.0,3172.0,6344.0,0.8204653462118886,0.8419101248818481
LaVie-base,3214.0,3214.0,6428.0,0.7787175564744937,0.7790473220305572
ModelScope,4080.0,4080.0,8160.0,0.8074644667916187,0.814825445752671
Pika,4080.0,4080.0,8160.0,0.8326829825067281,0.8579560897363314
SoRA-Clip,920.0,920.0,1840.0,0.7868336483931948,0.7920686423552812
Text2Video-Zero,4080.0,4080.0,8160.0,0.6324656682525952,0.6298230484917899
VideoCrafter2,4080.0,4080.0,8160.0,0.841189085928489,0.8716351755532463
ZeroScope-576w,2178.0,2178.0,4356.0,0.8384265267247987,0.8495482549683632
Average,2820.2,2820.2,5640.4,0.7934996137378044,0.8067062265217538
