dataset,duration_sec,subset,source_model,indexed_videos,compact_patch_cache,cache_coverage
comgenvid,1,annotated,Sora,1700,0,0.0
comgenvid,1,annotated,VEO3,1700,0,0.0
comgenvid,1,real,MSVD,1700,0,0.0
comgenvid,2,annotated,Sora,1700,1700,1.0
comgenvid,2,annotated,VEO3,1700,1700,1.0
comgenvid,2,real,MSVD,1698,1698,1.0
comgenvid,3,annotated,Sora,1700,0,0.0
comgenvid,3,annotated,VEO3,1700,0,0.0
comgenvid,3,real,MSVD,1693,0,0.0
comgenvid,4,annotated,Sora,1700,0,0.0
comgenvid,4,annotated,VEO3,1700,0,0.0
comgenvid,4,real,MSVD,1639,0,0.0
genvideo,1,annotated,Crafter,1398,0,0.0
genvideo,1,annotated,Gen2,1380,0,0.0
genvideo,1,annotated,HotShot,700,0,0.0
genvideo,1,annotated,Lavie,1400,0,0.0
genvideo,1,annotated,ModelScope,700,0,0.0
genvideo,1,annotated,MoonValley,626,0,0.0
genvideo,1,annotated,MorphStudio,700,0,0.0
genvideo,1,annotated,Show_1,700,0,0.0
genvideo,1,annotated,Sora,56,0,0.0
genvideo,1,annotated,WildScrape,544,0,0.0
genvideo,1,real,MSR-VTT,9984,0,0.0
genvideo,2,annotated,Crafter,188,188,1.0
genvideo,2,annotated,Gen2,1380,1380,1.0
genvideo,2,annotated,Lavie,1400,1400,1.0
genvideo,2,annotated,ModelScope,700,700,1.0
genvideo,2,annotated,MorphStudio,700,700,1.0
genvideo,2,annotated,Show_1,700,700,1.0
genvideo,2,annotated,Sora,56,56,1.0
genvideo,2,annotated,WildScrape,515,515,1.0
genvideo,2,real,MSR-VTT,9984,9984,1.0
genvideo,3,annotated,Gen2,1380,0,0.0
genvideo,3,annotated,ModelScope,700,0,0.0
genvideo,3,annotated,Show_1,700,0,0.0
genvideo,3,annotated,Sora,56,0,0.0
genvideo,3,annotated,WildScrape,273,0,0.0
genvideo,3,real,MSR-VTT,9984,0,0.0
genvideo,4,annotated,Gen2,1380,0,0.0
genvideo,4,annotated,ModelScope,700,0,0.0
genvideo,4,annotated,Sora,56,0,0.0
genvideo,4,annotated,WildScrape,205,0,0.0
genvideo,4,real,MSR-VTT,9984,0,0.0
videofeedback,1,annotated,AnimateDiff,1399,0,0.0
videofeedback,1,annotated,Fast-SVD,1000,0,0.0
videofeedback,1,annotated,Hotshot-XL,3251,3251,1.0
videofeedback,1,annotated,LVDM,3172,0,0.0
videofeedback,1,annotated,LaVie-base,3214,0,0.0
videofeedback,1,annotated,ModelScope,4565,0,0.0
videofeedback,1,annotated,Pika,4644,0,0.0
videofeedback,1,annotated,SoRA-Clip,920,0,0.0
videofeedback,1,annotated,Text2Video-Zero,4642,0,0.0
videofeedback,1,annotated,VideoCrafter2,4596,0,0.0
videofeedback,1,annotated,ZeroScope-576w,2178,0,0.0
videofeedback,1,real,DiDeMo,1861,0,0.0
videofeedback,1,real,Panda70M,2219,0,0.0
videofeedback,2,annotated,AnimateDiff,1399,1399,1.0
videofeedback,2,annotated,Fast-SVD,1000,1000,1.0
videofeedback,2,annotated,LVDM,3172,3172,1.0
videofeedback,2,annotated,LaVie-base,3214,3214,1.0
videofeedback,2,annotated,ModelScope,4565,4565,1.0
videofeedback,2,annotated,Pika,4644,4644,1.0
videofeedback,2,annotated,SoRA-Clip,920,920,1.0
videofeedback,2,annotated,Text2Video-Zero,4642,4642,1.0
videofeedback,2,annotated,VideoCrafter2,4596,4596,1.0
videofeedback,2,annotated,ZeroScope-576w,2178,2178,1.0
videofeedback,2,real,DiDeMo,1861,1861,1.0
videofeedback,2,real,Panda70M,2219,2219,1.0
videofeedback,3,annotated,Fast-SVD,1000,0,0.0
videofeedback,3,annotated,Pika,4644,0,0.0
videofeedback,3,annotated,SoRA-Clip,444,0,0.0
videofeedback,3,annotated,ZeroScope-576w,2178,0,0.0
videofeedback,3,real,DiDeMo,1861,0,0.0
videofeedback,3,real,Panda70M,842,0,0.0
