dataset,duration_sec,real_indexed,fake_indexed,real_cached,fake_cached,real_sources,fake_sources,direct_patch_eval_ready,note
comgenvid,1,1700,3400,0,0,1,2,False,index 有窗口但缺 compact patch cache；需先 prefill 对应 duration cache。
comgenvid,2,1698,3400,1698,3400,1,2,True,已有真实与生成 compact patch cache，可直接创建该 duration 的 patch params 并评测。
comgenvid,3,1693,3400,0,0,1,2,False,index 有窗口但缺 compact patch cache；需先 prefill 对应 duration cache。
comgenvid,4,1639,3400,0,0,1,2,False,index 有窗口但缺 compact patch cache；需先 prefill 对应 duration cache。
genvideo,1,9984,8204,0,0,1,10,False,index 有窗口但缺 compact patch cache；需先 prefill 对应 duration cache。
genvideo,2,9984,5639,9984,5639,1,8,True,已有真实与生成 compact patch cache，可直接创建该 duration 的 patch params 并评测。
genvideo,3,9984,3109,0,0,1,5,False,index 有窗口但缺 compact patch cache；需先 prefill 对应 duration cache。
genvideo,4,9984,2341,0,0,1,4,False,index 有窗口但缺 compact patch cache；需先 prefill 对应 duration cache。
videofeedback,1,4080,33581,0,3251,2,11,False,只有生成 cache，缺真实 cache，不能做真实视频校准。
videofeedback,2,4080,30330,4080,30330,2,10,True,已有真实与生成 compact patch cache，可直接创建该 duration 的 patch params 并评测。
videofeedback,3,2703,8266,0,0,2,4,False,index 有窗口但缺 compact patch cache；需先 prefill 对应 duration cache。
videofeedback,4,0,0,0,0,0,0,False,index 无该时长窗口；需重新定义窗口或更换数据。
