dataset,paper_priority,risk_type,category,subset,source_model,filename,video_path,duration_seconds,fps,num_frames,has_2s_window,global_score,patch_score,alpha_score,alpha_minus_global_score,patch_minus_global_score,alpha_minus_patch_score,generator_ci_class,generator_delta_auc_mean,generator_delta_auc_ci_low,generator_delta_auc_ci_high,macro_delta_auc_mean,macro_delta_auc_ci_low,macro_delta_auc_ci_high,recommended_use
comgenvid,P0,real_false_positive_risk,real_alpha_low,real,MSVD,P6eo3LULuuc_1_11.mp4,STALL/datasets/comgenvid/real/MSVD/P6eo3LULuuc_1_11.mp4,10.04,25.0,251.0,True,0.0061661172592418,0.0342167243361473,0.017386360090004,0.0112202428307622,0.0280506070769055,-0.0168303642461433,no_generator_ci,,,,0.0668755029411764,0.0617714900519031,0.071396221885813,failure figure: real-video false-positive / recall boundary
comgenvid,P0,real_false_positive_risk,real_alpha_low,real,MSVD,Li3umATsU0E_1_5.mp4,STALL/datasets/comgenvid/real/MSVD/Li3umATsU0E_1_5.mp4,2.936267,29.97002997002997,88.0,True,0.0074758653166941,0.034628976136446,0.0183371096445948,0.0108612443279006,0.0271531108197519,-0.0162918664918512,no_generator_ci,,,,0.0668755029411764,0.0617714900519031,0.071396221885813,failure figure: real-video false-positive / recall boundary
comgenvid,P0,real_false_positive_risk,real_alpha_low,real,MSVD,gHyXstpe_N8_95_100.mp4,STALL/datasets/comgenvid/real/MSVD/gHyXstpe_N8_95_100.mp4,5.005,29.97002997002997,150.0,True,0.0098304685660466,0.0333333350718021,0.0192316151683488,0.0094011466023022,0.0235028665057554,-0.0141017199034532,no_generator_ci,,,,0.0668755029411764,0.0617714900519031,0.071396221885813,failure figure: real-video false-positive / recall boundary
comgenvid,P0,real_false_positive_risk,real_alpha_low,real,MSVD,a1Y73sPHKxw_0_5.mp4,STALL/datasets/comgenvid/real/MSVD/a1Y73sPHKxw_0_5.mp4,5.04,25.0,126.0,True,0.0062985636920178,0.029740871861577,0.0156754869598414,0.0093769232678235,0.0234423081695592,-0.0140653849017356,no_generator_ci,,,,0.0668755029411764,0.0617714900519031,0.071396221885813,failure figure: real-video false-positive / recall boundary
comgenvid,P0,real_false_positive_risk,real_alpha_low,real,MSVD,D1tTBncIsm8_248_254.mp4,STALL/datasets/comgenvid/real/MSVD/D1tTBncIsm8_248_254.mp4,6.04,25.0,151.0,True,0.0077260419119378,0.0249116607010364,0.0146002894275772,0.0068742475156394,0.0171856187890986,-0.0103113712734592,no_generator_ci,,,,0.0668755029411764,0.0617714900519031,0.071396221885813,failure figure: real-video false-positive / recall boundary
comgenvid,P0,real_false_positive_risk,real_alpha_low,real,MSVD,5W02895vT8c_312_322.mp4,STALL/datasets/comgenvid/real/MSVD/5W02895vT8c_312_322.mp4,10.04,25.0,251.0,True,0.0219861078408288,0.0078916372731328,0.0163483196137504,-0.0056377882270783,-0.014094470567696,0.0084566823406176,no_generator_ci,,,,0.0668755029411764,0.0617714900519031,0.071396221885813,failure figure: real-video false-positive / recall boundary
comgenvid,P0,real_false_positive_risk,real_alpha_low,real,MSVD,sFExO_PW22s_10_18.mp4,STALL/datasets/comgenvid/real/MSVD/sFExO_PW22s_10_18.mp4,8.008,29.97002997002997,240.0,True,0.0121556392747821,0.0206124857068061,0.0155383778475916,0.0033827385728095,0.008456846432024,-0.0050741078592144,no_generator_ci,,,,0.0668755029411764,0.0617714900519031,0.071396221885813,failure figure: real-video false-positive / recall boundary
comgenvid,P0,real_false_positive_risk,real_alpha_low,real,MSVD,ZbzDGXEwtGc_6_15.mp4,STALL/datasets/comgenvid/real/MSVD/ZbzDGXEwtGc_6_15.mp4,9.02507,29.916666666666668,270.0,True,0.0086678832116788,0.0011189634678885,0.0056483153141626,-0.0030195678975162,-0.0075489197437903,0.004529351846274,no_generator_ci,,,,0.0668755029411764,0.0617714900519031,0.071396221885813,failure figure: real-video false-positive / recall boundary
comgenvid,P0,real_false_positive_risk,real_alpha_low,real,MSVD,Z19zFlPah-o_6_11.mp4,STALL/datasets/comgenvid/real/MSVD/Z19zFlPah-o_6_11.mp4,5.04,25.0,126.0,True,0.0024134683305862,0.009069493971765,0.0050758785870577,0.0026624102564715,0.0066560256411788,-0.0039936153847073,no_generator_ci,,,,0.0668755029411764,0.0617714900519031,0.071396221885813,failure figure: real-video false-positive / recall boundary
comgenvid,P0,real_false_positive_risk,real_alpha_low,real,MSVD,6JnGBs88sL0_4_10.mp4,STALL/datasets/comgenvid/real/MSVD/6JnGBs88sL0_4_10.mp4,6.006,23.976023976023978,144.0,True,0.0120084765716976,0.0067726736888289,0.0099141554185501,-0.0020943211531474,-0.0052358028828686,0.0031414817297212,no_generator_ci,,,,0.0668755029411764,0.0617714900519031,0.071396221885813,failure figure: real-video false-positive / recall boundary
