dataset,paper_priority,risk_type,generator_ci_class,n_cases
comgenvid,P0,real_false_positive_risk,no_generator_ci,15
comgenvid,P1,generated_false_real_risk,stable_positive_transfer,20
comgenvid,P1,patch_global_conflict,stable_positive_transfer,20
comgenvid,P1,real_recall_degradation_risk,no_generator_ci,20
comgenvid,P1,residual_generated_hard_case,stable_positive_transfer,7
comgenvid,P2,real_false_positive_risk,no_generator_ci,5
comgenvid,P2,residual_generated_hard_case,stable_positive_transfer,13
genvideo,P0,real_false_positive_risk,no_generator_ci,20
genvideo,P1,generated_false_real_risk,boundary_ci_crosses_zero,17
genvideo,P1,generated_false_real_risk,stable_positive_transfer,3
genvideo,P1,patch_global_conflict,boundary_ci_crosses_zero,17
genvideo,P1,patch_global_conflict,stable_positive_transfer,3
genvideo,P1,real_recall_degradation_risk,no_generator_ci,20
genvideo,P1,residual_generated_hard_case,boundary_ci_crosses_zero,1
genvideo,P1,residual_generated_hard_case,stable_positive_transfer,2
genvideo,P2,residual_generated_hard_case,stable_positive_transfer,17
videofeedback,P0,generated_false_real_risk,stable_negative_transfer,8
videofeedback,P0,patch_global_conflict,stable_negative_transfer,8
videofeedback,P0,real_false_positive_risk,no_generator_ci,20
videofeedback,P0,residual_generated_hard_case,stable_negative_transfer,15
videofeedback,P1,generated_false_real_risk,boundary_ci_crosses_zero,9
videofeedback,P1,generated_false_real_risk,stable_positive_transfer,3
videofeedback,P1,patch_global_conflict,boundary_ci_crosses_zero,9
videofeedback,P1,patch_global_conflict,stable_positive_transfer,3
videofeedback,P1,real_recall_degradation_risk,no_generator_ci,20
videofeedback,P1,residual_generated_hard_case,boundary_ci_crosses_zero,1
videofeedback,P1,residual_generated_hard_case,stable_positive_transfer,1
videofeedback,P2,residual_generated_hard_case,stable_positive_transfer,3
