representation,position,n_rows,mean_ll,std_ll,mean_norm2_per_dim,mean_abs_coord_mean
patch_token,0,234,-479.3802672796047,146.31256171891727,0.9372048236160404,0.11804988980293274
patch_token,1,259,-468.2226122220107,150.15965101911144,0.9153912262404901,0.0948091372847557
patch_token,2,224,-480.77046879392594,150.8211167510737,0.9399227151396401,0.09991493821144104
patch_token,3,231,-494.23578433256876,155.49152762439707,0.9662478677078569,0.0902615413069725
patch_token,4,250,-471.31725222423694,128.85879808749036,0.9214413533220664,0.08797699213027954
patch_token,5,292,-507.9505355753756,156.11328088002685,0.9930606756116829,0.0888793021440506
patch_token,6,246,-501.8549322356472,139.2857304317788,0.9811435625330346,0.09699342399835587
patch_token,7,239,-495.53829056166927,150.19547836744124,0.9687943119485225,0.09500526636838913
patch_token,8,255,-501.2939056993832,143.01669291462363,0.9800467364601825,0.09226556867361069
patch_token,9,261,-493.2489138361119,129.90386494852154,0.964318502123386,0.09061644226312637
patch_token,10,250,-490.28434805854965,139.68492985345455,0.95852267460127,0.09707162529230118
patch_token,11,274,-469.97927199013793,129.00509355888175,0.9188255561879529,0.09555559605360031
patch_token,12,241,-457.2150948211057,118.64151767395064,0.8938711531204413,0.09810904413461685
patch_token,13,259,-488.47677073424575,121.88870320496895,0.9549887990894345,0.11836016178131104
patch_token,14,257,-463.3637952798087,139.00231168015233,0.9058920728833015,0.09547460079193115
patch_token,15,271,-450.0562258439178,140.10284163670678,0.8798753193429478,0.08557318150997162
patch_token,16,247,-463.52446516366297,135.68077457118716,0.9062061880032513,0.08243173360824585
patch_token,17,245,-483.73559408971687,158.04336299620658,0.9457196365390359,0.08444864302873611
patch_token,18,254,-472.2857065830178,151.86988843968678,0.9233347147273075,0.08241400122642517
patch_token,19,250,-504.8904041602263,154.5026684239087,0.9870780139984875,0.08676691353321075
patch_token,20,238,-504.99097241061736,154.43703291911947,0.9872746283687533,0.08542495220899582
patch_token,21,220,-495.8644504760235,144.7689951222866,0.9694319657400262,0.08499880880117416
patch_token,22,255,-492.1597669543275,153.39834203621692,0.9621891827064076,0.07915249466896057
patch_token,23,238,-481.89655778035507,144.9263264712945,0.942124257635103,0.08482874929904938
patch_token,24,237,-470.7986374956494,148.4473553159908,0.9204274437842609,0.08104348927736282
patch_token,25,243,-452.8411958489574,138.29152345109668,0.8853200309852539,0.08185029029846191
patch_token,26,227,-462.46090918953564,134.00153506715975,0.9041268996862867,0.08703531324863434
patch_token,27,267,-464.9424245663783,131.59389348259052,0.9089783471483445,0.09778052568435669
patch_token,28,252,-454.17243328321854,129.48328397872694,0.8879226457149922,0.08829484134912491
patch_token,29,260,-474.0808148849405,142.78212630401532,0.9268442128737838,0.08010155707597733
patch_token,30,237,-474.3174640098523,154.2972713965173,0.9273068700094864,0.08139561861753464
patch_token,31,253,-484.3096996735904,139.55975139218197,0.9468420325974398,0.08168517053127289
patch_token,32,251,-494.41336421730506,171.72291570469434,0.9665950424580745,0.081648088991642
patch_token,33,263,-528.5574870105942,164.61261054995634,1.0333479706951987,0.08058569580316544
patch_token,34,260,-529.8075798243483,169.9744154760923,1.035791944915637,0.0845898911356926
patch_token,35,287,-546.109515998679,167.65260790644763,1.0676627878762053,0.0798625499010086
patch_token,36,254,-521.3664339494171,165.1222998087482,1.0192892159323894,0.07928968220949173
patch_token,37,266,-492.8378617075508,150.6043122434082,0.963514881148682,0.07680325955152512
patch_token,38,256,-464.0403158959482,140.09818313716426,0.9072146938337209,0.08225829899311066
patch_token,39,233,-468.39973233313526,143.05699823084151,0.9157375021175665,0.07995385676622391
patch_token,40,273,-480.6378708341445,158.53534715459702,0.9396634815916806,0.08688978105783463
patch_token,41,271,-466.4709733954664,139.426860077579,0.9119667124056039,0.09196242690086365
patch_token,42,255,-471.22226730073555,161.72948780437235,0.9212556545468926,0.0905456393957138
patch_token,43,253,-461.9966991701153,146.51961966091065,0.9032193532162566,0.07659699022769928
patch_token,44,248,-457.43564533495055,136.9049680782248,0.8943023369207244,0.08244119584560394
patch_token,45,254,-501.72254150674854,166.22331064074208,0.9808847341285406,0.07748223841190338
patch_token,46,273,-519.8640891612936,150.98332423723815,1.016352080471737,0.07794657349586487
patch_token,47,245,-552.1975965180926,178.1167461766684,1.0795651935837587,0.0813014954328537
patch_token,48,252,-540.4477370107772,179.21964165728338,1.0565938162478539,0.08442187309265137
patch_token,49,234,-548.5819649859399,161.8622412308802,1.0724965102364417,0.08177247643470764
patch_token,50,230,-524.4998198091067,144.23990968745326,1.0254150924909224,0.0822560265660286
patch_token,51,237,-513.8007401298404,157.3335563196049,1.0044980256692873,0.07915735989809036
patch_token,52,229,-481.7616013292472,143.34432870629848,0.9418604131559085,0.0739457830786705
patch_token,53,264,-472.362466605783,134.51059898936742,0.9234847831980117,0.07582852989435196
patch_token,54,242,-468.47735506236097,144.2052039854923,0.915889257208917,0.08757814019918442
patch_token,55,253,-472.85905363391294,137.58264597489338,0.9244556278277868,0.093894824385643
patch_token,56,260,-480.1132737781501,172.93968901589471,0.9386378763991204,0.09124809503555298
patch_token,57,257,-480.18773003471296,148.48594777114735,0.93878344092808,0.0836208164691925
patch_token,58,247,-481.7900375747982,146.5998565352284,0.9419160069888526,0.07917743921279907
patch_token,59,261,-505.8141156280388,156.14895900668012,0.9888839015210924,0.07518523186445236
patch_token,60,274,-537.1751601444612,153.3494038038728,1.0501958165092107,0.07982499152421951
patch_token,61,266,-560.6866705599476,176.2135304657629,1.0961616237731135,0.08162348717451096
patch_token,62,246,-602.8137021861663,225.7192593934778,1.1785214118986636,0.08035463094711304
patch_token,63,262,-589.2296667998957,183.8559799478375,1.1519641579665603,0.0800115242600441
patch_token,64,247,-563.4727444643027,171.2232231990102,1.1016084935763493,0.07915601879358292
