Generative Model,n_real,n_annotated,n_total,patch_final_score AUC,patch_final_score AP
AnimateDiff,1398.0,1398.0,2796.0,0.8225054799314779,0.8222708019565236
Fast-SVD,1000.0,1000.0,2000.0,0.8712810000000001,0.8964678371589683
LVDM,3172.0,3172.0,6344.0,0.8629829060712509,0.870278542561143
LaVie-base,3214.0,3214.0,6428.0,0.7812308200471723,0.7784989276901253
ModelScope,4080.0,4080.0,8160.0,0.8366678080545944,0.8394379455467023
Pika,4080.0,4080.0,8160.0,0.872441849288735,0.892520338052864
SoRA-Clip,920.0,920.0,1840.0,0.7886879725897921,0.7815624716263159
Text2Video-Zero,4080.0,4080.0,8160.0,0.6635894247404844,0.67431457425798
VideoCrafter2,4080.0,4080.0,8160.0,0.8493480272010766,0.8681940452493617
ZeroScope-576w,2178.0,2178.0,4356.0,0.8795689173224861,0.8788994090464268
Average,2820.2,2820.2,5640.4,0.822830420524707,0.8302444893146411
