group_type,dataset,subset,measure,n,mean,median,q10,q90,source_model,fixed_error_type,motion_group,effective_k_group,duration_group
dataset_subset,comgenvid,annotated,rho_mean,3400,0.059489225044243914,0.05104579714437326,0.0329225887854894,0.09506542409459749,,,,,
dataset_subset,comgenvid,annotated,rho_median,3400,0.05122727969223086,0.04322029774387678,0.025538030390938125,0.08402787509063879,,,,,
dataset_subset,comgenvid,annotated,mean_motion_magnitude,3400,3.739624199022849,3.4638253450393677,1.782244332631429,6.004601923624675,,,,,
dataset_subset,comgenvid,annotated,mean_common_magnitude,3400,1.0092278915205422,0.8968502382437388,0.4562864363193512,1.6598103483517963,,,,,
dataset_subset,comgenvid,annotated,raw_d2_score,3400,0.0023759803740197984,0.0,0.0,0.0049999998882412,,,,,
dataset_subset,comgenvid,annotated,residual_d2_score,3400,0.01141323532626106,0.0,0.0,0.029999999981373548,,,,,
dataset_subset,comgenvid,annotated,R0,3400,0.07482676470588236,0.041,0.002,0.21100000000000002,,,,,
dataset_subset,comgenvid,annotated,R1,3400,0.08129264705882353,0.04300000000000001,0.002,0.2250999999999999,,,,,
dataset_subset,comgenvid,annotated,R1_minus_R0,3400,0.006465882352941177,0.0,0.0,0.020000000000000004,,,,,
dataset_subset,comgenvid,real,rho_mean,898,0.08969046009750103,0.07780131200949351,0.047142782558997474,0.15337759579221408,,,,,
dataset_subset,comgenvid,real,rho_median,898,0.08169456534281253,0.06947346217930317,0.039035904904206595,0.14439064636826518,,,,,
dataset_subset,comgenvid,real,mean_motion_magnitude,898,5.636281972926639,5.439538876215617,2.9020409186681113,8.610254923502604,,,,,
dataset_subset,comgenvid,real,mean_common_magnitude,898,1.7810653693830207,1.6234244108200073,0.8071559578180313,2.9112488428751626,,,,,
dataset_subset,comgenvid,real,raw_d2_score,898,0.1065274683831905,0.01833333338921265,0.0,0.4019999981857841,,,,,
dataset_subset,comgenvid,real,residual_d2_score,898,0.15802152875642156,0.0466666662444671,0.0,0.555999997754892,,,,,
dataset_subset,comgenvid,real,R0,898,0.3832694877505568,0.3745,0.04900000000000001,0.7253000000000002,,,,,
dataset_subset,comgenvid,real,R1,898,0.39752115812917593,0.393,0.0517,0.743,,,,,
