dataset,generator,config,config_name,n_real,n_fake,auc,ap
comgenvid,Sora,R0,Frozen K=3 MW2 raw D2,898,898,0.8726202995024824,0.8890250135177924
comgenvid,Sora,R1,K=3 MW2 spatial-mean residual D2,898,898,0.8699206601157732,0.8831236541774863
comgenvid,VEO3,R0,Frozen K=3 MW2 raw D2,898,898,0.8988515681965864,0.9101353544636519
comgenvid,VEO3,R1,K=3 MW2 spatial-mean residual D2,898,898,0.8972934162032926,0.9076305385942801
videofeedback,AnimateDiff,R0,Frozen K=3 MW2 raw D2,300,300,0.8751944444444444,0.8867794648362821
videofeedback,AnimateDiff,R1,K=3 MW2 spatial-mean residual D2,300,300,0.8693444444444445,0.8787194428064478
videofeedback,Fast-SVD,R0,Frozen K=3 MW2 raw D2,300,300,0.9181166666666666,0.9249638423635024
videofeedback,Fast-SVD,R1,K=3 MW2 spatial-mean residual D2,300,300,0.9204666666666665,0.9264467910441472
videofeedback,LVDM,R0,Frozen K=3 MW2 raw D2,300,300,0.9143,0.9253609179682173
videofeedback,LVDM,R1,K=3 MW2 spatial-mean residual D2,300,300,0.9009055555555556,0.9094723934394884
videofeedback,LaVie-base,R0,Frozen K=3 MW2 raw D2,300,300,0.8519277777777778,0.8569620010310194
videofeedback,LaVie-base,R1,K=3 MW2 spatial-mean residual D2,300,300,0.8305111111111111,0.8358885761837742
videofeedback,ModelScope,R0,Frozen K=3 MW2 raw D2,300,300,0.8430055555555556,0.8402053757893146
videofeedback,ModelScope,R1,K=3 MW2 spatial-mean residual D2,300,300,0.8241666666666667,0.8149310954510147
videofeedback,Pika,R0,Frozen K=3 MW2 raw D2,300,300,0.8657333333333334,0.887264425293447
videofeedback,Pika,R1,K=3 MW2 spatial-mean residual D2,300,300,0.868038888888889,0.8873135439209575
videofeedback,SoRA-Clip,R0,Frozen K=3 MW2 raw D2,300,300,0.80365,0.8040939487876853
videofeedback,SoRA-Clip,R1,K=3 MW2 spatial-mean residual D2,300,300,0.7936722222222221,0.7870600664794976
videofeedback,Text2Video-Zero,R0,Frozen K=3 MW2 raw D2,300,300,0.7965722222222222,0.7791262279873197
videofeedback,Text2Video-Zero,R1,K=3 MW2 spatial-mean residual D2,300,300,0.7406333333333334,0.731036601025433
videofeedback,VideoCrafter2,R0,Frozen K=3 MW2 raw D2,300,300,0.9475222222222223,0.9463831080275305
videofeedback,VideoCrafter2,R1,K=3 MW2 spatial-mean residual D2,300,300,0.9413611111111111,0.9399063617427659
videofeedback,ZeroScope-576w,R0,Frozen K=3 MW2 raw D2,300,300,0.8065500000000001,0.8329721651308849
videofeedback,ZeroScope-576w,R1,K=3 MW2 spatial-mean residual D2,300,300,0.8057888888888889,0.8261505368323414
genvideo,Crafter,R0,Frozen K=3 MW2 raw D2,188,188,0.8240012449071978,0.7901305726336402
genvideo,Crafter,R1,K=3 MW2 spatial-mean residual D2,188,188,0.810844839293798,0.7732119407431701
genvideo,Gen2,R0,Frozen K=3 MW2 raw D2,1380,1380,0.9376953371140516,0.9422742341496206
genvideo,Gen2,R1,K=3 MW2 spatial-mean residual D2,1380,1380,0.9340535076664567,0.9392307010055763
genvideo,Lavie,R0,Frozen K=3 MW2 raw D2,1400,1400,0.8847007653061225,0.8783268387091532
genvideo,Lavie,R1,K=3 MW2 spatial-mean residual D2,1400,1400,0.8752170918367348,0.8659157293867038
genvideo,ModelScope,R0,Frozen K=3 MW2 raw D2,700,700,0.8540755102040816,0.8515416807925239
genvideo,ModelScope,R1,K=3 MW2 spatial-mean residual D2,700,700,0.8600377551020407,0.8585870796780437
genvideo,MorphStudio,R0,Frozen K=3 MW2 raw D2,700,700,0.8461244897959184,0.8479402738401393
genvideo,MorphStudio,R1,K=3 MW2 spatial-mean residual D2,700,700,0.8333510204081633,0.8327262151665057
genvideo,Show_1,R0,Frozen K=3 MW2 raw D2,700,700,0.8752867346938775,0.8430001014937374
genvideo,Show_1,R1,K=3 MW2 spatial-mean residual D2,700,700,0.8687602040816326,0.8324945099752312
genvideo,Sora,R0,Frozen K=3 MW2 raw D2,56,56,0.8875956632653061,0.8918487796871898
genvideo,Sora,R1,K=3 MW2 spatial-mean residual D2,56,56,0.8867984693877551,0.8827856581882841
genvideo,WildScrape,R0,Frozen K=3 MW2 raw D2,515,515,0.7715562258459798,0.6831558305977109
genvideo,WildScrape,R1,K=3 MW2 spatial-mean residual D2,515,515,0.7686134414176642,0.6839676601318213
