dataset,scope,comparison,new_config,base_config,metric,delta,ci95_low,ci95_high,bootstrap_iterations
comgenvid,generator_macro,add_global_t1,B2,B0,auc,0.018622799490081887,0.011372277419258838,0.02589657293366621,1000
comgenvid,generator_macro,add_global_t1,B2,B0,ap,-0.0041370028740113085,-0.012164286411318852,0.003491226068333318,1000
comgenvid,generator_macro,add_global_spatial,B2,B1,auc,0.03165255876706968,0.02594075054191209,0.03799683533315816,1000
comgenvid,generator_macro,add_global_spatial,B2,B1,ap,0.055790094157898984,0.047554954507300205,0.06407946224409386,1000
comgenvid,generator_macro,add_raw_d3,B4,B2,auc,-0.027104900273312083,-0.03908423228307407,-0.014714150723458734,1000
comgenvid,generator_macro,add_raw_d3,B4,B2,ap,-0.034608080414249176,-0.04703987648140799,-0.02302462165856488,1000
comgenvid,generator_macro,add_local_d2,B7,B5,auc,0.10027294011438437,0.08999895678840882,0.11089880196526809,1000
comgenvid,generator_macro,add_local_d2,B7,B5,ap,0.08643909701241348,0.07579641432394668,0.09687040545338382,1000
comgenvid,generator_macro,add_local_spatial,B7,B6,auc,0.0007533444774578957,-0.0006337936691781579,0.002145590175643948,1000
comgenvid,generator_macro,add_local_spatial,B7,B6,ap,0.0016903370278333885,0.0005310504082161049,0.002836498233096047,1000
comgenvid,generator_macro,add_patch,B8,B2,auc,0.06482699738592557,0.05796275812123953,0.07180423832223051,1000
comgenvid,generator_macro,add_patch,B8,B2,ap,0.062430613829039694,0.05502896857360046,0.06935111127522633,1000
comgenvid,generator_macro,add_global,B8,B7,auc,-0.008962629153625334,-0.013308287471292325,-0.004792627206710371,1000
comgenvid,generator_macro,add_global,B8,B7,ap,-0.008440474267661813,-0.012760248041562844,-0.003829577661139946,1000
videofeedback,generator_macro,add_global_t1,B2,B0,auc,0.05214166666666663,0.045785444444444406,0.058775875000000005,1000
videofeedback,generator_macro,add_global_t1,B2,B0,ap,0.03901352539165637,0.03307577433288809,0.044719474382730176,1000
videofeedback,generator_macro,add_global_spatial,B2,B1,auc,0.0035272222222222484,-0.0014300277777777896,0.00851613888888888,1000
videofeedback,generator_macro,add_global_spatial,B2,B1,ap,0.01045834549856941,0.005245894136348408,0.015386088567307044,1000
videofeedback,generator_macro,add_raw_d3,B4,B2,auc,-0.18972111111111112,-0.20243820833333326,-0.1775759722222222,1000
videofeedback,generator_macro,add_raw_d3,B4,B2,ap,-0.14878501958583942,-0.1585654956435991,-0.13762389908516864,1000
videofeedback,generator_macro,add_local_d2,B7,B5,auc,0.07052166666666669,0.0597691388888889,0.08038443055555555,1000
videofeedback,generator_macro,add_local_d2,B7,B5,ap,0.07508018769531202,0.061736679446556024,0.08770995753346837,1000
videofeedback,generator_macro,add_local_spatial,B7,B6,auc,0.0019411111111111267,0.0005771805555555837,0.003282222222222161,1000
videofeedback,generator_macro,add_local_spatial,B7,B6,ap,0.005272573676260184,0.003344344928870793,0.007300114150546528,1000
videofeedback,generator_macro,add_patch,B8,B2,auc,0.0033666666666666957,-0.004025569444444481,0.01031733333333334,1000
videofeedback,generator_macro,add_patch,B8,B2,ap,0.004700356374849346,-0.0011152966938365485,0.010653539115243884,1000
videofeedback,generator_macro,add_global,B8,B7,auc,0.0482027777777778,0.04330818055555558,0.052987472222222186,1000
videofeedback,generator_macro,add_global,B8,B7,ap,0.048162240566887525,0.04214928304195999,0.05412661102150984,1000
genvideo,generator_macro,add_global_t1,B2,B0,auc,0.012772146858231678,0.005813916982256239,0.01955280058165151,1000
genvideo,generator_macro,add_global_t1,B2,B0,ap,-0.0027997870646590123,-0.0094945935327297,0.004318878282113645,1000
genvideo,generator_macro,add_global_spatial,B2,B1,auc,0.043004740370264874,0.034177854998584827,0.05247656864904001,1000
genvideo,generator_macro,add_global_spatial,B2,B1,ap,0.0478087209493295,0.04000411879022877,0.05499115097894856,1000
genvideo,generator_macro,add_raw_d3,B4,B2,auc,-0.013519389771747728,-0.0252370692804558,-0.0009970711963465642,1000
genvideo,generator_macro,add_raw_d3,B4,B2,ap,0.012472561769253251,0.00053441664508362,0.0243663346908461,1000
genvideo,generator_macro,add_local_d2,B7,B5,auc,0.05267638403836332,0.043485905547543766,0.061968758116047684,1000
genvideo,generator_macro,add_local_d2,B7,B5,ap,0.04091423769547295,0.029451356617702956,0.05378277464395715,1000
genvideo,generator_macro,add_local_spatial,B7,B6,auc,0.0021276869423920153,0.0007909182121849767,0.0035911280372224763,1000
genvideo,generator_macro,add_local_spatial,B7,B6,ap,0.005448714049334086,0.0035473574418737404,0.007633116837445903,1000
genvideo,generator_macro,add_patch,B8,B2,auc,0.03669080545376274,0.028159963722862977,0.045768627919545904,1000
genvideo,generator_macro,add_patch,B8,B2,ap,0.029620885832938856,0.022825303013493413,0.03615857857860212,1000
genvideo,generator_macro,add_global,B8,B7,auc,0.02743667453666676,0.02230197383095504,0.0325150250166689,1000
genvideo,generator_macro,add_global,B8,B7,ap,0.02293809153121612,0.014872365741571516,0.03076577659873959,1000
