dataset,condition,score,n_generators,auc,ap
comgenvid,jpeg_q30,d3_one_sided,2,0.763125,0.7555808521577397
comgenvid,jpeg_q30,d3_raw,2,0.7637499999999999,0.7595998170285682
comgenvid,jpeg_q30,d3_two_sided,2,0.690625,0.6400161088225613
comgenvid,reference_pixels,d3_one_sided,2,0.7675,0.7602784939444622
comgenvid,reference_pixels,d3_raw,2,0.76875,0.7620855139172431
comgenvid,reference_pixels,d3_two_sided,2,0.7012499999999999,0.679682323542837
comgenvid,resize_half,d3_one_sided,2,0.755,0.7476645324438
comgenvid,resize_half,d3_raw,2,0.7562499999999999,0.7600777268882444
comgenvid,resize_half,d3_two_sided,2,0.7,0.6794733803434854
genvideo,jpeg_q30,d3_one_sided,8,0.6759375,0.7109824356079867
genvideo,jpeg_q30,d3_raw,8,0.6753125,0.7143891502247484
genvideo,jpeg_q30,d3_two_sided,8,0.53328125,0.5490803868448175
genvideo,reference_pixels,d3_one_sided,8,0.7003125,0.7106724162722553
genvideo,reference_pixels,d3_raw,8,0.7003125,0.7135346775061322
genvideo,reference_pixels,d3_two_sided,8,0.6021875,0.6212333056604206
genvideo,resize_half,d3_one_sided,8,0.7040625,0.7264513333823273
genvideo,resize_half,d3_raw,8,0.701875,0.7264867581606812
genvideo,resize_half,d3_two_sided,8,0.569375,0.5874758812649786
videofeedback,jpeg_q30,d3_one_sided,10,0.48775,0.5541795227549169
videofeedback,jpeg_q30,d3_raw,10,0.4885,0.5564327109137756
videofeedback,jpeg_q30,d3_two_sided,10,0.61125,0.6414050432011761
videofeedback,reference_pixels,d3_one_sided,10,0.5078750000000001,0.573908822694361
videofeedback,reference_pixels,d3_raw,10,0.50825,0.5744109895192979
videofeedback,reference_pixels,d3_two_sided,10,0.6012500000000001,0.5948756165892141
videofeedback,resize_half,d3_one_sided,10,0.47300000000000003,0.5521116896981328
videofeedback,resize_half,d3_raw,10,0.47450000000000003,0.5533525342151401
videofeedback,resize_half,d3_two_sided,10,0.597375,0.591987051870734
