dataset,condition,score,generator,n,auc,ap
comgenvid,reference_pixels,d3_raw,Sora,40,0.7575000000000001,0.7578254828935556
comgenvid,reference_pixels,d3_raw,VEO3,40,0.78,0.7663455449409307
comgenvid,reference_pixels,d3_one_sided,Sora,40,0.75625,0.7557455338570847
comgenvid,reference_pixels,d3_one_sided,VEO3,40,0.7787499999999999,0.7648114540318398
comgenvid,reference_pixels,d3_two_sided,Sora,40,0.68375,0.6821145602324445
comgenvid,reference_pixels,d3_two_sided,VEO3,40,0.71875,0.6772500868532294
comgenvid,jpeg_q30,d3_raw,Sora,40,0.7549999999999999,0.7570225862310946
comgenvid,jpeg_q30,d3_raw,VEO3,40,0.7725,0.7621770478260417
comgenvid,jpeg_q30,d3_one_sided,Sora,40,0.7575000000000001,0.7523736072717709
comgenvid,jpeg_q30,d3_one_sided,VEO3,40,0.76875,0.7587880970437085
comgenvid,jpeg_q30,d3_two_sided,Sora,40,0.6825,0.6662195214195428
comgenvid,jpeg_q30,d3_two_sided,VEO3,40,0.69875,0.6138126962255799
comgenvid,resize_half,d3_raw,Sora,40,0.7474999999999999,0.7677207272150796
comgenvid,resize_half,d3_raw,VEO3,40,0.7649999999999999,0.7524347265614091
comgenvid,resize_half,d3_one_sided,Sora,40,0.745,0.7477554494373019
comgenvid,resize_half,d3_one_sided,VEO3,40,0.765,0.7475736154502981
comgenvid,resize_half,d3_two_sided,Sora,40,0.6950000000000001,0.7240353908571227
comgenvid,resize_half,d3_two_sided,VEO3,40,0.705,0.6349113698298481
videofeedback,reference_pixels,d3_raw,AnimateDiff,40,0.49,0.5100446867711299
videofeedback,reference_pixels,d3_raw,Fast-SVD,40,0.755,0.7587947223130289
videofeedback,reference_pixels,d3_raw,LVDM,40,0.4375,0.4879523777119409
videofeedback,reference_pixels,d3_raw,LaVie-base,40,0.41500000000000004,0.4642835559633894
videofeedback,reference_pixels,d3_raw,ModelScope,40,0.42499999999999993,0.4751363566284966
videofeedback,reference_pixels,d3_raw,Pika,40,0.8875,0.8945789781683744
videofeedback,reference_pixels,d3_raw,SoRA-Clip,40,0.605,0.5968163225468647
videofeedback,reference_pixels,d3_raw,Text2Video-Zero,40,0.07500000000000001,0.32969595582620875
videofeedback,reference_pixels,d3_raw,VideoCrafter2,40,0.795,0.8560584030767098
videofeedback,reference_pixels,d3_raw,ZeroScope-576w,40,0.1975,0.370748536186836
videofeedback,reference_pixels,d3_one_sided,AnimateDiff,40,0.49,0.5080641465016464
videofeedback,reference_pixels,d3_one_sided,Fast-SVD,40,0.7562500000000001,0.7603892014075081
videofeedback,reference_pixels,d3_one_sided,LVDM,40,0.43625,0.48737047169525227
videofeedback,reference_pixels,d3_one_sided,LaVie-base,40,0.41374999999999995,0.4585422139720474
videofeedback,reference_pixels,d3_one_sided,ModelScope,40,0.42624999999999996,0.4789783479704879
