dataset,condition,score,n,pearson_r,mean_absolute_change
comgenvid,jpeg_q30,d3_raw,140,0.9800617855685801,0.19142384284308978
comgenvid,resize_half,d3_raw,140,0.9957931592818231,0.08116988997374262
comgenvid,jpeg_q30,d3_one_sided,140,0.9344061381195113,0.07689285714285714
comgenvid,resize_half,d3_one_sided,140,0.9806438428075893,0.03817857142857143
comgenvid,jpeg_q30,d3_two_sided,140,0.8107134055924837,0.13349999999999998
comgenvid,resize_half,d3_two_sided,140,0.929305440582847,0.0735
videofeedback,jpeg_q30,d3_raw,300,0.9647605774425617,0.19218719497323036
videofeedback,resize_half,d3_raw,300,0.9827612882174727,0.12732060857117175
videofeedback,jpeg_q30,d3_one_sided,300,0.9072217289315563,0.08885
videofeedback,resize_half,d3_one_sided,300,0.9583585877914101,0.057766666666666674
videofeedback,jpeg_q30,d3_two_sided,300,0.7626592371164022,0.1433
videofeedback,resize_half,d3_two_sided,300,0.8653413203649047,0.1014
genvideo,jpeg_q30,d3_raw,260,0.9827347337336612,0.18886257583418717
genvideo,resize_half,d3_raw,260,0.9949200907525272,0.10087382700294256
genvideo,jpeg_q30,d3_one_sided,260,0.9381778421319064,0.07265384615384615
genvideo,resize_half,d3_one_sided,260,0.9703214408665821,0.04421153846153847
genvideo,jpeg_q30,d3_two_sided,260,0.8027079930422704,0.13061538461538463
genvideo,resize_half,d3_two_sided,260,0.9072243797196593,0.08073076923076924
