dataset,config,config_name,n_generators,n_real_min,n_fake_min,auc,ap
comgenvid,central_8fps_1s,central_8fps_1s,2,898,898,0.8654461659416373,0.8720750279995904
comgenvid,frame_drop_one,frame_drop_one,2,898,898,0.8640551138139196,0.8700828689252036
comgenvid,frame_duplicate_two,frame_duplicate_two,2,898,898,0.8693105440945234,0.8733074369354443
comgenvid,reference_8fps_2s,reference_8fps_2s,2,898,898,0.8670505106621494,0.8720142518624595
comgenvid,remove_exact_duplicates,remove_exact_duplicates,2,898,898,0.8670517507353634,0.8720175866163387
comgenvid,uniform_4fps_2s,uniform_4fps_2s,2,898,898,0.8476337542968537,0.8596814361187246
genvideo,central_8fps_1s,central_8fps_1s,8,56,56,0.7953486011610974,0.8080218059709084
genvideo,frame_drop_one,frame_drop_one,8,56,56,0.8167950967079911,0.826236678358279
genvideo,frame_duplicate_two,frame_duplicate_two,8,56,56,0.8009306924942515,0.8119408330708896
genvideo,reference_8fps_2s,reference_8fps_2s,8,56,56,0.8189576509664256,0.8277183889356924
genvideo,remove_exact_duplicates,remove_exact_duplicates,8,56,56,0.8226621878921038,0.8219447493486867
genvideo,uniform_4fps_2s,uniform_4fps_2s,8,56,56,0.8183004706559615,0.8270161265205977
videofeedback,central_8fps_1s,central_8fps_1s,10,300,300,0.753975,0.7991863541012875
videofeedback,frame_drop_one,frame_drop_one,10,300,300,0.757255,0.7998653419052668
videofeedback,frame_duplicate_two,frame_duplicate_two,10,300,300,0.7692466666666666,0.8043236470416943
videofeedback,reference_8fps_2s,reference_8fps_2s,10,300,300,0.7537222222222223,0.7974220139500259
videofeedback,remove_exact_duplicates,remove_exact_duplicates,10,300,300,0.7540533333333334,0.7975234866882126
videofeedback,uniform_4fps_2s,uniform_4fps_2s,10,300,300,0.7893972222222223,0.818383800542154
Macro-3,central_8fps_1s,central_8fps_1s,20,56,56,0.8049232557009116,0.826427729357262
Macro-3,frame_drop_one,frame_drop_one,20,56,56,0.812701736840637,0.8320616297295831
Macro-3,frame_duplicate_two,frame_duplicate_two,20,56,56,0.8131626344184806,0.8298573056826761
Macro-3,reference_8fps_2s,reference_8fps_2s,20,56,56,0.8132434612835991,0.8323848849160592
Macro-3,remove_exact_duplicates,remove_exact_duplicates,20,56,56,0.8145890906536003,0.8304952742177459
Macro-3,uniform_4fps_2s,uniform_4fps_2s,20,56,56,0.8184438157250126,0.8350271210604922
